Африк	Afrika
Өмнөд Африкийн Бүгд Найрамдах Улс	Sør-Afrika
Линкин Парк	Linkin Park
Алжир	Algerie
Узбек улс	Usbekistan
Ташкент	Tasjkent
Варшав	Warszawa
Модена	Modena
Дарс	Vin
Ус	Vann
Коньяк	Konjakk
Телевиз	Fjernsyn
Диего Веласкес	Diego Velázquez
Чили	Chile
Есүс Христ	Jesus Kristus
Элвис Пресли	Elvis Presley
Галилео Галилей	Galileo Galilei
Буд	Merkur
Түүх	Historie
Apple компани	Apple
Сугар	Venus
Хэл	Språk
Хайр	Kjærlighet
Дарангуйлал	Diktatur
Галактик	Galakse
Бархасбадь	Jupiter
Тэнгэрийн заадас	Melkeveien
Их Тэсрэлт	Big Bang
Тэнгэрийн ван	Uranus
Англи Википедиа	Wikipedia på engelsk
Николя Саркози	Nicolas Sarkozy
Далайн ван	Neptun (planet)
Одон орон	Astronomi
Сингапур	Singapore
Шинжлэх ухаан	Vitenskap
Космологи	Kosmologi
Дэлхийн ван	Pluto
Лихтенштейн	Liechtenstein
Спорт	Sport
Адольф Гитлер	Adolf Hitler
Facebook	Facebook
Дэлхийн нэгдүгээр дайн	Første verdenskrig
Дэлхийн хоёрдугаар дайн	Andre verdenskrig
Кёльн	Köln
Аугусто Пиночет	Augusto Pinochet
Үбүнтү	Ubuntu (operativsystem)
Боб Дилан	Bob Dylan
Математик	Matematikk
Латин хэл	Latin
Бахрейн	Bahrain
Армен	Armenia
Хигсийн босон (цөмийн физик)	Higgs-boson
Серби	Serbia
Сар	Månen
Стамбул / Истанбул	Istanbul
Австрали	Australia
Физик	Fysikk
Аргентин	Argentina
Перу	Peru
Биологи	Biologi
Умард Солонгос	Nord-Korea
Камбож / Кампуч	Kambodsja
Үлэг гүрвэл	Dinosaurer
Ислам	Islam
Люблян	Ljubljana
Сальвадор Альенде	Salvador Allende
Ургамал судлал	Botanikk
Европын Холбоо	Den europeiske union
Пловдив	Plovdiv
Оддын дайн	Star Wars
Рона-Альп	Rhône-Alpes
Дэлхий дахины веб	World Wide Web
Эмэгтэй хүн	Kvinne
Софи	Sofia
Шүлэг	Poesi
Компьютерын вирус	Datavirus
Чернобылийн осол	Tsjernobyl-ulykken
Милан	Milano
Артюр Рембо	Arthur Rimbaud
Турин	Torino
Нимбэг	Sitron
Гадил	Bananer
Марианы хонхор	Marianergropen
Владимир Высоцкий	Vladimir Vysotskij
Жомолунгма	Mount Everest
Хот	By
Наполеон I Бонапарт	Napoléon Bonaparte
Од	Stjerne
Нар	Solen
Луи Пастер	Louis Pasteur
Гэрлийн жил	Lysår
Виктор Гюго	Victor Hugo
Нарны аймаг	Solsystemet
Балтын тэнгис	Østersjøen
Висла мөрөн	Wisła
Устөрөгч	Hydrogen
Викимедиа Коммонс	Wikimedia Commons
Ангела Меркель	Angela Merkel
Ном	Bok
Хоног	Dag
Зүүн Тимор	Øst-Timor
Шөнө	Natt
Жил	År
Зуун	Århundre
Лодзь	Łódź
Рейн мөрөн	Rhinen
Осло	Oslo
Бонн	Bonn
Хар нүх	Sort hull
Луис Камоэнс	Luís de Camões
Церера	Ceres (dvergplanet)
Лиссабон	Lisboa
Хаумеа	Haumea
Макемаке	Makemake
Эрида	Eris (dvergplanet)
Дубай хот	Dubai (by)
Лионель Месси	Lionel Messi
Николай Коперник	Nikolaus Kopernikus
Нүүрстөрөгч	Karbon
Алессандро Дель Пьеро	Alessandro Del Piero
Ижил	Volga
Азот	Nitrogen
Хүчилтөрөгч	Oksygen
Интернационале	Inter
Гариг	Planet
VII Клеопатра	Kleopatra VII av Egypt
Хөгжим	Musikk
Венец	Venezia
Нарүто	Naruto
Нева мөрөн	Neva
Москва	Moskva
Фтор	Fluor
Итали хэл	Italiensk
Санкт-Петербург	St. Petersburg
Натри	Natrium
Магни	Magnesium
Хөнгөн цагаан	Aluminium
Шинэ Зеланд	New Zealand
Энэтхэг	India
Цахиур	Silisium
Тувалу	Tuvalu
Уан Пийс	One Piece
Фосфор (химийн элемент)	Fosfor
Андре Мари Ампер	André-Marie Ampère
Хүүрнэл зохиол	Prosa
Төмөр (химийн элемент)	Jern
Тонга	Tonga
Хүхэр	Svovel
Дорно	Øst
Вануату	Vanuatu
Мольер	Molière
Уильям Шекспир	William Shakespeare
Өмнө Холланд	Zuid-Holland
Палау	Palau
Аргон	Argon
Науру	Nauru
Умар Холланд	Noord-Holland
Микронезийн Холбооны Улс	Mikronesiaføderasjonen
Лионы Олимпик	Olympique Lyonnais
Кальци	Kalsium
Хар тугалга	Bly
Маршаллын арлууд	Marshalløyene
Кирибати	Kiribati
Монгол Улс	Mongolia
Фижи	Fiji
Венесуэл	Venezuela
Шатар	Sjakk
Чингис хаан	Djengis Khan
Мэн	Maine
Хром	Krom
Адуу	Hest
Амстердам	Amsterdam
Амьтан	Dyr
Суринам	Surinam
Манган	Mangan
Парагвай	Paraguay
Гайана	Guyana
Урлаг	Kunst
Эквадор	Ecuador
Рени	Rhenium
Колумб	Colombia
Кобальт	Kobolt
Гүзээлзгэнэ	Jordbærslekta
Буддын шашин	Buddhisme
Гронинген хот	Groningen (by)
Боливи	Bolivia
Зэс	Kobber
Тринидад ба Тобаго	Trinidad og Tobago
Ургамал	Planter
Цайр	Sink
Нью-Хэмпшир	New Hampshire
Леонардо да Винчи	Leonardo da Vinci
Сент-Китс ба Невис	Saint Kitts og Nevis
Ямайк	Jamaica
Гренад улс	Grenada
Массачусеттс	Massachusetts
Гватемал	Guatemala
Гелдерланд	Gelderland
Коннектикут	Connecticut
Хавай	Hawaii
Гондурас	Honduras
Умард мөсөн далай	Nordishavet
Гаити	Haiti
Иран улс	Iran
Ирак	Irak
Аляска	Alaska
Коста-Рика	Costa Rica
Израиль	Israel
Утрехт хот	Utrecht (by)
Панам	Panama
Йемен	Jemen
Вирус	Virus
Польш хэл	Polsk
Иордан	Jordan
Никарагуа	Nicaragua
Флорида	Florida
Кыргызстан	Kirgisistan
Аризона	Arizona
Кувейт	Kuwait
Лаос	Laos
Ливан	Libanon
Орегон	Oregon
Мальдив	Maldivene
Америк тив	Amerika
Юта	Utah
Малайз	Malaysia
Михаил Булгаков	Mikhail Bulgakov
Мьянмар	Myanmar
Балба	Nepal
Оман	Oman
Пакистан	Pakistan
Катар	Qatar
Теннис	Tennis
MySQL	MySQL
Саудын Араб	Saudi-Arabia
Шри-Ланка	Sri Lanka
Иосиф Сталин	Josef Stalin
Шугаман код	Strekkode
Сири	Syria
Платон	Platon
Тажик улс	Tadsjikistan
Бүгд Найрамдах Хятад Улс	Republikken Kina
Германи	Germanium
Аристотель	Aristoteles
Тайланд	Thailand
Галт тэрэг	Jernbanetog
Радио	Radio
Мерил Стрип	Meryl Streep
Туркменистан	Turkmenistan
Абакан	Abakan
Арабын Нэгдсэн Эмирт Улс	De forente arabiske emirater
Вьетнам	Vietnam
Чарльз Спенсер Чаплин	Charlie Chaplin
Новосибирск	Novosibirsk
Өмнөд Солонгос	Sør-Korea
Екатеринбург	Jekaterinburg
Афганистан	Afghanistan
Доод Новгород	Nizjnij Novgorod
Жон Толкин	J. R. R. Tolkien
Самар хот	Samara
Алт	Gull
Омск	Omsk
Суэцийн суваг	Suezkanalen
Казань	Kazan
Бангладеш	Bangladesh
Блич	Bleach (manga)
Франц Кафка	Franz Kafka
Челябинск	Tsjeljabinsk
Донын Ростов	Rostov-na-Donu
Уфа	Ufa (by)
Мали	Mali
Сократ	Sokrates
Волгоград	Volgograd
Ангол	Angola
Пермь	Perm (by)
Бутан	Bhutan
Твиттер	Twitter
Красноярск	Krasnojarsk
Бруней	Brunei
Танзани	Tanzania
Мөнгөн ус	Kvikksølv
Филиппин	Filippinene
Үзүмаки Нарүто	Naruto Uzumaki
Өмнөд туйл	Sydpolen
Умард туйл	Nordpolen
Исаак Ньютон	Isaac Newton
Альберт Эйнштейн	Albert Einstein
Иттри	Yttrium
Висмут	Vismut
Квант механик	Kvantemekanikk
Дональд Туск	Donald Tusk
Тунис	Tunisia
Жон Бардин	John Bardeen
Замби	Zambia
Зимбабве	Zimbabwe
Бээжин	Beijing
Владивосток	Vladivostok
Бүгд Найрамдах Тува Улс	Tuva (republikk)
Бенин	Benin
Ботсвана	Botswana
Бурунди	Burundi
Бүгд Найрамдах Конго Улс	Republikken Kongo
Обь	Ob
Бүгд Найрамдах Ардчилсан Конго Улс	Den demokratiske republikken Kongo
Полони	Polonium
Бавар	Bayern
Баден-Вюртемберг	Baden-Württemberg
Эритрей	Eritrea
Шинэ Дели	New Delhi
II Иоанн Павел	Johannes Paul II
Нохойтой дөрвөн танкчин (цуврал кино)	Czterej pancerni i pies
Фёдор Достоевский	Fjodor Dostojevskij
Камчаткын хойг	Kamtsjatkahalvøya
Тбилис	Tbilisi
Андрей Сахаров	Andrej Sakharov
Астат	Astat
Габон	Gabon
Махатма Ганди	Mahatma Gandhi
Чукотын хойг	Tsjuktsjerhalvøya
Комикс	Tegneserie
Гамби	Gambia
Гвиней	Guinea
Кот д'Ивуар	Elfenbenskysten
Камерун	Kamerun
Лесото	Lesotho
Ливи	Libya
Ахен	Aachen
Мадагаскар	Madagaskar
Малави	Malawi
Штутгарт	Stuttgart
Мавритан	Mauritania
Марокко	Marokko
Мозамбик	Mosambik
Намиби	Namibia
Нигер	Niger
Нигери	Nigeria
Чарльз Дарвин	Charles Darwin
Уганда	Uganda
Руанда	Rwanda
Циркони	Zirkonium
Карлсруэ	Karlsruhe
Сенегал	Senegal
Карл Линней	Carl von Linné
Сьерра-Леоне	Sierra Leone
Сомали	Somalia
Жавахарлал Неру	Jawaharlal Nehru
Юлий Цезарь	Julius Cæsar
Судан	Sudan
Свазиланд	Swaziland
Солонго	Regnbue
Молибден	Molybden
Бодисын солилцоо	Stoffskifte
Онтарио нуур	Ontariosjøen
Эволюци	Evolusjon
Нэгдсэн Үндэстний Байгууллага	De forente nasjoner
Данте Алигери	Dante Alighieri
Геологи	Geologi
Ахмадабад	Ahmedabad
Газарзүй	Geografi
Зүрх	Hjerte
Тархи	Hjerne
Арьс	Hud
Өнгө	Farge
Нэр үг	Substantiv
Прага	Praha
Роди	Rhodium
Мөнгө (химийн элемент)	Sølv
Уран (химийн элемент)	Uran
Умар Брабант	Noord-Brabant
Плутони	Plutonium
Анимэ	Anime
Цахилгаан цэнэг	Elektrisk ladning
Бари	Barium
Тори	Thorium
Актини	Actinium
Билл Клинтон	Bill Clinton
Индира Ганди	Indira Gandhi
Гектор Берлиоз	Hector Berlioz
Мумбай	Mumbai
Андра Прадеш	Andhra Pradesh
Бихар	Bihar
Мичиган	Michigan
Аквитан муж	Aquitaine
Жарканд	Jharkhand
Карнатака	Karnataka
Мадхья-Прадеш	Madhya Pradesh
Усэйн Болт	Usain Bolt
Лимузен	Limousin
Махараштра	Maharashtra
Мекленбург – Өрнө Померан	Mecklenburg-Vorpommern
Доор Саксон	Niedersachsen
Хессен	Hessen
Жон Леннон	John Lennon
Иллиной	Illinois
Саксон-Анхальт	Sachsen-Anhalt
Хойд Дакота	Nord-Dakota
Бранденбург	Brandenburg
Бремен муж	Bremen
Ломбард муж	Lombardia
Өмнөд Дакота	Sør-Dakota
Вайоминг	Wyoming
Иерусалим	Jerusalem
Жиоржио Наполитано	Giorgio Napolitano
Айдахо	Idaho
Вашингтон Муж Улс	Washington
Невада	Nevada
Энэтхэгийн далай	Indiahavet
Энрико Де Никола	Enrico De Nicola
Косово	Kosovo
Карибын тэнгис	Det karibiske hav
Хасси	Hassium
Кофи Аннан	Kofi Annan
Колорадо	Colorado
У Тант	U Thant
Колорадо мөрөн	Colorado (elv)
Даг Хаммаршёлд	Dag Hammarskjöld
Фредерик Шопен	Frédéric Chopin
Леонард Коэн	Leonard Cohen
Ангилал:Тулгуур	Kategori:Kategorier
Лацио муж	Latium
Альпийн нуруу	Alpene
Блез Паскаль	Blaise Pascal
Зуун буудалт даам	Dam (spill)
Дортмунд	Dortmund
Гент	Gent
Чикаго	Chicago
The Beatles	The Beatles
Маастрихт	Maastricht
Арнем	Arnhem
Өвөл	Vinter
Зун	Sommer
Осама бен Ладен	Osama bin Laden
Испани хэл	Spansk
Фридрих Хаек	Friedrich Hayek
Иоганн Себастьян Бах	Johann Sebastian Bach
Антонио Вивальди	Antonio Vivaldi
Тольятти	Toljatti
Дуурь	Opera
Филадельфия	Philadelphia
Калькутта	Kolkata
Ченнай	Chennai
Дели	Delhi
Дакка	Dhaka
Үет хөлтөн	Leddyr
Исламабад	Islamabad
Трипура	Tripura
Жимс	Frukt
Сармагчин	Apekatter
Мөнгө	Penger
Виржини	Virginia
Баруун Виржини	Vest-Virginia
Нью-Йорк Муж Улс	New York (delstat)
Рөүд-Айленд	Rhode Island
Шавьж	Insekter
Мэрилэнд	Maryland
Делавар	Delaware
Владимир Ильич Ленин	Vladimir Lenin
Охайо	Ohio
Вергилий	Vergil
Пеннсилвани	Pennsylvania
Итерзен	Uetersen
Август Цезарь	Augustus
Windows	Microsoft Windows
Тибериус	Tiberius
Калигула	Caligula
Гибралтар	Gibraltar
Клавдий	Claudius
Индиана муж	Indiana
Автомашин	Bil
Ювентус	Juventus
Траян	Trajan
Рожер Федерер	Roger Federer
Жоржиа	Georgia (USA)
Антонини Пи	Antoninus Pius
Марк Аврелий	Marcus Aurelius
Загреб	Zagreb
Техас	Texas
Каракалла	Caracalla
Генуя	Genova
Зүлэгний хоккей	Landhockey
Манила (Манил)	Manila
Себу	Cebu City
Давао	Davao
Кесон	Quezón by
Корасон Акино	Corazón Aquino
Буэнос-Айрес	Buenos Aires
Мехико	Mexico by
Токио	Tokyo
Барселон	Barcelona
Миссиссиппи	Mississippi
Фернан Магеллан	Ferdinand Magellan
Миссисипи мөрөн	Mississippi (elv)
Уттар Прадеш	Uttar Pradesh
Теннесси	Tennessee
Рихард Вагнер	Richard Wagner
Абижан хот	Abidjan
Абу-Даби хот	Abu Dhabi (by)
Астана	Astana
Нью-Мексико	New Mexico
Афин	Athen
Миннесота	Minnesota
Багдад	Bagdad
Каракас	Caracas
Висконсин	Wisconsin
Милан (хөлбөмбөгийн баг)	AC Milan
Айова	Iowa
Небраска	Nebraska
Канзас	Kansas
Гавана	Havanna
Хинди хэл	Hindi
Янжуур	Sigarett
Миссури	Missouri
Георг Ом	Georg Simon Ohm
Луйзиана	Louisiana
Кентакки	Kentucky
Арканзас	Arkansas
Нил Армстронг	Neil Armstrong
Урдү хэл	Urdu
Чарльз Линдберг	Charles Lindbergh
Оклахома	Oklahoma
Иохан Блэйк	Yohan Blake
Жастин Гэтлин	Justin Gatlin
Дунай мөрөн	Donau
Уоррен Вейр	Warren Weir
Кирани Жеймс	Kirani James
Лугелин Сантос	Luguelín Santos
Найжел Амос	Nijel Amos
Тауфик Махлуфи	Taoufik Makhloufi
Мо Фарах	Mohammed Farah
Эзекиль Кембой	Ezekiel Kemboi
Жейсон Ричардсон	Jason Richardson (basketballspiller)
Хойд тэнгис	Nordsjøen
Москва муж	Moskva oblast
Неста Картер	Nesta Carter
Стивен Кипротич	Stephen Kiprotich
Подстам	Potsdam
Ханновер	Hannover
Висбаден	Wiesbaden
Мюнхен	München
Жаред Таллент	Jared Tallent
Дрезден	Dresden
Волейбол	Volleyball
Инсбрук	Innsbruck
Мутаз Эсса Баршим	Mutaz Essa Barshim
Вена	Wien
Рено Лавиллени	Renaud Lavillenie
Бьёрн Отто	Björn Otto
Мадонна (дуучин)	Madonna (artist)
Копенхаген	København
Калининград муж	Kaliningrad oblast
Уилл Клэй	Will Claye
Стокгольм	Stockholm
Давид Шторль	David Storl
Мурманск муж	Murmansk oblast
Дублин	Dublin
Рига	Riga
Герд Кантер	Gerd Kanter
Кристиан Парш	Krisztián Pars
Братислав	Bratislava
Будапешт	Budapest
Эштон Итон	Ashton Eaton
Майн дахь Франкфурт	Frankfurt am Main
Вроцлав	Wrocław
Одон орны нэгж	Astronomisk enhet
Аче	Aceh
Калининград	Kaliningrad
Зинедин Зидан	Zinedine Zidane
Католик	Katolisisme
Люксембург (хот)	Luxembourg (by)
Вадуц	Vaduz
Библи	Bibelen
Пномпень	Phnom Penh
Архангельск	Arkhangelsk
Хо Ши Мин хот	Ho Chi Minh-byen
Иттерби	Ytterbium
Ханой	Hanoi
Англи хэл	Engelsk
Бангкок	Bangkok
Андорра-ла-Велья	Andorra la Vella
Куала Лумпур	Kuala Lumpur
Тайбэй	Taipei
Америци	Americium
Одесс	Odessa
Архангельск муж	Arkhangelsk oblast
Донгхой	Dong Hoi
Консепшон	Concepción
Беркли	Berkelium
Мемфис Депай	Memphis Depay
Петрозаводск	Petrozavodsk
Кальяри	Cagliari
Киев	Kiev
Онтарио	Ontario
Уго Льорис	Hugo Lloris
Матьё Дебюши	Mathieu Debuchy
Адиль Рами	Adil Rami
Йоан Кабай	Yohan Cabaye
Оливье Жиру	Olivier Giroud
Карим Бензема	Karim Benzema
Флоран Малуда	Florent Malouda
Бүгд Найрамдах Карель Улс	Karelia
Лоран Косельни	Laurent Koscielny
Патрис Эвра	Patrice Evra
Филипп Мексес	Philippe Mexès
Фрэнк Рибери	Franck Ribéry
Матьё Вальбуэна	Mathieu Valbuena
Самир Насри	Samir Nasri
Блез Матюиди	Blaise Matuidi
Антони Ревейер	Anthony Réveillère
Жереми Менез	Jérémy Ménez
Стив Манданда	Steve Mandanda
Хатем Бен Арфа	Hatem Ben Arfa
Гаэль Клиши	Gaël Clichy
Оттава	Ottawa
Эрик Абидаль	Éric Abidal
Жибриль Сиссе	Djibril Cissé
Вильям Галлас	William Gallas
Бакари Санья	Bacary Sagna
Андре-Пьер Жиньяк	André-Pierre Gignac
Себастьен Скиллачи	Sébastien Squillaci
Абу Диаби	Abou Diaby
Жереми Тулалан	Jérémy Toulalan
Жуба	Juba
Манитоба	Manitoba
Альберта	Alberta
Нова Скоша	Nova Scotia
Ереван	Jerevan
Вологда	Vologda
Фрэни Шнайдер	Vreni Schneider
Консковол (хот)	Końskowola
Нью-Брансвик	New Brunswick
Бритиш Коламбиа	Britisk Columbia
Принс Эдвардын Арал	Prince Edward Island
2000 он	2000
2003 он	2003
2002 он	2002
2001 он	2001
Саскачеван	Saskatchewan
2012 он	2012
Кишимото Масаши	Masashi Kishimoto
2011 он	2011
2010 он	2010
2009 он	2009
2013 он	2013
2014 он	2014
2015 он	2015
Ньюфаундленд ба Лабрадор	Newfoundland og Labrador
2008 он	2008
JavaScript	JavaScript
Баруун Хойд Нутаг Дэвсгэр	Nordvestterritoriene
Юкон	Yukon
2004 он	2004
2005 он	2005
2006 он	2006
Нунавут	Nunavut
2007 он	2007
1900 он	1900
1901 он	1901
Шарль де Голль	Charles de Gaulle
1902 он	1902
Флоренц	Firenze
1903 он	1903
1904 он	1904
1905 он	1905
1907 он	1907
1906 он	1906
Жамби	Jambi
Фиорентина	ACF Fiorentina
1908 он	1908
1909 он	1909
1992 он	1992
1991 он	1991
1990 он	1990
1993 он	1993
Эссен	Essen
1994 он	1994
1995 он	1995
1996 он	1996
Дэвид Линч	David Lynch
Коми	Komi
1910 он	1910
1911 он	1911
1912 он	1912
Лайпциг	Leipzig
1913 он	1913
1914 он	1914
1915 он	1915
1916 он	1916
1997 он	1997
1998 он	1998
Нюрнберг	Nürnberg
1999 он	1999
1917 он	1917
1918 он	1918
Хоол	Mat
Дуйсбург	Duisburg
Бохум	Bochum
Вупперталь	Wuppertal
Лампун	Lampung
Гэрлийн хурд	Lysets hastighet
Билефельд	Bielefeld
XML	XML
Манхайм	Mannheim
Боде Миллер	Bode Miller
Умар Суматра	Sumatera Utara
1 сарын 1	1. januar
1 сарын 2	2. januar
1920 он	1920
1 сарын 3	3. januar
1919 он	1919
1921 он	1921
1922 он	1922
Лөнд	Lund (by)
1 сарын 4	4. januar
1923 он	1923
Лэнс Армстронг	Lance Armstrong
1924 он	1924
Риау	Riau
Ленинград муж	Leningrad oblast
1 сарын 5	5. januar
Мальмё	Malmö
1 сарын 6	6. januar
Риау арлуудын муж	Kepulauan Riau
Электрон	Elektron
1 сарын 7	7. januar
1 сарын 8	8. januar
1 сарын 9	9. januar
1 сарын 10	10. januar
Нижегород муж	Nizjnij Novgorod oblast
1 сарын 11	11. januar
1 сарын 12	12. januar
Колумб мөрөн	Columbia (elv)
Африкийн Сципион	Scipio Africanus
1 сарын 13	13. januar
Бирмингем	Birmingham
1 сарын 14	14. januar
1 сарын 15	15. januar
1 сарын 16	16. januar
Том Хэнкс	Tom Hanks
1 сарын 17	17. januar
1 сарын 18	18. januar
1 сарын 19	19. januar
1 сарын 20	20. januar
Аж үйлдвэрийн хувьсгал	Den industrielle revolusjon
Өмнө Суматра	Sumatera Selatan
1 сарын 21	21. januar
1 сарын 22	22. januar
1 сарын 23	23. januar
Ромын эзэнт гүрэн	Det romerske keiserriket
1 сарын 24	24. januar
1 сарын 25	25. januar
Минск	Minsk
1 сарын 26	26. januar
Microsoft	Microsoft
1 сарын 27	27. januar
1 сарын 28	28. januar
1 сарын 29	29. januar
1 сарын 30	30. januar
1 сарын 31	31. januar
Тверь муж	Tver oblast
Протон	Proton
12 сарын 2	2. desember
12 сарын 1	1. desember
12 сарын 3	3. desember
12 сарын 7	7. desember
12 сарын 5	5. desember
12 сарын 8	8. desember
12 сарын 10	10. desember
12 сарын 6	6. desember
12 сарын 9	9. desember
Пинк Флойд	Pink Floyd
12 сарын 4	4. desember
2 сарын 1	1. februar
2 сарын 2	2. februar
2 сарын 3	3. februar
Куров	Kurów
2 сарын 4	4. februar
2 сарын 5	5. februar
2 сарын 6	6. februar
2 сарын 7	7. februar
2 сарын 8	8. februar
2 сарын 9	9. februar
2 сарын 10	10. februar
Хими	Kjemi
2 сарын 14	14. februar
2 сарын 13	13. februar
2 сарын 15	15. februar
2 сарын 11	11. februar
2 сарын 12	12. februar
Робин ван Перси	Robin van Persie
2 сарын 19	19. februar
2 сарын 17	17. februar
2 сарын 16	16. februar
2 сарын 18	18. februar
2 сарын 20	20. februar
Нейтрон	Nøytron
2 сарын 21	21. februar
2 сарын 22	22. februar
2 сарын 23	23. februar
2 сарын 24	24. februar
2 сарын 25	25. februar
2 сарын 26	26. februar
2 сарын 27	27. februar
2 сарын 28	28. februar
12 сарын 11	11. desember
2 сарын 29	29. februar
12 сарын 12	12. desember
12 сарын 13	13. desember
12 сарын 14	14. desember
12 сарын 15	15. desember
3 сарын 2	2. mars
3 сарын 3	3. mars
3 сарын 5	5. mars
3 сарын 1	1. mars
3 сарын 7	7. mars
3 сарын 8	8. mars
3 сарын 4	4. mars
3 сарын 10	10. mars
3 сарын 11	11. mars
3 сарын 6	6. mars
3 сарын 13	13. mars
3 сарын 9	9. mars
3 сарын 12	12. mars
3 сарын 15	15. mars
3 сарын 14	14. mars
C++	C++
12 сарын 16	16. desember
12 сарын 17	17. desember
3 сарын 16	16. mars
3 сарын 17	17. mars
3 сарын 18	18. mars
Ярославль	Jaroslavl
3 сарын 19	19. mars
1989 он	1989
1988 он	1988
3 сарын 20	20. mars
1987 он	1987
1986 он	1986
1985 он	1985
1984 он	1984
3 сарын 21	21. mars
1983 он	1983
3 сарын 22	22. mars
1982 он	1982
1981 он	1981
12 сарын 18	18. desember
1980 он	1980
3 сарын 23	23. mars
12 сарын 19	19. desember
3 сарын 24	24. mars
3 сарын 25	25. mars
12 сарын 20	20. desember
3 сарын 26	26. mars
3 сарын 27	27. mars
3 сарын 28	28. mars
3 сарын 29	29. mars
3 сарын 30	30. mars
3 сарын 31	31. mars
Адаг чуулганы галактик	Andromedagalaksen
Санаа хот	Sanaá
1970 он	1970
1971 он	1971
1972 он	1972
1973 он	1973
