ఆఫ్రికా	Afrika
తజికిస్తాన్	Tadsjikistan
తైవాన్	Republikken Kina
యూ ట్యూబ్	YouTube
జెర్మేనియం	Germanium
అరిస్టాటిల్	Aristoteles
థాయిలాండ్	Thailand
రైలు	Jernbanetog
ఆర్సెనిక్	Arsen
రేడియో	Radio
తుర్కమేనిస్తాన్	Turkmenistan
సెలీనియం	Selen
యునైటెడ్ అరబ్ ఎమిరేట్స్	De forente arabiske emirater
బ్రోమిన్	Brom
వియత్నాం	Vietnam
చార్లీ చాప్లిన్	Charlie Chaplin
దక్షిణ కొరియా	Sør-Korea
ఆఫ్ఘనిస్తాన్	Afghanistan
బంగారం	Gull
సూయజ్ కాలువ	Suezkanalen
శాస్త్రవేత్త	Naturviter
బంగ్లాదేశ్	Bangladesh
ఫ్రాంజ్ కాఫ్కా	Franz Kafka
జార్జ్ లూయిస్ బోర్గర్స్	Jorge Luis Borges
సోక్రటీసు	Sokrates
అంగోలా	Angola
భూటాన్	Bhutan
ట్విట్టర్	Twitter
బ్రూనై	Brunei
టాంజానియా	Tanzania
ఫిలిప్పీన్స్	Filippinene
సెంట్రల్ ఆఫ్రికన్ రిపబ్లిక్	Den sentralafrikanske republikk
ఐజాక్ న్యూటన్	Isaac Newton
ఆల్బర్ట్ ఐన్‌స్టీన్	Albert Einstein
స్ట్రాన్షియం	Strontium
పసుపు (రంగు)	Gul
ట్యునీషియా	Tunisia
జాంబియా	Zambia
జింబాబ్వే	Zimbabwe
బీజింగ్	Beijing
దక్షిణ సూడాన్	Sør-Sudan
బెనిన్	Benin
బోత్సువానా	Botswana
బర్కీనా ఫాసో	Burkina Faso
బురుండి	Burundi
కొమొరోస్	Komorene
కాంగో రిపబ్లిక్	Republikken Kongo
శాన్ అంటోనియో	San Antonio
జిబౌటి	Djibouti
బవేరియా	Bayern
ఎరిత్రియా	Eritrea
క్రొత్త ఢిల్లీ	New Delhi
దాస్తొయెవ్‌స్కీ	Fjodor Dostojevskij
శిశువు	Spedbarn
గబాన్	Gabon
మహాత్మా గాంధీ	Mahatma Gandhi
కామిక్స్	Tegneserie
గాంబియా	Gambia
కోటె డి ఐవొరి	Elfenbenskysten
కామెరూన్	Kamerun
కేప్ వర్దె	Kapp Verde
లిబియా	Libya
మడగాస్కర్	Madagaskar
మౌరిటానియ	Mauritania
మారిషస్	Mauritius
మొరాకో	Marokko
మొజాంబిక్	Mosambik
నమీబియా	Namibia
నైజర్	Niger
నైజీరియా	Nigeria
చార్లెస్ డార్విన్	Charles Darwin
ఉగాండా	Uganda
రువాండా	Rwanda
సెనెగల్	Senegal
కరోలస్ లిన్నేయస్	Carl von Linné
సొమాలియా	Somalia
నియోబియం	Niob
జవహర్‌లాల్ నెహ్రూ	Jawaharlal Nehru
జూలియస్ సీజర్	Julius Cæsar
సూడాన్	Sudan
ఇంద్రధనస్సు	Regnbue
టెక్నీషియం	Technetium
నరేంద్ర మోడి	Narendra Modi
రోగ నిరోధక వ్యవస్థ	Immunforsvar
గుజరాత్	Gujarat
పరిణామం	Evolusjon
ఐక్యరాజ్య సమితి	De forente nasjoner
భూగోళ శాస్త్రము	Geografi
గుండె	Hjerte
మెదడు	Hjerne
చర్మము	Hud
రంగు	Farge
నామవాచకం	Substantiv
నీలము	Blå
వెండి	Sølv
కాడ్మియం	Kadmium
తగరము	Tinn (grunnstoff)
అయోడిన్	Jod
సీసియం	Cesium
విద్యుద్భరితము	Elektrisk ladning
బిల్ క్లింటన్	Bill Clinton
ఇందిరా గాంధీ	Indira Gandhi
ముంబై	Mumbai
ఆంధ్ర ప్రదేశ్	Andhra Pradesh
అరుణాచల్ ప్రదేశ్	Arunachal Pradesh
అసోం	Assam
బీహార్	Bihar
మిషిగన్	Michigan
ఛత్తీస్‌గఢ్	Chhattisgarh
గోవా	Goa
హర్యానా	Haryana
హిమాచల్ ప్రదేశ్	Himachal Pradesh
జమ్మూ కాశ్మీరు	Jammu og Kashmir
ఫ్యూర్టో రికో	Puerto Rico
జార్ఖండ్	Jharkhand
కర్ణాటక	Karnataka
కేరళ	Kerala
మధ్య ప్రదేశ్	Madhya Pradesh
ఉసేన్ బోల్ట్	Usain Bolt
మహారాష్ట్ర	Maharashtra
మణిపూర్	Manipur
మేఘాలయ	Meghalaya
ఇల్లినాయిస్	Illinois
నార్త్ డకోటా	Nord-Dakota
సౌత్ డకోటా	Sør-Dakota
మొంటానా	Montana
వయోమింగ్	Wyoming
జెరూసలేం	Jerusalem
ఐడహొ	Idaho
బ్రూస్ స్ప్రింగ్‌స్టీన్	Bruce Springsteen
నెవాడా	Nevada
హిందూ మహాసముద్రం	Indiahavet
కోఫీ అన్నన్	Kofi Annan
బౌత్రోస్ బౌత్రోస్ ఘలీ	Boutros Boutros-Ghali
జేవియర్ పెరేజ్ డిక్యుల్లర్	Javier Pérez de Cuéllar
కొలరాడో	Colorado
యూ థాంట్	U Thant
కొలరాడో నది	Colorado (elv)
ట్రిగ్వేలీ	Trygve Lie
వర్గం:వర్గాలు	Kategori:Kategorier
ఆల్ప్స్ పర్వతాలు	Alpene
బ్లేజ్ పాస్కల్	Blaise Pascal
డార్ట్ ముండ్	Dortmund
చికాగో	Chicago
ద బీటిల్స్	The Beatles
చలికాలం	Vinter
వేసవి కాలం	Sommer
విషువత్తు	Jevndøgn
సద్దామ్ హుసేన్	Saddam Hussein
ఒసామా బిన్ లాదెన్	Osama bin Laden
స్పానిష్ భాష	Spansk
పిట్స్‌బర్గ్	Pittsburgh
ఫిలడెల్ఫియా,పెన్సిల్వేనియా	Philadelphia
కోల్‌కత	Kolkata
చెన్నై	Chennai
ఢిల్లీ	Delhi
ఢాకా	Dhaka
బెంగుళూరు	Bangalore
పశ్చిమ బెంగాల్	Vest-Bengal
సాలెపురుగు	Edderkopper
ఆర్థ్రోపోడా	Leddyr
హైదరాబాదు	Hyderabad
ఇస్లామాబాద్	Islamabad
త్రిపుర	Tripura
పండు	Frukt
కోతి	Apekatter
ధనం	Penger
వర్జీనియా	Virginia
పశ్చిమ వర్జీనియా	Vest-Virginia
న్యూయార్క్ రాష్ట్రం	New York (delstat)
రోడ్ ఐలండ్	Rhode Island
కీటకము	Insekter
మేరీల్యాండ్	Maryland
డెలావేర్	Delaware
లెనిన్	Vladimir Lenin
ఒహాయో	Ohio
మాకియవెలీ	Niccolò Machiavelli
పెన్సిల్వేనియా	Pennsylvania
ఊఎతెర్సెన్	Uetersen
ఆగస్టస్	Augustus
విండోస్	Microsoft Windows
న్యూజెర్సీ	New Jersey
నీరో	Nero
ఇండియానా	Indiana
నోకియా	Nokia (selskap)
కారు	Bil
రోజర్ ఫెడరర్	Roger Federer
జార్జియా	Georgia (USA)
కెడిఇ(KDE)	KDE Software Compilation
రాజస్థాన్	Rajasthan
టెక్సస్	Texas
తమిళనాడు	Tamil Nadu
నార్త్ కెరొలినా	Nord-Carolina
మైదాన హాకీ	Landhockey
సౌత్ కెరొలినా	Sør-Carolina
సిసిలీ	Sicilia
మనీలా	Manila
సార్డీనియా	Sardinia
క్రోన్స్ వ్యాధి	Crohns sykdom
టోక్యో	Tokyo
మిసిసిపీ	Mississippi
మిసిసిపీ నది	Mississippi (elv)
ఉత్తర ప్రదేశ్	Uttar Pradesh
ఉత్తరాఖండ్	Uttarakhand
ఈత కొలను	Svømmebasseng
మిజోరాం	Mizoram
సిక్కిం	Sikkim
టేనస్సీ	Tennessee
నాగపూర్	Nagpur
న్యూ మెక్సికో	New Mexico
ఏథెన్స్	Athen
మిన్నసోటా	Minnesota
విస్కాన్సిన్	Wisconsin
పూణే	Pune
అయోవా	Iowa
నెబ్రాస్కా	Nebraska
కాన్సాస్	Kansas
హిందీ భాష	Hindi
మరాఠీ భాష	Marathi
పొగ చుట్ట	Sigar
సిగరెట్	Sigarett
వినాయకుడు	Ganesha
మిస్సోరీ	Missouri
లూసియానా	Louisiana
నాగాలాండ్	Nagaland
కెంటకీ	Kentucky
ఆర్కాన్సా	Arkansas
నీల్ ఆర్మ్‌స్ట్రాంగ్	Neil Armstrong
ఉర్దూ భాష	Urdu
ఓక్లహోమా	Oklahoma
డానుబే	Donau
వాలీబాల్	Volleyball
వియన్నా	Wien
కోపెన్‌హాగన్	København
స్టాక్‌హోమ్	Stockholm
కొచ్చి	Kochi (India)
బైబిల్	Bibelen
ఆంగ్ల భాష	Engelsk
బ్యాంకాక్	Bangkok
క్యివ్	Kiev
అంటారియో	Ontario
అటావా	Ottawa
కొన్‌స్కొవొలా	Końskowola
ఫార్ములా వన్	Formel 1
2000	2000
2003	2003
2002	2002
2001	2001
2012	2012
2011	2011
2010	2010
2009	2009
కార్బన్ డయాక్సైడ్	Karbondioksid
2013	2013
2008	2008
జావాస్క్రిప్టు	JavaScript
2004	2004
2005	2005
2006	2006
2007	2007
లినక్స్ మింట్	Linux Mint
1900	1900
1901	1901
1902	1902
ఫ్లోరెన్స్	Firenze
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
1908	1908
1909	1909
1992	1992
1991	1991
1990	1990
1993	1993
1994	1994
1995	1995
1996	1996
1910	1910
1911	1911
1912	1912
1913	1913
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
1999	1999
1917	1917
1918	1918
ఆహారం	Mat
పాము	Slanger
XML	XML
నోటితో రతి	Oralsex
న్యూట్రినో	Nøytrino
సన్ గోకు (డ్రాగన్ బాల్)	Son Gokū
జనవరి 1	1. januar
జనవరి 2	2. januar
సుభాష్ చంద్రబోస్	Subhas Chandra Bose
1920	1920
జనవరి 3	3. januar
1919	1919
1921	1921
1922	1922
జనవరి 4	4. januar
1923	1923
1924	1924
ఆస్టెరాయిడ్ పట్టీ	Asteroidebeltet
గిఫ్	GIF
మరుగుజ్జు గ్రహం	Dvergplanet
జనవరి 5	5. januar
జనవరి 6	6. januar
ఎలక్ట్రాన్	Elektron
జనవరి 7	7. januar
జనవరి 8	8. januar
జనవరి 9	9. januar
జనవరి 10	10. januar
జనవరి 11	11. januar
జనవరి 12	12. januar
జనవరి 13	13. januar
బర్మింగ్‌హామ్	Birmingham
జనవరి 14	14. januar
జనవరి 15	15. januar
జనవరి 16	16. januar
జనవరి 17	17. januar
జనవరి 18	18. januar
జనవరి 19	19. januar
జనవరి 20	20. januar
పారిశ్రామిక విప్లవం	Den industrielle revolusjon
జనవరి 21	21. januar
జనవరి 22	22. januar
జనవరి 23	23. januar
జనవరి 24	24. januar
జనవరి 25	25. januar
జనవరి 26	26. januar
మైక్రోసాఫ్ట్	Microsoft
జనవరి 27	27. januar
జనవరి 28	28. januar
జనవరి 29	29. januar
జనవరి 30	30. januar
జనవరి 31	31. januar
ప్రోటాన్	Proton
డిసెంబర్ 2	2. desember
డిసెంబర్ 1	1. desember
డిసెంబర్ 3	3. desember
డిసెంబర్ 7	7. desember
డిసెంబర్ 5	5. desember
డిసెంబర్ 8	8. desember
డిసెంబర్ 10	10. desember
డిసెంబర్ 6	6. desember
డిసెంబర్ 9	9. desember
పింక్ ఫ్లాయిడ్	Pink Floyd
డిసెంబర్ 4	4. desember
ఫిబ్రవరి 1	1. februar
ఫిబ్రవరి 2	2. februar
ఫిబ్రవరి 3	3. februar
కురోవ్	Kurów
ఫిబ్రవరి 4	4. februar
ఫిబ్రవరి 5	5. februar
ఫిబ్రవరి 6	6. februar
ఫిబ్రవరి 7	7. februar
ఫిబ్రవరి 8	8. februar
ఫిబ్రవరి 9	9. februar
ఫిబ్రవరి 10	10. februar
రసాయన శాస్త్రము	Kjemi
ఫిబ్రవరి 14	14. februar
ఫిబ్రవరి 13	13. februar
ఫిబ్రవరి 15	15. februar
ఫిబ్రవరి 11	11. februar
ఫిబ్రవరి 12	12. februar
ఫిబ్రవరి 19	19. februar
ఫిబ్రవరి 17	17. februar
ఫిబ్రవరి 16	16. februar
ఫిబ్రవరి 18	18. februar
ఫిబ్రవరి 20	20. februar
12 యాంగ్రీ మెన్	12 edsvorne menn
న్యూట్రాన్	Nøytron
69 భంగిమ	69 (sexstilling)
ఫిబ్రవరి 21	21. februar
ఫిబ్రవరి 22	22. februar
ఫిబ్రవరి 23	23. februar
ఫిబ్రవరి 24	24. februar
ఫిబ్రవరి 25	25. februar
ఫిబ్రవరి 26	26. februar
ఫిబ్రవరి 27	27. februar
ఫిబ్రవరి 28	28. februar
డిసెంబర్ 11	11. desember
ఫిబ్రవరి 29	29. februar
డిసెంబర్ 12	12. desember
విజువల్ బేసిక్	Visual Basic
డిసెంబర్ 13	13. desember
డిసెంబర్ 14	14. desember
డిసెంబర్ 15	15. desember
మార్చి 2	2. mars
మార్చి 3	3. mars
మార్చి 5	5. mars
మార్చి 1	1. mars
మార్చి 7	7. mars
మార్చి 8	8. mars
మార్చి 4	4. mars
మార్చి 10	10. mars
మార్చి 11	11. mars
మార్చి 6	6. mars
మార్చి 13	13. mars
మార్చి 9	9. mars
మార్చి 12	12. mars
మార్చి 15	15. mars
మార్చి 14	14. mars
డిసెంబర్ 16	16. desember
డిసెంబర్ 17	17. desember
మార్చి 16	16. mars
మార్చి 17	17. mars
మార్చి 18	18. mars
మార్చి 19	19. mars
1989	1989
1988	1988
మార్చి 20	20. mars
1987	1987
1986	1986
1985	1985
1984	1984
మార్చి 21	21. mars
1983	1983
మార్చి 22	22. mars
1982	1982
1981	1981
డిసెంబర్ 18	18. desember
1980	1980
మార్చి 23	23. mars
డిసెంబర్ 19	19. desember
మార్చి 24	24. mars
మార్చి 25	25. mars
డిసెంబర్ 20	20. desember
మార్చి 26	26. mars
మార్చి 27	27. mars
మార్చి 28	28. mars
మార్చి 29	29. mars
మార్చి 30	30. mars
మార్చి 31	31. mars
1970	1970
1971	1971
1972	1972
1973	1973
1974	1974
1975	1975
1976	1976
1977	1977
1978	1978
1979	1979
1969	1969
ఏప్రిల్ 15	15. april
ఏప్రిల్ 13	13. april
ఏప్రిల్ 12	12. april
ఏప్రిల్ 14	14. april
ఏప్రిల్ 11	11. april
ఏప్రిల్ 10	10. april
ఏప్రిల్ 8	8. april
ఏప్రిల్ 9	9. april
ఏప్రిల్ 7	7. april
ఏప్రిల్ 6	6. april
ఏప్రిల్ 5	5. april
ఏప్రిల్ 4	4. april
ఏప్రిల్ 3	3. april
ఏప్రిల్ 1	1. april
ఏప్రిల్ 2	2. april
హబుల్ టెలీస్కోపు	Hubble-teleskopet
ఏప్రిల్ 16	16. april
ఏప్రిల్ 17	17. april
ఏప్రిల్ 18	18. april
ఏప్రిల్ 19	19. april
ఏప్రిల్ 20	20. april
ఏప్రిల్ 21	21. april
ఏప్రిల్ 22	22. april
ఏప్రిల్ 23	23. april
ఏప్రిల్ 24	24. april
ఏప్రిల్ 25	25. april
ఏప్రిల్ 26	26. april
ఏప్రిల్ 27	27. april
ఏప్రిల్ 28	28. april
ఏప్రిల్ 29	29. april
ఏప్రిల్ 30	30. april
