Afrihkká	Afrika
Itáliagiella	Italiensk
Chad	Tsjad
Ođđa-Selánda	New Zealand
India	India
Tuvalu	Tuvalu
Tonga	Tonga
Samoa	Samoa
Salomonsullot	Salomonøyene
Vanuatu	Vanuatu
Papua-Ođđa-Guinea	Papua Ny-Guinea
William Shakespeare	William Shakespeare
Palau	Palau
Nauru	Nauru
Mikronesia	Mikronesiaføderasjonen
Marshallsullot	Marshalløyene
Kiribati	Kiribati
Mongolia	Mongolia
Fiži	Fiji
Venezuela	Venezuela
Šáhkka	Sjakk
Maine	Maine
Heabuš	Hest
Amsterdam	Amsterdam
Suriname	Surinam
Paraguay	Paraguay
Guyana	Guyana
Ecuador	Ecuador
Kolombia	Colombia
Eanamuorjjit	Jordbærslekta
Buddhisma	Buddhisme
Bolivia	Bolivia
New Hampshire	New Hampshire
Leonardo da Vinci	Leonardo da Vinci
Saint Christopher ja Nevis	Saint Kitts og Nevis
Guobbarat	Sopper
Jamaica	Jamaica
Grenada	Grenada
Massachusetts	Massachusetts
Guatemala	Guatemala
Bahama	Bahamas
Connecticut	Connecticut
Antigua ja Barbuda	Antigua og Barbuda
Haváija	Hawaii
Honduras	Honduras
Dominica	Dominica
Dominikána dásseváldi	Den dominikanske republikk
Haiti	Haiti
El Salvador	El Salvador
Iran	Iran
Irak	Irak
Alaska	Alaska
Costa Rica	Costa Rica
Israel	Israel
Panama	Panama
Jemen	Jemen
Polskkagiella	Polsk
Jordánia	Jordan
Nicaragua	Nicaragua
Florida	Florida
Kirgisistan	Kirgisistan
Arizona	Arizona
Kuwait	Kuwait
Laos	Laos
Libanon	Libanon
Oregon	Oregon
Malediivvat	Maldivene
Utah	Utah
Malaysia	Malaysia
Valais (kantona)	Wallis
Myanmar	Myanmar
Nepal	Nepal
Oman	Oman
Pakistan	Pakistan
Qatar	Qatar
Saudi-Arábia	Saudi-Arabia
Sri Lanka	Sri Lanka
Syria	Syria
Platon	Platon
Tažikistan	Tadsjikistan
Taiwan	Republikken Kina
YouTube	YouTube
Aristoteles	Aristoteles
Thaieana	Thailand
Turkmenistan	Turkmenistan
Ovttastuvvan arábaemiráhtat	De forente arabiske emirater
Vietnam	Vietnam
Lulli-Korea	Sør-Korea
Afganistan	Afghanistan
Nižni Novgorod	Nizjnij Novgorod
J. R. R. Tolkien	J. R. R. Tolkien
Golli	Gull
Bangladesh	Bangladesh
Mali	Mali
Angola	Angola
Bhutan	Bhutan
Brunei	Brunei
Tanzánia	Tanzania
Filippiinnat	Filippinene
Gaska-Afrihká dásseváldi	Den sentralafrikanske republikk
Davvipola	Nordpolen
Albert Einstein	Albert Einstein
Togo	Togo
Tunisia	Tunisia
Zámbia	Zambia
Zimbabwe	Zimbabwe
Peking	Beijing
Lulli-Sudan	Sør-Sudan
Tuva	Tuva (republikk)
Benin	Benin
Botswana	Botswana
Burkina Faso	Burkina Faso
Burundi	Burundi
Komorat	Komorene
Kongo dásseváldi	Republikken Kongo
Kongo demokráhtalaš dásseváldi	Den demokratiske republikken Kongo
Djibouti	Djibouti
Bayern	Bayern
Beaivvedási Guinea	Ekvatorial-Guinea
Baden-Württemberg	Baden-Württemberg
Eritrea	Eritrea
New Delhi	New Delhi
Tbilisi	Tbilisi
Gabon	Gabon
Gambia	Gambia
Guinea	Guinea
Guinea-Bissau	Guinea-Bissau
Elefántačalánriddu	Elfenbenskysten
Kamerun	Kamerun
Kap Verde	Kapp Verde
Lesotho	Lesotho
Liberia	Liberia
Libya	Libya
Madagaskar	Madagaskar
Malawi	Malawi
Mauritánia	Mauritania
Mauritius	Mauritius
Marokko	Marokko
Mosambik	Mosambik
Namibia	Namibia
Niger	Niger
Nigeria	Nigeria
Uganda	Uganda
Rwanda	Rwanda
São Tomé ja Príncipe	São Tomé og Príncipe
Senegal	Senegal
Seychellsullot	Seychellene
Sierra Leone	Sierra Leone
Somália	Somalia
Sudan	Sudan
Svazieana	Swaziland
Hamborg	Hamburg
Ovttastuvvan našuvnnat	De forente nasjoner
Praha	Praha
Bill Clinton	Bill Clinton
Lothringen	Lorraine
Auvergne	Auvergne
Michigan	Michigan
Goa	Goa
Burgundi	Bourgogne
Akvitania	Aquitaine
Limousin	Limousin
Slesvig-Holsten	Schleswig-Holstein
Mecklenburg-Vorpommern	Mecklenburg-Vorpommern
Niedersachsen	Niedersachsen
Nordrhein-Westfalen	Nordrhein-Westfalen
Hessen	Hessen
Rheinland-Pfalz	Rheinland-Pfalz
Saarland	Saarland
Sachsen	Sachsen
Illinois	Illinois
Thüringen	Thüringen
Sachsen-Anhalt	Sachsen-Anhalt
Davvi-Dakota	Nord-Dakota
Brandenburg	Brandenburg
Bremen	Bremen
Lombardia	Lombardia
Lulli-Dakota	Sør-Dakota
Montana	Montana
Wyoming	Wyoming
Piemonte	Piemonte
Idaho	Idaho
Valle d'Aosta	Aostadalen
Washington (oassestáhta)	Washington
Nevada	Nevada
Trentino-Alto Adige	Trentino-Syd-Tirol
Veneto	Veneto
Friuli-Venezia Giulia	Friuli-Venezia Giulia
Ban Ki-moon	Ban Ki-moon
Kofi Annan	Kofi Annan
Liguria	Liguria
Colorado	Colorado
Emilia-Romagna	Emilia-Romagna
Toscana	Toscana
Marche	Marche
Umbria	Umbria
Kategoriija:Váldokategoriijat	Kategori:Kategorier
Latium	Latium
Abruzzo	Abruzzo
Chicago	Chicago
Spánskagiella	Spansk
Montevideo	Montevideo
Delhi	Delhi
Heavdni	Edderkopper
Islamabad	Islamabad
Šattus	Frukt
Áhppa	Apekatter
Virginia	Virginia
Oarje-Virginia	Vest-Virginia
New York (oassestáhta)	New York (delstat)
Rhode Island	Rhode Island
Maryland	Maryland
Delaware	Delaware
Ohio	Ohio
Pennsylvania	Pennsylvania
Uetersen	Uetersen
New Jersey	New Jersey
Suomagiella	Finsk
Indiana	Indiana
Georgia (oassestáhta)	Georgia (USA)
KDE	KDE Software Compilation
Zagreb	Zagreb
Campania	Campania
Texas	Texas
Molise	Molise
Puglia	Puglia
Basilicata	Basilicata
Davvi-Carolina	Nord-Carolina
Lulli-Carolina	Sør-Carolina
Calabria	Calabria
Sicilia	Sicilia
Sardinia	Sardinia
Meksiko gávpot	Mexico by
Tokyo	Tokyo
Barcelona	Barcelona
Mississippi	Mississippi
Tennessee	Tennessee
New Mexico	New Mexico
Athena	Athen
Minnesota	Minnesota
UTC	UTC
Wisconsin	Wisconsin
Iowa	Iowa
Nebraska	Nebraska
Ciudad de Guatemala	Guatemala by
Kansas	Kansas
Hindigiella	Hindi
Missouri	Missouri
Louisiana	Louisiana
Kentucky	Kentucky
Arkansas	Arkansas
Urdugiella	Urdu
Oklahoma	Oklahoma
Moskva oblast	Moskva oblast
München	München
Samara oblast	Samara oblast
Wien	Wien
Københápman	København
Kaliningrad oblast	Kaliningrad oblast
Stockholbma	Stockholm
Helsset	Helsingfors
Murmansk oblast	Murmansk oblast
Dublin	Dublin
Murmánska	Murmansk
Reykjavík	Reykjavík
Tallinn	Tallinn
Riga	Riga
Bratislava	Bratislava
Budapest	Budapest
Gdańsk	Gdańsk
Frankfurt	Frankfurt am Main
Kárášjohka	Karasjok
Luxemburg (gávpot)	Luxembourg (by)
Vaduz	Vaduz
Biibbal	Bibelen
Hồ Chí Minh gávpot	Ho Chi Minh-byen
Hanoi	Hanoi
Eaŋgalsgiella	Engelsk
Bangkok	Bangkok
Andorra la Vella	Andorra la Vella
Arkhangelsk oblast	Arkhangelsk oblast
Đồng Hới	Dong Hoi
Concepción, Chile	Concepción
Fyresdal	Fyresdal
Kiova	Kiev
Gárjila dásseváldi	Karelia
Końskowola	Końskowola
2000	2000
2003	2003
2002	2002
2001	2001
2012	2012
2011	2011
2010	2010
2009	2009
2013	2013
2014	2014
2015	2015
2008	2008
2004	2004
Vologda oblast	Vologda oblast
2005	2005
2006	2006
2007	2007
1900	1900
1901	1901
1902	1902
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
1908	1908
1909	1909
1992	1992
1991	1991
1990	1990
1993	1993
1994	1994
1995	1995
1996	1996
Komi dásseváldi	Komi
1910	1910
1911	1911
1912	1912
1913	1913
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
1999	1999
1917	1917
1918	1918
Biebmu	Mat
Gearpmašat	Slanger
Ođđajagimánu 1.	1. januar
Ođđajagimánu 2.	2. januar
1920	1920
Ođđajagimánu 3.	3. januar
1919	1919
1921	1921
Njenec Iehčanas Guovlu	Nenetsk
1922	1922
Lund (Rogalánda)	Lund (by)
Ođđajagimánu 4.	4. januar
1923	1923
1924	1924
Leningrad oblast	Leningrad oblast
Ođđajagimánu 5.	5. januar
Malmö	Malmö
Pskov oblast	Pskov oblast
Ođđajagimánu 6.	6. januar
Ođđajagimánu 7.	7. januar
Nissedal	Nissedal
Kviteseid	Kviteseid
Ođđajagimánu 8.	8. januar
Seljord	Seljord
Ođđajagimánu 9.	9. januar
Novgorod oblast	Novgorod oblast
Tokke	Tokke
Ođđajagimánu 10.	10. januar
Vinje	Vinje
Nizjnij Novgorod oblast	Nizjnij Novgorod oblast
Ođđajagimánu 11.	11. januar
Ođđajagimánu 12.	12. januar
Telemárkku fylka	Telemark
Ođđajagimánu 13.	13. januar
Ođđajagimánu 14.	14. januar
Ođđajagimánu 15.	15. januar
Ođđajagimánu 16.	16. januar
Ođđajagimánu 17.	17. januar
Ođđajagimánu 18.	18. januar
Ođđajagimánu 19.	19. januar
Ođđajagimánu 20.	20. januar
Skien	Skien
Ođđajagimánu 21.	21. januar
Ođđajagimánu 22.	22. januar
Ođđajagimánu 23.	23. januar
Ođđajagimánu 24.	24. januar
Ođđajagimánu 25.	25. januar
Minsk	Minsk
Ođđajagimánu 26.	26. januar
Ođđajagimánu 27.	27. januar
Ođđajagimánu 28.	28. januar
Ođđajagimánu 29.	29. januar
Ođđajagimánu 30.	30. januar
Ođđajagimánu 31.	31. januar
Porsgrunn	Porsgrunn
Tver oblast	Tver oblast
Juovlamánu 2.	2. desember
Juovlamánu 1.	1. desember
Juovlamánu 3.	3. desember
Juovlamánu 7.	7. desember
Juovlamánu 5.	5. desember
Juovlamánu 8.	8. desember
Juovlamánu 10.	10. desember
Juovlamánu 6.	6. desember
Juovlamánu 9.	9. desember
Siljan	Siljan
Juovlamánu 4.	4. desember
Guovvamánu 1.	1. februar
Guovvamánu 2.	2. februar
Guovvamánu 3.	3. februar
Kurów	Kurów
Guovvamánu 4.	4. februar
Guovvamánu 5.	5. februar
Guovvamánu 6.	6. februar
Guovvamánu 7.	7. februar
Guovvamánu 8.	8. februar
Guovvamánu 9.	9. februar
Guovvamánu 10.	10. februar
Notodden	Notodden
Guovvamánu 14.	14. februar
Guovvamánu 13.	13. februar
Guovvamánu 15.	15. februar
Guovvamánu 11.	11. februar
Guovvamánu 12.	12. februar
Guovvamánu 19.	19. februar
Guovvamánu 17.	17. februar
Guovvamánu 16.	16. februar
Guovvamánu 18.	18. februar
Guovvamánu 20.	20. februar
Smolensk oblast	Smolensk oblast
Guovvamánu 21.	21. februar
Guovvamánu 22.	22. februar
Guovvamánu 23.	23. februar
Hjartdal	Hjartdal
Guovvamánu 24.	24. februar
Guovvamánu 25.	25. februar
Guovvamánu 26.	26. februar
Guovvamánu 27.	27. februar
Guovvamánu 28.	28. februar
Juovlamánu 11.	11. desember
Guovvamánu 29.	29. februar
Drangedal	Drangedal
Juovlamánu 12.	12. desember
Kragerø	Kragerø
Nome	Nome
Juovlamánu 13.	13. desember
Sauherad	Sauherad
Juovlamánu 14.	14. desember
Juovlamánu 15.	15. desember
Njukčamánu 2.	2. mars
Njukčamánu 3.	3. mars
Njukčamánu 5.	5. mars
Njukčamánu 1.	1. mars
Njukčamánu 7.	7. mars
Njukčamánu 8.	8. mars
Njukčamánu 4.	4. mars
Njukčamánu 10.	10. mars
Njukčamánu 11.	11. mars
Njukčamánu 6.	6. mars
Njukčamánu 13.	13. mars
Njukčamánu 9.	9. mars
Njukčamánu 12.	12. mars
Njukčamánu 15.	15. mars
Njukčamánu 14.	14. mars
Juovlamánu 16.	16. desember
Juovlamánu 17.	17. desember
Kristiansand	Kristiansand
Njukčamánu 16.	16. mars
Njukčamánu 17.	17. mars
Njukčamánu 18.	18. mars
Njukčamánu 19.	19. mars
1989	1989
1988	1988
Njukčamánu 20.	20. mars
1987	1987
1986	1986
1985	1985
1984	1984
Njukčamánu 21.	21. mars
1983	1983
Njukčamánu 22.	22. mars
1982	1982
1981	1981
Juovlamánu 18.	18. desember
1980	1980
Njukčamánu 23.	23. mars
Jaroslavl oblast	Jaroslavl oblast
Juovlamánu 19.	19. desember
Njukčamánu 24.	24. mars
Njukčamánu 25.	25. mars
Juovlamánu 20.	20. desember
Njukčamánu 26.	26. mars
Njukčamánu 27.	27. mars
Njukčamánu 28.	28. mars
Njukčamánu 29.	29. mars
Njukčamánu 30.	30. mars
Njukčamánu 31.	31. mars
1970	1970
1971	1971
1972	1972
1973	1973
1974	1974
1975	1975
1976	1976
1977	1977
1978	1978
1979	1979
1969	1969
Cuoŋománu 15.	15. april
Cuoŋománu 13.	13. april
Cuoŋománu 12.	12. april
Cuoŋománu 14.	14. april
Cuoŋománu 11.	11. april
Cuoŋománu 10.	10. april
Cuoŋománu 8.	8. april
Cuoŋománu 9.	9. april
Cuoŋománu 7.	7. april
Cuoŋománu 6.	6. april
Cuoŋománu 5.	5. april
Cuoŋománu 4.	4. april
Cuoŋománu 3.	3. april
Cuoŋománu 1.	1. april
Cuoŋománu 2.	2. april
Cuoŋománu 16.	16. april
Cuoŋománu 17.	17. april
Cuoŋománu 18.	18. april
Cuoŋománu 19.	19. april
Cuoŋománu 20.	20. april
Cuoŋománu 21.	21. april
Cuoŋománu 22.	22. april
Cuoŋománu 23.	23. april
Cuoŋománu 24.	24. april
Cuoŋománu 25.	25. april
Cuoŋománu 26.	26. april
Cuoŋománu 27.	27. april
Cuoŋománu 28.	28. april
Cuoŋománu 29.	29. april
Cuoŋománu 30.	30. april
Miessemánu 1.	1. mai
Miessemánu 2.	2. mai
Miessemánu 3.	3. mai
Miessemánu 4.	4. mai
Miessemánu 5.	5. mai
Miessemánu 6.	6. mai
Miessemánu 7.	7. mai
Miessemánu 8.	8. mai
Miessemánu 9.	9. mai
Miessemánu 10.	10. mai
Miessemánu 11.	11. mai
Miessemánu 12.	12. mai
Miessemánu 13.	13. mai
Miessemánu 14.	14. mai
Miessemánu 15.	15. mai
Miessemánu 16.	16. mai
Miessemánu 17.	17. mai
Miessemánu 18.	18. mai
Miessemánu 19.	19. mai
Miessemánu 20.	20. mai
Miessemánu 21.	21. mai
Miessemánu 22.	22. mai
Miessemánu 23.	23. mai
Miessemánu 24.	24. mai
Miessemánu 25.	25. mai
Miessemánu 26.	26. mai
Miessemánu 27.	27. mai
Miessemánu 28.	28. mai
Miessemánu 29.	29. mai
Miessemánu 30.	30. mai
Miessemánu 31.	31. mai
Kostroma oblast	Kostroma oblast
Juovlamánu 21.	21. desember
Geassemánu 14.	14. juni
Geassemánu 15.	15. juni
Geassemánu 13.	13. juni
Geassemánu 10.	10. juni
Geassemánu 7.	7. juni
Geassemánu 11.	11. juni
Geassemánu 9.	9. juni
Geassemánu 12.	12. juni
Geassemánu 6.	6. juni
Geassemánu 8.	8. juni
Geassemánu 5.	5. juni
Geassemánu 3.	3. juni
Geassemánu 2.	2. juni
Geassemánu 1.	1. juni
Geassemánu 4.	4. juni
Juovlamánu 22.	22. desember
1968	1968
1967	1967
1966	1966
1965	1965
1964	1964
Geassemánu 16.	16. juni
Ivanovo oblast	Ivanovo oblast
Geassemánu 30.	30. juni
Geassemánu 29.	29. juni
Geassemánu 28.	28. juni
Geassemánu 26.	26. juni
Geassemánu 25.	25. juni
Geassemánu 22.	22. juni
Geassemánu 27.	27. juni
Geassemánu 24.	24. juni
Geassemánu 20.	20. juni
Geassemánu 23.	23. juni
Geassemánu 19.	19. juni
Geassemánu 18.	18. juni
Geassemánu 21.	21. juni
Geassemánu 17.	17. juni
Juovlamánu 23.	23. desember
Suoidnemánu 15.	15. juli
Suoidnemánu 13.	13. juli
Suoidnemánu 12.	12. juli
Suoidnemánu 10.	10. juli
Suoidnemánu 9.	9. juli
Suoidnemánu 14.	14. juli
Suoidnemánu 8.	8. juli
Suoidnemánu 7.	7. juli
Suoidnemánu 6.	6. juli
Suoidnemánu 5.	5. juli
Suoidnemánu 2.	2. juli
Suoidnemánu 4.	4. juli
Suoidnemánu 3.	3. juli
Suoidnemánu 1.	1. juli
Suoidnemánu 11.	11. juli
Vladimir oblast	Vladimir oblast
Juovlamánu 24.	24. desember
Suoidnemánu 31.	31. juli
Suoidnemánu 30.	30. juli
Suoidnemánu 29.	29. juli
Suoidnemánu 28.	28. juli
Suoidnemánu 27.	27. juli
Suoidnemánu 25.	25. juli
Suoidnemánu 24.	24. juli
Suoidnemánu 23.	23. juli
Suoidnemánu 26.	26. juli
Suoidnemánu 22.	22. juli
Suoidnemánu 19.	19. juli
Suoidnemánu 21.	21. juli
Suoidnemánu 20.	20. juli
Suoidnemánu 17.	17. juli
Suoidnemánu 18.	18. juli
Suoidnemánu 16.	16. juli
Spábbačiekčan	Fotball
Juovlamánu 25.	25. desember
Rjazan oblast	Rjazan oblast
1963	1963
Lech Kaczyński	Lech Kaczyński
Juovlamánu 26.	26. desember
1962	1962
Borgemánu 14.	14. august
Borgemánu 15.	15. august
Borgemánu 13.	13. august
Borgemánu 12.	12. august
Borgemánu 11.	11. august
Borgemánu 10.	10. august
Borgemánu 8.	8. august
Borgemánu 7.	7. august
Borgemánu 9.	9. august
Borgemánu 5.	5. august
Borgemánu 4.	4. august
Borgemánu 2.	2. august
Borgemánu 3.	3. august
Borgemánu 6.	6. august
Borgemánu 1.	1. august
Tula oblast	Tula oblast
Juovlamánu 27.	27. desember
Madrid	Madrid
Brjansk oblast	Brjansk oblast
Borgemánu 16.	16. august
Coca-Cola	Coca-Cola
Borgemánu 29.	29. august
Borgemánu 28.	28. august
Borgemánu 30.	30. august
Borgemánu 25.	25. august
Borgemánu 26.	26. august
Borgemánu 23.	23. august
Borgemánu 27.	27. august
Borgemánu 21.	21. august
Borgemánu 20.	20. august
Borgemánu 24.	24. august
Borgemánu 18.	18. august
Borgemánu 17.	17. august
Borgemánu 22.	22. august
Borgemánu 19.	19. august
Borgemánu 31.	31. august
Michael Jackson	Michael Jackson
Juovlamánu 28.	28. desember
Kaluga oblast	Kaluga oblast
Čakčamánu 15.	15. september
Čakčamánu 14.	14. september
Čakčamánu 13.	13. september
Čakčamánu 12.	12. september
Čakčamánu 8.	8. september
Čakčamánu 11.	11. september
Čakčamánu 7.	7. september
Čakčamánu 10.	10. september
Čakčamánu 5.	5. september
Čakčamánu 4.	4. september
Čakčamánu 9.	9. september
Čakčamánu 2.	2. september
Čakčamánu 6.	6. september
Čakčamánu 1.	1. september
Čakčamánu 3.	3. september
Juovlamánu 29.	29. desember
Alexander Lukašenka	Aleksandr Lukasjenko
Čakčamánu 30.	30. september
Čakčamánu 29.	29. september
Čakčamánu 28.	28. september
Čakčamánu 27.	27. september
Čakčamánu 26.	26. september
Čakčamánu 25.	25. september
Čakčamánu 23.	23. september
Čakčamánu 22.	22. september
Čakčamánu 24.	24. september
Čakčamánu 21.	21. september
Čakčamánu 20.	20. september
Čakčamánu 18.	18. september
Čakčamánu 17.	17. september
Čakčamánu 19.	19. september
Čakčamánu 16.	16. september
Quito	Quito
Juovlamánu 30.	30. desember
Antoine de Saint-Exupéry	Antoine de Saint-Exupéry
Juovlamánu 31.	31. desember
Golggotmánu 1.	1. oktober
Golggotmánu 15.	15. oktober
Golggotmánu 12.	12. oktober
Golggotmánu 10.	10. oktober
Golggotmánu 14.	14. oktober
Golggotmánu 9.	9. oktober
Golggotmánu 8.	8. oktober
Golggotmánu 13.	13. oktober
Golggotmánu 7.	7. oktober
Golggotmánu 11.	11. oktober
Golggotmánu 6.	6. oktober
Golggotmánu 4.	4. oktober
Golggotmánu 5.	5. oktober
Golggotmánu 3.	3. oktober
Golggotmánu 2.	2. oktober
Golggotmánu 31.	31. oktober
Golggotmánu 30.	30. oktober
Golggotmánu 29.	29. oktober
Golggotmánu 28.	28. oktober
Golggotmánu 26.	26. oktober
Golggotmánu 25.	25. oktober
Golggotmánu 24.	24. oktober
Golggotmánu 27.	27. oktober
Golggotmánu 22.	22. oktober
Golggotmánu 23.	23. oktober
Golggotmánu 20.	20. oktober
Golggotmánu 21.	21. oktober
Golggotmánu 19.	19. oktober
Golggotmánu 17.	17. oktober
Golggotmánu 16.	16. oktober
Golggotmánu 18.	18. oktober
Skábmamánu 15.	15. november
Skábmamánu 14.	14. november
Skábmamánu 13.	13. november
Skábmamánu 12.	12. november
Skábmamánu 11.	11. november
Skábmamánu 10.	10. november
Skábmamánu 7.	7. november
Skábmamánu 8.	8. november
Skábmamánu 9.	9. november
Skábmamánu 6.	6. november
Skábmamánu 5.	5. november
Skábmamánu 4.	4. november
Skábmamánu 3.	3. november
Skábmamánu 2.	2. november
Skábmamánu 1.	1. november
Skábmamánu 30.	30. november
Skábmamánu 29.	29. november
Skábmamánu 28.	28. november
Skábmamánu 27.	27. november
Skábmamánu 26.	26. november
Skábmamánu 25.	25. november
Skábmamánu 23.	23. november
Skábmamánu 24.	24. november
Skábmamánu 21.	21. november
Skábmamánu 20.	20. november
Skábmamánu 22.	22. november
Skábmamánu 19.	19. november
Skábmamánu 18.	18. november
Skábmamánu 17.	17. november
Skábmamánu 16.	16. november
Kathmandu	Katmandu
Belmopan	Belmopan
Loire-Atlantique	Loire-Atlantique
San José	San José
Ain	Ain (departement)
Aisne	Aisne (departement)
Vosges	Vosges
Allier (departemeanta)	Allier
Hautes-Alpes	Hautes-Alpes
Orjol oblast	Orjol oblast
Sydney	Sydney
Alpes-de-Haute-Provence	Alpes-de-Haute-Provence
Ardèche	Ardèche
Ardennes	Ardennes
Kursk oblast	Kursk oblast
Ariège	Ariège
Aube	Aube
Aude	Aude
Aveyron	Aveyron
Bouches-du-Rhône	Bouches-du-Rhône
Charente	Charente
Managua	Managua
Charente-Maritime	Charente-Maritime
Panama gávpot	Panama by
Corrèze	Corrèze
Belgorod oblast	Belgorod oblast
Haute-Corse	Haute-Corse
Corse-du-Sud	Corse-du-Sud
Côte-d'Or	Côte-d'Or
Côtes-d'Armor	Côtes-d'Armor
Creuse	Creuse
Dordogne	Dordogne
Doubs	Doubs
Drôme	Drôme
Essonne	Essonne
Eure	Eure
Eure-et-Loir	Eure-et-Loir
Finistère	Finistère
Voronezj oblast	Voronezj oblast
Lipetsk oblast	Lipetsk oblast
Tambov oblast	Tambov oblast
Rostov oblast	Rostov oblast
Teheran	Teheran
Ankara	Ankara
Niamey	Niamey
1961	1961
Belgrad	Beograd
Adygeia	Adygia
Kategoriija:Mállet	Kategori:Maler
1960	1960
Frankriikka Guayana	Fransk Guyana
Volgograd oblast	Volgograd oblast
Nikosia	Nikosia
Nairobi	Nairobi
Beaivvášsevnnjodeapmi	Solformørkelse
Mbabane	Mbabane
Maseru	Maseru
Skuvla	Skole
Asturia eanangoddi	Asturias
