આફ્રિકા	Afrika
જ્યોર્જીયા (દેશ)	Georgia
કઝાકિસ્તાન	Kasakhstan
માલ્ટા	Malta
મોનૅકો	Monaco
મોન્ટેનીગ્રો	Montenegro
સાન મૅરિનો	San Marino
ઍફીલ ટાવર	Eiffeltårnet
ઇન્ટેલ કોર્પોરેશન	Intel
કોમ્પ્યુટર કીબોર્ડ	Tastatur
જાવા (પ્રોગ્રામિંગ ભાષા)	Java (programmeringsspråk)
ઈંડોનેશિયા	Indonesia
મોઝાર્ટ	Wolfgang Amadeus Mozart
દક્ષિણ આફ્રિકા	Sør-Afrika
વિકિસ્રોત	Wikikilden
ઉઝબેકિસ્તાન	Usbekistan
પાણી	Vann
ચીલી	Chile
ઇસુ	Jesus Kristus
ગૅલિલિયો ગૅલિલિ	Galileo Galilei
બુધ (ગ્રહ)	Merkur
ઇતિહાસ	Historie
શુક્ર (ગ્રહ)	Venus
ભાષા	Språk
પ્રેમ	Kjærlighet
આકાશગંગા	Galakse
ગુરુ (ગ્રહ)	Jupiter
યુરેનસ (ગ્રહ)	Uranus
નૅપ્ચ્યુન (ગ્રહ)	Neptun (planet)
ખગોળશાસ્ત્ર	Astronomi
સિંગાપુર	Singapore
વિજ્ઞાન	Vitenskap
પ્લૂટો	Pluto
ફ્રી સૉફ્ટવૅર	Fri programvare
લીચેસ્ટેઈન	Liechtenstein
રમત-ગમત	Sport
ફેસબુક	Facebook
જુલિયન અસાંજે	Julian Assange
બીજું વિશ્વ યુદ્ધ	Andre verdenskrig
ભ્રષ્ટાચાર	Korrupsjon
વોડકા	Vodka
ઉબુન્ટુ (ઓપરેટિંગ સિસ્ટમ)	Ubuntu (operativsystem)
ગણિત	Matematikk
બહેરીન	Bahrain
આર્મેનિયા	Armenia
ચંદ્ર	Månen
ઑસ્ટ્રેલિયા	Australia
ભૌતિકશાસ્ત્ર	Fysikk
આર્જેન્ટીના	Argentina
પેરુ (દેશ)	Peru
જીવવિજ્ઞાન	Biologi
અજાણી ઊડતી વસ્તુ	Uidentifisert flygende objekt
ઉત્તર કોરિયા	Nord-Korea
કમ્બોડીયા	Kambodsja
કુરાન	Koranen
ડાયનાસોર	Dinosaurer
પ્રાણીશાસ્ત્ર	Zoologi
ઇસ્લામ	Islam
વર્લ્ડ વાઈડ વેબ	World Wide Web
સ્ત્રી	Kvinne
કોમ્પ્યુટર વાયરસ	Datavirus
હિરોશિમા અને નાગાસાકી પરનો અણુ હુમલો	Atombombene over Hiroshima og Nagasaki
મિલાન	Milano
લીંબુ	Sitron
કેળાં	Bananer
ફૂલ	Blomst
માઉન્ટ એવરેસ્ટ	Mount Everest
શહેર	By
નેપોલિયન બોનાપાર્ટ	Napoléon Bonaparte
સૂર્ય	Solen
લૂઈ પાશ્ચર	Louis Pasteur
પ્રકાશવર્ષ	Lysår
ગામ	Landsby
સૂર્યમંડળ	Solsystemet
ચેમ્પ્સ-એલીસીસ (પેરિસ)	Avenue des Champs-Élysées
ઉદકજન	Hydrogen
હીલિયમ	Helium
નર્ક	Helvete
વિકિમીડિયા કૉમન્સ	Wikimedia Commons
લિથિયમ	Litium
બેરિલિયમ	Beryllium
દિવસ	Dag
પૂર્વ તિમોર	Øst-Timor
વર્ષ	År
ઓસ્લો	Oslo
કૃષ્ણ વિવર	Sort hull
સિરસ (વામન ગ્રહ)	Ceres (dvergplanet)
હૌમેયા (વામન ગ્રહ)	Haumea
મેકમેક (વામન ગ્રહ)	Makemake
બોરોન	Bor (grunnstoff)
કાર્બન	Karbon
નત્રલવાયુ	Nitrogen
પ્રાણવાયુ (ઑક્સીજન)	Oksygen
ગ્રહ	Planet
સંગીત	Musikk
ઉષ્ણતામાપક	Termometer
ફ્લોરિન	Fluor
નિયોન	Neon
ચૅડ	Tsjad
ક્ષારાતુ	Natrium
ઉત્તર	Nord
મેગ્નેશિયમ	Magnesium
સ્ફટયાતુ	Aluminium
દક્ષિણ	Sør
ભારત	India
સિલિકોન	Silisium
ફ્રાંસીયમ	Francium
ફોસ્ફરસ	Fosfor
લોખંડ	Jern
પશ્ચિમ	Vest
ગંધક	Svovel
સમોઆ	Samoa
નીરજી	Klor
વિલિયમ શેક્સપીયર	William Shakespeare
આર્ગોન	Argon
નૌરુ	Nauru
પોટેશિયમ	Kalium
કેલ્શિયમ	Kalsium
સીસું	Bly
મંગોલિયા	Mongolia
સ્કેન્ડિયમ	Scandium
ટાઇટેનિયમ	Titan (grunnstoff)
વેનેઝુએલા	Venezuela
ચેસ	Sjakk
વેનેડિયમ	Vanadium
વર્ણાતુ	Krom
ઘોડો	Hest
હથિયારો	Våpen
પ્રાણી	Dyr
સુરીનામ	Surinam
મેંગેનિઝ	Mangan
ગુયાના	Guyana
કલા	Kunst
ઈક્વેડોર	Ecuador
રિનીયમ	Rhenium
કોલમ્બિયા	Colombia
કોબાલ્ટ	Kobolt
ટંગસ્ટન	Wolfram
નિકલ	Nikkel
બૌદ્ધ ધર્મ	Buddhisme
બોલીવિયા	Bolivia
ઓસ્મીયમ	Osmium
તાંબુ	Kobber
ટ્રિનિદાદ અને ટોબેગો	Trinidad og Tobago
જસત	Sink
ન્યૂ હેમ્પશાયર	New Hampshire
લિઓનાર્ડો દ વિન્ચી	Leonardo da Vinci
ગૂગલ ક્રોમ	Google Chrome
હોન્ડુરાસ	Honduras
હૈતી	Haiti
ઈરાન	Iran
ઈરાક	Irak
શાણપણ	Visdom
ઈઝરાયલ	Israel
પનામા	Panama
યેમેન	Jemen
જૉર્ડન	Jordan
કિર્ગિસ્તાન	Kirgisistan
કુવૈત	Kuwait
લાઓસ	Laos
લેબેનાન	Libanon
માલદીવ્સ	Maldivene
અમેરિકા	Amerika
મલેશિયા	Malaysia
બર્મા	Myanmar
નેપાળ	Nepal
ઓમાન	Oman
પાકિસ્તાન	Pakistan
જેમ્સ બોન્ડ	James Bond
કતાર (અરબસ્તાન)	Qatar
સાઉદી અરેબિયા	Saudi-Arabia
શ્રીલંકા	Sri Lanka
સ્ટાલિન	Josef Stalin
સિરિયા	Syria
પ્લેટો	Platon
ગેલિયમ	Gallium
તાજિકિસ્તાન	Tadsjikistan
ચીની ગણતંત્ર	Republikken Kina
યુ ટ્યુબ	YouTube
જર્મેનિયમ	Germanium
એરિસ્ટોટલ	Aristoteles
થાઇલેન્ડ	Thailand
સોમલ	Arsen
તુર્કમેનિસ્તાન	Turkmenistan
સેલિનીયમ	Selen
ઈરિડીયમ	Iridium
બ્રોમિન	Brom
પ્લેટિનમ	Platina
વિયેતનામ	Vietnam
ચાર્લી ચૅપ્લિન	Charlie Chaplin
દક્ષિણ કોરિયા	Sør-Korea
ક્રિપ્ટોન	Krypton
અફઘાનિસ્તાન	Afghanistan
રુબિડીયમ	Rubidium
સોનું	Gull
સુએઝ નહેર	Suezkanalen
બાંગ્લાદેશ	Bangladesh
સોક્રેટિસ	Sokrates
ભૂતાન	Bhutan
બ્રુનેઈ	Brunei
ટાન્ઝાનિયા	Tanzania
પારો	Kvikksølv
ફીલીપાઈન્સ	Filippinene
થેલીયમ	Thallium
આઇઝેક ન્યુટન	Isaac Newton
આલ્બર્ટ આઇન્સ્ટાઇન	Albert Einstein
સ્ટ્રોન્શિયમ	Strontium
ઈટ્રીયમ	Yttrium
બિસ્મથ	Vismut
ટોગો	Togo
ટ્યુનિશિયા	Tunisia
બેઇજિંગ	Beijing
બેનિન	Benin
પોલોનીયમ	Polonium
એસ્ટાટીન	Astat
મહાત્મા ગાંધી	Mahatma Gandhi
મડાગાસ્કર	Madagaskar
સ્ટુટગાર્ટ	Stuttgart
નાઈજર	Niger
નાઈજેરિયા	Nigeria
ચાર્લ્સ ડાર્વિન	Charles Darwin
ઝિર્કોનિયમ	Zirkonium
નાયોબિયમ	Niob
જવાહરલાલ નેહરુ	Jawaharlal Nehru
જુલિયસ સીઝર	Julius Cæsar
સુદાન	Sudan
સ્વાઝીલેન્ડ	Swaziland
મેઘધનુષ	Regnbue
મોલિબ્ડેનમ	Molybden
ટેક્નેશિયમ	Technetium
ચયાપચય	Stoffskifte
નરેન્દ્ર મોદી	Narendra Modi
ગુજરાત	Gujarat
ઉત્ક્રાંતિ	Evolusjon
સંયુક્ત રાષ્ટ્રસંઘ	De forente nasjoner
અમદાવાદ	Ahmedabad
ભૂગોળ	Geografi
મગજ	Hjerne
સંજ્ઞા	Substantiv
રુથેનિયમ	Ruthenium
રોડિયમ	Rhodium
પલેડિયમ	Palladium
ચાંદી	Sølv
કેડમિયમ	Kadmium
ઈંડિયમ	Indium
ટીન	Tinn (grunnstoff)
યુરેનિયમ	Uran
એંટિમની	Antimon
ટેલુરિયમ	Tellur
પ્લુટોનીયમ	Plutonium
આયોડિન	Jod
નેપ્ચ્યુનીયમ	Neptunium
ઝેનોન	Xenon
સીસીયમ	Cesium
પ્રોટેક્ટિનીયમ	Protactinium
બેરિયમ	Barium
થોરીયમ	Thorium
હાફનીયમ	Hafnium
એક્ટિનીયમ	Actinium
ટેન્ટેલમ	Tantal
રેડિયમ	Radium
રેડૉન	Radon
ઈન્દિરા ગાંધી	Indira Gandhi
જામનગર	Jamnagar
મુંબઈ	Mumbai
આંધ્ર પ્રદેશ	Andhra Pradesh
અરુણાચલ પ્રદેશ	Arunachal Pradesh
આસામ	Assam
બિહાર	Bihar
છત્તીસગઢ	Chhattisgarh
ગોઆ	Goa
હરિયાણા	Haryana
હિમાચલ પ્રદેશ	Himachal Pradesh
જમ્મુ અને કાશ્મીર	Jammu og Kashmir
ઝારખંડ	Jharkhand
કર્ણાટક	Karnataka
કેરળ	Kerala
મધ્ય પ્રદેશ	Madhya Pradesh
યુસૈન બોલ્ટ	Usain Bolt
મહારાષ્ટ્ર	Maharashtra
મણિપુર	Manipur
મેઘાલય	Meghalaya
બ્રુસ સ્પ્રિન્ગસ્ટીન	Bruce Springsteen
રુથરફોર્ડીયમ	Rutherfordium
ડૂબનીયમ	Dubnium
સીબોર્ગીયમ	Seaborgium
હિંદ મહાસાગર	Indiahavet
કેરેબિયન સાગર	Det karibiske hav
બોહ્રીયમ	Bohrium
હેસીયમ	Hassium
માઈટનિરીયમ	Meitnerium
ડાર્મસ્ટેડીયમ	Darmstadtium
રેન્ટજિનીયમ	Røntgenium
કોપરનિસીયમ	Copernicium
ધ બિટલ્સ	The Beatles
શિયાળો	Vinter
ઉનાળો	Sommer
સમપ્રકાશીય ઘટના કે વિષુવકાલ	Jevndøgn
ફિલાડેલ્ફિયા, પેન્સિલવેનિયા	Philadelphia
કોલકાતા	Kolkata
ચેન્નઈ	Chennai
દિલ્હી	Delhi
ઢાકા	Dhaka
બેંગલોર	Bangalore
પશ્ચિમ બંગાળ	Vest-Bengal
હૈદરાબાદ	Hyderabad
ઇસ્લામાબાદ	Islamabad
ત્રિપુરા	Tripura
વાંદરો	Apekatter
સિરીયમ	Cerium
પ્રેસિયોડિમિયમ	Praseodym
નિયોડીમીયમ	Neodym
લેનિન	Vladimir Lenin
યુરોપિયમ	Europium
ઊએતેર્સેન્	Uetersen
ઇન્ડિયાના	Indiana
નોકિયા	Nokia (selskap)
મોટરગાડી	Bil
ટ્રાજન	Trajan
રોજર ફેડરર	Roger Federer
રાજસ્થાન	Rajasthan
તમિલનાડુ	Tamil Nadu
હોકી	Landhockey
ક્રોહનનો રોગ	Crohns sykdom
ઉત્તર પ્રદેશ	Uttar Pradesh
ઉત્તરાખંડ	Uttarakhand
મિઝોરમ	Mizoram
સિક્કિમ	Sikkim
ટેનેસી	Tennessee
નાગપુર	Nagpur
કારાકાસ	Caracas
પુના	Pune
આયોવા	Iowa
નેબ્રાસ્કા	Nebraska
કેન્સાસ	Kansas
હિંદી ભાષા	Hindi
મરાઠી ભાષા	Marathi
ગણેશ	Ganesha
મિઝોરી	Missouri
લ્યુઇસિયાના	Louisiana
નાગાલેંડ	Nagaland
અરકાનસાસ	Arkansas
નીલ આર્મસ્ટ્રૉંગ	Neil Armstrong
ઉર્દુ ભાષા	Urdu
ઓક્લાહોમા	Oklahoma
બુડાપેસ્ટ	Budapest
લેન્થેનમ	Lantan
પ્રોમેથિયમ	Promethium
સમેરિયમ	Samarium
ગેડોલિનીયમ	Gadolinium
ટર્બિયમ	Terbium
ડીસ્પ્રોસીયમ	Dysprosium
બાઇબલ	Bibelen
હોલ્મીયમ	Holmium
અર્બિયમ	Erbium
થુલિયમ	Thulium
ઈટરબિયમ	Ytterbium
લ્યુટેશિયમ	Lutetium
અંગ્રેજી ભાષા	Engelsk
અમેરિસીયમ	Americium
ક્યુરીયમ	Curium
બર્કેલીયમ	Berkelium
કેલિફોર્નીયમ	Californium
આઇન્સ્ટેનીયમ	Einsteinium
ફર્મીયમ	Fermium
મેન્ડેલિવીયમ	Mendelevium
નોબેલીયમ	Nobelium
લોરેન્સીયમ	Lawrencium
ગુરુના ચંદ્રો	Jupiters måner
કઞ્સ્કવલા	Końskowola
૨૦૦૧	2001
વિકિટ્રાવેલ	Wikitravel
૧૯૯૩	1993
૧૯૧૦	1910
સાપ	Slanger
મુખ મૈથુન	Oralsex
જાન્યુઆરી ૧	1. januar
જાન્યુઆરી ૨	2. januar
સુભાષચંદ્ર બોઝ	Subhas Chandra Bose
જાન્યુઆરી ૩	3. januar
જાન્યુઆરી ૪	4. januar
જાન્યુઆરી ૫	5. januar
જાન્યુઆરી ૬	6. januar
જાન્યુઆરી ૭	7. januar
જાન્યુઆરી ૮	8. januar
જાન્યુઆરી ૯	9. januar
જાન્યુઆરી ૧૦	10. januar
જાન્યુઆરી ૧૧	11. januar
જાન્યુઆરી ૧૨	12. januar
જાન્યુઆરી ૧૩	13. januar
બર્મિંગહામ	Birmingham
જાન્યુઆરી ૧૪	14. januar
જાન્યુઆરી ૧૫	15. januar
જાન્યુઆરી ૧૬	16. januar
જાન્યુઆરી ૧૭	17. januar
જાન્યુઆરી ૧૮	18. januar
જાન્યુઆરી ૧૯	19. januar
જાન્યુઆરી ૨૦	20. januar
જાન્યુઆરી ૨૧	21. januar
જાન્યુઆરી ૨૨	22. januar
જાન્યુઆરી ૨૩	23. januar
જાન્યુઆરી ૨૪	24. januar
જાન્યુઆરી ૨૫	25. januar
જાન્યુઆરી ૨૬	26. januar
માઇક્રોસોફ્ટ	Microsoft
જાન્યુઆરી ૨૭	27. januar
જાન્યુઆરી ૨૮	28. januar
જાન્યુઆરી ૨૯	29. januar
જાન્યુઆરી ૩૦	30. januar
જાન્યુઆરી ૩૧	31. januar
ડિસેમ્બર ૨	2. desember
ડિસેમ્બર ૧	1. desember
ડિસેમ્બર ૩	3. desember
ડિસેમ્બર ૭	7. desember
ડિસેમ્બર ૫	5. desember
ડિસેમ્બર ૮	8. desember
ડિસેમ્બર ૧૦	10. desember
ડિસેમ્બર ૬	6. desember
ડિસેમ્બર ૯	9. desember
પિંક ફ્લોઇડ	Pink Floyd
ડિસેમ્બર ૪	4. desember
ફેબ્રુઆરી ૧	1. februar
ફેબ્રુઆરી ૨	2. februar
ફેબ્રુઆરી ૩	3. februar
કુરોવ	Kurów
ફેબ્રુઆરી ૪	4. februar
ફેબ્રુઆરી ૫	5. februar
ફેબ્રુઆરી ૬	6. februar
ફેબ્રુઆરી ૭	7. februar
ફેબ્રુઆરી ૮	8. februar
ફેબ્રુઆરી ૯	9. februar
ફેબ્રુઆરી ૧૦	10. februar
રસાયણ શાસ્ત્ર	Kjemi
ફેબ્રુઆરી ૧૪	14. februar
ફેબ્રુઆરી ૧૩	13. februar
ફેબ્રુઆરી ૧૫	15. februar
ફેબ્રુઆરી ૧૧	11. februar
ફેબ્રુઆરી ૧૨	12. februar
ફેબ્રુઆરી ૧૯	19. februar
ફેબ્રુઆરી ૧૭	17. februar
ફેબ્રુઆરી ૧૬	16. februar
ફેબ્રુઆરી ૧૮	18. februar
ફેબ્રુઆરી ૨૦	20. februar
ફેબ્રુઆરી ૨૧	21. februar
ફેબ્રુઆરી ૨૨	22. februar
ફેબ્રુઆરી ૨૩	23. februar
ફેબ્રુઆરી ૨૪	24. februar
ફેબ્રુઆરી ૨૫	25. februar
ફેબ્રુઆરી ૨૬	26. februar
ફેબ્રુઆરી ૨૭	27. februar
ફેબ્રુઆરી ૨૮	28. februar
ડિસેમ્બર ૧૧	11. desember
ફેબ્રુઆરી ૨૯	29. februar
ડિસેમ્બર ૧૨	12. desember
C શાર્પ (પ્રોગ્રામિંગ ભાષા)	C Sharp
ડિસેમ્બર ૧૩	13. desember
ડિસેમ્બર ૧૪	14. desember
ડિસેમ્બર ૧૫	15. desember
માર્ચ ૨	2. mars
માર્ચ ૩	3. mars
માર્ચ ૫	5. mars
માર્ચ ૧	1. mars
માર્ચ ૭	7. mars
માર્ચ ૮	8. mars
માર્ચ ૪	4. mars
માર્ચ ૧૦	10. mars
માર્ચ ૧૧	11. mars
માર્ચ ૬	6. mars
માર્ચ ૧૩	13. mars
માર્ચ ૯	9. mars
માર્ચ ૧૨	12. mars
માર્ચ ૧૫	15. mars
માર્ચ ૧૪	14. mars
C++(પ્રોગ્રામિંગ ભાષા)	C++
ડિસેમ્બર ૧૬	16. desember
ડિસેમ્બર ૧૭	17. desember
માર્ચ ૧૬	16. mars
માર્ચ ૧૭	17. mars
માર્ચ ૧૮	18. mars
માર્ચ ૧૯	19. mars
માર્ચ ૨૦	20. mars
માર્ચ ૨૧	21. mars
માર્ચ ૨૨	22. mars
ડિસેમ્બર ૧૮	18. desember
માર્ચ ૨૩	23. mars
ડિસેમ્બર ૧૯	19. desember
માર્ચ ૨૪	24. mars
માર્ચ ૨૫	25. mars
ડિસેમ્બર ૨૦	20. desember
માર્ચ ૨૬	26. mars
માર્ચ ૨૭	27. mars
માર્ચ ૨૮	28. mars
માર્ચ ૨૯	29. mars
માર્ચ ૩૦	30. mars
માર્ચ ૩૧	31. mars
એપ્રિલ ૧૫	15. april
એપ્રિલ ૧૩	13. april
એપ્રિલ ૧૨	12. april
એપ્રિલ ૧૪	14. april
એપ્રિલ ૧૧	11. april
એપ્રિલ ૧૦	10. april
એપ્રિલ ૮	8. april
એપ્રિલ ૯	9. april
એપ્રિલ ૭	7. april
એપ્રિલ ૬	6. april
એપ્રિલ ૫	5. april
એપ્રિલ ૪	4. april
એપ્રિલ ૩	3. april
એપ્રિલ ૧	1. april
એપ્રિલ ૨	2. april
એપ્રિલ ૧૬	16. april
એપ્રિલ ૧૭	17. april
એપ્રિલ ૧૮	18. april
એપ્રિલ ૧૯	19. april
એપ્રિલ ૨૦	20. april
એપ્રિલ ૨૧	21. april
એપ્રિલ ૨૨	22. april
એપ્રિલ ૨૩	23. april
એપ્રિલ ૨૪	24. april
એપ્રિલ ૨૫	25. april
એપ્રિલ ૨૬	26. april
એપ્રિલ ૨૭	27. april
એપ્રિલ ૨૮	28. april
એપ્રિલ ૨૯	29. april
એપ્રિલ ૩૦	30. april
મે ૧	1. mai
મે ૨	2. mai
મે ૩	3. mai
મે ૪	4. mai
મે ૫	5. mai
મે ૬	6. mai
મે ૭	7. mai
મે ૮	8. mai
મે ૯	9. mai
મે ૧૦	10. mai
મે ૧૧	11. mai
મે ૧૨	12. mai
મે ૧૩	13. mai
મે ૧૪	14. mai
મે ૧૫	15. mai
મે ૧૬	16. mai
મે ૧૭	17. mai
મે ૧૮	18. mai
મે ૧૯	19. mai
મે ૨૦	20. mai
મે ૨૧	21. mai
મે ૨૨	22. mai
મે ૨૩	23. mai
મે ૨૪	24. mai
મે ૨૫	25. mai
મે ૨૬	26. mai
મે ૨૭	27. mai
મે ૨૮	28. mai
મે ૨૯	29. mai
મે ૩૦	30. mai
મે ૩૧	31. mai
ડિસેમ્બર ૨૧	21. desember
જૂન ૧૪	14. juni
જૂન ૧૫	15. juni
જૂન ૧૩	13. juni
જૂન ૧૦	10. juni
જૂન ૭	7. juni
જૂન ૧૧	11. juni
જૂન ૯	9. juni
જૂન ૧૨	12. juni
જૂન ૬	6. juni
જૂન ૮	8. juni
જૂન ૫	5. juni
જૂન ૩	3. juni
જૂન ૨	2. juni
જૂન ૧	1. juni
જૂન ૪	4. juni
ડિસેમ્બર ૨૨	22. desember
જૂન ૧૬	16. juni
જૂન ૩૦	30. juni
જૂન ૨૯	29. juni
જૂન ૨૮	28. juni
જૂન ૨૬	26. juni
જૂન ૨૫	25. juni
જૂન ૨૨	22. juni
જૂન ૨૭	27. juni
જૂન ૨૪	24. juni
જૂન ૨૦	20. juni
જૂન ૨૩	23. juni
જૂન ૧૯	19. juni
જૂન ૧૮	18. juni
જૂન ૨૧	21. juni
જૂન ૧૭	17. juni
ડિસેમ્બર ૨૩	23. desember
આર્નોલ્ડ શ્વાર્ઝેનેગર	Arnold Schwarzenegger
જુલાઇ ૧૫	15. juli
જુલાઇ ૧૩	13. juli
જુલાઇ ૧૨	12. juli
જુલાઇ ૧૦	10. juli
જુલાઇ ૯	9. juli
જુલાઇ ૧૪	14. juli
જુલાઇ ૮	8. juli
જુલાઇ ૭	7. juli
જુલાઇ ૬	6. juli
જુલાઇ ૫	5. juli
જુલાઇ ૨	2. juli
જુલાઇ ૪	4. juli
જુલાઇ ૩	3. juli
જુલાઇ ૧	1. juli
જુલાઇ ૧૧	11. juli
ડિસેમ્બર ૨૪	24. desember
જુલાઇ ૩૧	31. juli
જુલાઇ ૩૦	30. juli
જુલાઇ ૨૯	29. juli
જુલાઇ ૨૮	28. juli
જુલાઇ ૨૭	27. juli
જુલાઇ ૨૫	25. juli
જુલાઇ ૨૪	24. juli
જુલાઇ ૨૩	23. juli
જુલાઇ ૨૬	26. juli
જુલાઇ ૨૨	22. juli
જુલાઇ ૧૯	19. juli
જુલાઇ ૨૧	21. juli
જુલાઇ ૨૦	20. juli
જુલાઇ ૧૭	17. juli
જુલાઇ ૧૮	18. juli
જુલાઇ ૧૬	16. juli
અસોસિએશન ફુટબોલ	Fotball
ડિસેમ્બર ૨૫	25. desember
ડિસેમ્બર ૨૬	26. desember
ઓગસ્ટ ૧૪	14. august
ઓગસ્ટ ૧૫	15. august
ઓગસ્ટ ૧૩	13. august
ઓગસ્ટ ૧૨	12. august
ઓગસ્ટ ૧૧	11. august
ઓગસ્ટ ૧૦	10. august
ઓગસ્ટ ૮	8. august
ઓગસ્ટ ૭	7. august
ઓગસ્ટ ૯	9. august
ઓગસ્ટ ૫	5. august
ઓગસ્ટ ૪	4. august
ઓગસ્ટ ૨	2. august
ઓગસ્ટ ૩	3. august
ઓગસ્ટ ૬	6. august
ઓગસ્ટ ૧	1. august
આઇપેડ (iPad)	IPad
ડિસેમ્બર ૨૭	27. desember
સબમરીન	Undervannsbåt
ઓગસ્ટ ૧૬	16. august
ઓગસ્ટ ૨૯	29. august
ઓગસ્ટ ૨૮	28. august
ઓગસ્ટ ૩૦	30. august
ઓગસ્ટ ૨૫	25. august
ઓગસ્ટ ૨૬	26. august
ઓગસ્ટ ૨૩	23. august
ઓગસ્ટ ૨૭	27. august
ઓગસ્ટ ૨૧	21. august
ઓગસ્ટ ૨૦	20. august
ઓગસ્ટ ૨૪	24. august
ઓગસ્ટ ૧૮	18. august
ઓગસ્ટ ૧૭	17. august
ઓગસ્ટ ૨૨	22. august
ઓગસ્ટ ૧૯	19. august
ઓગસ્ટ ૩૧	31. august
માઇકલ જેકસન	Michael Jackson
ડિસેમ્બર ૨૮	28. desember
સપ્ટેમ્બર ૧૫	15. september
સપ્ટેમ્બર ૧૪	14. september
સપ્ટેમ્બર ૧૩	13. september
સપ્ટેમ્બર ૧૨	12. september
સપ્ટેમ્બર ૮	8. september
સપ્ટેમ્બર ૧૧	11. september
સપ્ટેમ્બર ૭	7. september
સપ્ટેમ્બર ૧૦	10. september
સપ્ટેમ્બર ૫	5. september
સપ્ટેમ્બર ૪	4. september
સપ્ટેમ્બર ૯	9. september
સપ્ટેમ્બર ૨	2. september
સપ્ટેમ્બર ૬	6. september
સપ્ટેમ્બર ૧	1. september
સપ્ટેમ્બર ૩	3. september
ડિસેમ્બર ૨૯	29. desember
સપ્ટેમ્બર ૩૦	30. september
સપ્ટેમ્બર ૨૯	29. september
સપ્ટેમ્બર ૨૮	28. september
સપ્ટેમ્બર ૨૭	27. september
સપ્ટેમ્બર ૨૬	26. september
સપ્ટેમ્બર ૨૫	25. september
સપ્ટેમ્બર ૨૩	23. september
સપ્ટેમ્બર ૨૨	22. september
સપ્ટેમ્બર ૨૪	24. september
સપ્ટેમ્બર ૨૧	21. september
સપ્ટેમ્બર ૨૦	20. september
સપ્ટેમ્બર ૧૮	18. september
સપ્ટેમ્બર ૧૭	17. september
સપ્ટેમ્બર ૧૯	19. september
સપ્ટેમ્બર ૧૬	16. september
