Aprika	Afrika
Latbiya	Latvia
Ukraine	Ukraina
Republikang Tseko	Tsjekkia
Eslobakya	Slovakia
Eslobenya	Slovenia
Vilna	Vilnius
Moldavia	Moldova
Romania	Romania
Bulgarya	Bulgaria
Roma	Roma
Republika ng Macedonia	Republikken Makedonia
Albanya	Albania
Greenland	Grønland
Kroasya	Kroatia
Bosnia at Herzegovina	Bosnia-Hercegovina
Aserbayan	Aserbajdsjan
Andorra	Andorra
Tsipre	Republikken Kypros
Georgia (bansa)	Georgia
Valonia	Vallonia
Kazakhstan	Kasakhstan
Malta	Malta
Flandes	Flandern
Monako	Monaco
Montenegro	Montenegro
Lungsod ng Vaticano	Vatikanstaten
San Marino	San Marino
Kuba	Cuba
Belise	Belize
Toreng Eiffel	Eiffeltårnet
Barbados	Barbados
Tipaan (ng kompyuter)	Tastatur
Java (wikang pamprograma)	Java (programmeringsspråk)
Indonesia	Indonesia
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Wikang Turko	Tyrkisk
South Africa	Sør-Afrika
Linkin Park	Linkin Park
Algeria	Algerie
Uzbekistan	Usbekistan
Taskent	Tasjkent
Varsovia	Warszawa
Paligsahang Pang-awitin ng Eurovision	Eurovision Song Contest
Modena (lungsod)	Modena
Alak	Vin
Tubig	Vann
Katad	Lær
Kahoy	Treverk
Telebisyon	Fjernsyn
Pornograpiya	Pornografi
Claude Monet	Claude Monet
Chile	Chile
Hesus	Jesus Kristus
Elvis Presley	Elvis Presley
Sebastián Piñera	Sebastián Piñera
Galileo Galilei	Galileo Galilei
Merkuryo (planeta)	Merkur
Kasaysayan	Historie
Apple Inc.	Apple
Benus (planeta)	Venus
Wika	Språk
Pag-ibig	Kjærlighet
Diktadura	Diktatur
Galaksiya	Galakse
Hupiter (planeta)	Jupiter
Daang Magatas	Melkeveien
Big Bang	Big Bang
Urano	Uranus
Bretanya	Bretagne (historisk region)
Nicolas Sarkozy	Nicolas Sarkozy
Neptuno	Neptun (planet)
Astronomiya	Astronomi
Singapore	Singapore
Agham	Vitenskap
Kosmolohiya	Kosmologi
Pluton (astronomiya)	Pluto
Montréal, Québec	Montréal
Malayang sopwer	Fri programvare
Kinabukasan	Fremtid
Maria (ina ni Hesus)	Jomfru Maria
Louis IX ng Pransiya	Ludvig IX av Frankrike
Liechtenstein	Liechtenstein
Palakasan	Sport
Cambridge	Cambridge
Adolf Hitler	Adolf Hitler
Facebook	Facebook
Julian Assange	Julian Assange
Unang Digmaang Pandaigdig	Første verdenskrig
Ikalawang Digmaang Pandaigdig	Andre verdenskrig
Cologne	Köln
Korupsiyon	Korrupsjon
Augusto Pinochet	Augusto Pinochet
Yanka Kupala	Janka Kupala
Ubuntu	Ubuntu (operativsystem)
Skopje	Skopje
Bob Dylan	Bob Dylan
Szczecin	Szczecin
Metrolohiya	Metrologi
Matematika	Matematikk
U2	U2
Wikang Latin	Latin
Barein	Bahrain
Armenya	Armenia
Kuneiporme	Kileskrift
Higgs boson	Higgs-boson
Serbiya	Serbia
Buwan (astronomiya)	Månen
Istanbul	Istanbul
Linda Lovelace	Linda Lovelace
Australya	Australia
Bob Marley	Bob Marley
Carl Sagan	Carl Sagan
Astrobiyolohiya	Astrobiologi
Pisika	Fysikk
Arhentina	Argentina
Telekomunikasyon	Telekommunikasjon
Peru	Peru
Biyolohiya	Biologi
UFO	Uidentifisert flygende objekt
Hilagang Korea	Nord-Korea
Kambodya	Kambodsja
Koran	Koranen
Dinosauro	Dinosaurer
Soolohiya	Zoologi
Islam	Islam
Liubliana	Ljubljana
Botanika	Botanikk
Lech Wałęsa	Lech Wałęsa
Gulong	Hjul
Isip	Sinn
Kapayapaan	Fred
Encyclopædia Britannica	Encyclopædia Britannica
Lyon	Lyon
Unyong Europeo	Den europeiske union
Plovdiv	Plovdiv
Star Wars	Star Wars
World Wide Web	World Wide Web
Babae	Kvinne
Sofia	Sofia
Akwedukto	Akvedukt
Ñ	Ñ
Don Quixote	Don Quijote
Panulaan	Poesi
Birus ng kompyuter	Datavirus
Ngiti	Smil
Lungsod ng Milano	Milano
Kaibigan	Vennskap
Alaala	Hukommelse
Arthur Rimbaud	Arthur Rimbaud
Lungsod ng Turino	Torino
Ipot	Avføring
Butas ng puwit	Anus
Lemon	Sitron
Saging	Bananer
Émile Zola	Émile Zola
666	666
Bulaklak	Blomst
Googol	Googol
Bambang ng Marianas	Marianergropen
Bundok Everest	Mount Everest
Anatomiya	Anatomi
Lungsod	By
Napoleon I ng Pransiya	Napoléon Bonaparte
Pisyolohiya	Fysiologi
Bituin	Stjerne
Vesubio	Vesuv
Araw (astronomiya)	Solen
Louis Pasteur	Louis Pasteur
Sinag-taon	Lysår
Victor Hugo	Victor Hugo
Oceania	Oseania
Giuseppe Garibaldi	Giuseppe Garibaldi
Orvieto	Orvieto
Atletiks	Friidrett
Sistemang Pang-araw	Solsystemet
Dagat Baltiko	Østersjøen
Champs-Élysées	Avenue des Champs-Élysées
Ngipin	Tann
Idrohino	Hydrogen
Helyo	Helium
Impiyerno	Helvete
Wikimedia Commons	Wikimedia Commons
Purgatoryo	Skjærsilden
Angela Merkel	Angela Merkel
Lityo	Litium
Berilyo	Beryllium
Palakas-tinig	Høyttaler
Aklat	Bok
Araw (panahon)	Dag
Silangang Timor	Øst-Timor
Taon	År
Daang taon	Århundre
Ilog Rin	Rhinen
Oslo	Oslo
Undas	Allehelgensdag
Itim na butas	Sort hull
Seres (astronomiya)	Ceres (dvergplanet)
Lisboa	Lisboa
Ichiro Suzuki	Ichiro Suzuki
Haumea (astronomiya)	Haumea
Rodano (ilog)	Rhône
Makemake (astronomiya)	Makemake
Michael Bloomberg	Michael Bloomberg
Kateri Tekakwitha	Kateri Tekákwitha
Eris (astronomiya)	Eris (dvergplanet)
Dubai	Dubai
Lionel Messi	Lionel Messi
Lungsod ng Padua	Padova
Boron	Bor (grunnstoff)
Nicolaus Copernicus	Nikolaus Kopernikus
Karbon	Karbon
Ilog Volga	Volga
Nitroheno	Nitrogen
Lungsod ng Bergamo	Bergamo
Oksiheno	Oksygen
Planeta	Planet
Cleopatra VII ng Ehipto	Kleopatra VII av Egypt
Tugtugin	Musikk
Lungsod ng Venezia	Venezia
Naruto	Naruto
Mosku	Moskva
Plurina	Fluor
Wikang Italyano	Italiensk
Tsiwawa	Chihuahua (hund)
Neon	Neon
Chihuahua	Chihuahua (delstat)
San Petersburgo	St. Petersburg
Chad	Tsjad
Sodyo	Natrium
Magnesyo	Magnesium
Neon Genesis Evangelion (anime)	Neon Genesis Evangelion
Aluminyo	Aluminium
New Zealand	New Zealand
India	India
Silikon	Silisium
Pransiyo	Francium
Tuvalu	Tuvalu
One Piece	One Piece
Posporo (elemento)	Fosfor
André-Marie Ampère	André-Marie Ampère
Tuluyan	Prosa
Bakal	Jern
Tonga	Tonga
Alessandro Volta	Alessandro Volta
Asupre	Svovel
Samoa	Samoa
Kapuluang Salomon	Salomonøyene
Vanuatu	Vanuatu
Molière	Molière
Kloro	Klor
Papua New Guinea	Papua Ny-Guinea
William Shakespeare	William Shakespeare
Pabula	Fabel
Palau	Palau
Argon	Argon
Nauru	Nauru
Mozilla Firefox	Mozilla Firefox
Kuwentong bibit	Eventyr
Mga Estadong Pederado ng Mikronesya	Mikronesiaføderasjonen
Potasyo	Kalium
Kalsiyo	Kalsium
Tingga	Bly
Kapuluang Marshall	Marshalløyene
Kiribati	Kiribati
Mongolia	Mongolia
Fiji	Fiji
Eskandiyo	Scandium
Stevie Wonder	Stevie Wonder
Titanyo	Titan (grunnstoff)
Venezuela	Venezuela
Ahedres	Sjakk
Genghis Khan	Djengis Khan
Banadyo	Vanadium
Maine	Maine
Kromyo	Krom
Kabayo	Hest
Amsterdam	Amsterdam
Sandata	Våpen
Hayop	Dyr
Surinam	Surinam
Mangganeso	Mangan
Paraguay	Paraguay
Guyana	Guyana
Sining	Kunst
Ecuador	Ecuador
Colombia	Colombia
Kobalto	Kobolt
Wolpramyo	Wolfram
Budismo	Buddhisme
Bolivia	Bolivia
Tanso	Kobber
Trinidad at Tobago	Trinidad og Tobago
Halaman	Planter
San Vicente at ang Kagranadinahan	Saint Vincent og Grenadinene
Sink	Sink
Bagong Hampshire	New Hampshire
Santa Lucia (bansa)	Saint Lucia
Leonardo da Vinci	Leonardo da Vinci
San Cristobal at Niyebes	Saint Kitts og Nevis
Fungus	Sopper
Hamayka	Jamaica
Grenada	Grenada
Massachusetts	Massachusetts
Guwatemala	Guatemala
Google Chrome	Google Chrome
Bahamas	Bahamas
Connecticut	Connecticut
Manok	Tamhøns
Antigua at Barbuda	Antigua og Barbuda
Hawaii	Hawaii
Honduras	Honduras
Dominika	Dominica
Hersey	Jersey
Republikang Dominikano	Den dominikanske republikk
Baboy	Gris
Karagatang Artiko	Nordishavet
Hayti	Haiti
Taumatawhakatangihangakoauauotamateapokaiwhenuakitanatahu	Taumatawhakatangihangakoauauotamateaturipukakapikimaungahoronukupokaiwhenuakitanatahu
El Salvador	El Salvador
Iran	Iran
Gago	Dumhet
Iraq	Irak
Alaska	Alaska
Karunungan	Visdom
Costa Rica	Costa Rica
Israel	Israel
Panama	Panama
Yemen	Jemen
Birus	Virus
Wikang Polako	Polsk
Hordan	Jordan
Nicaragua	Nicaragua
Florida	Florida
Kyrgyzstan	Kirgisistan
Arisona	Arizona
Kuwait	Kuwait
Laos (bansa)	Laos
Lebanon	Libanon
Oregon	Oregon
Maldives	Maldivene
Kaamerikahan	Amerika
Utah	Utah
Baka	Storfe
Malaysia	Malaysia
Myanmar	Myanmar
Nepal	Nepal
Oman	Oman
Pakistan	Pakistan
James Bond	James Bond
Qatar	Qatar
Tenis	Tennis
Saudi Arabia	Saudi-Arabia
Sri Lanka	Sri Lanka
Joseph Stalin	Josef Stalin
Syria	Syria
Platon	Platon
Tayikistan	Tadsjikistan
Pokémon	Pokémon
Republika ng Tsina	Republikken Kina
YouTube	YouTube
Aristoteles	Aristoteles
Taylandiya	Thailand
Tren	Jernbanetog
Arseniko	Arsen
Radyo	Radio
Meryl Streep	Meryl Streep
Turkmenistan	Turkmenistan
Abakan	Abakan
United Arab Emirates	De forente arabiske emirater
Bromina	Brom
Platino	Platina
Vietnam	Vietnam
Charlie Chaplin	Charlie Chaplin
Novosibirsk	Novosibirsk
Timog Korea	Sør-Korea
The Simpsons	Simpsons
Yekaterinburg	Jekaterinburg
Kripton	Krypton
Afghanistan	Afghanistan
Gangnam Style	Gangnam Style
Nizhny Novgorod	Nizjnij Novgorod
J. R. R. Tolkien	J. R. R. Tolkien
Rubidyo	Rubidium
Ginto	Gull
Omsk	Omsk
Agusan ng Suez	Suezkanalen
Kazan	Kazan
Bangladesh	Bangladesh
Bleach	Bleach (manga)
Franz Kafka	Franz Kafka
Chelyabinsk	Tsjeljabinsk
Rostov-on-Don	Rostov-na-Donu
Jorge Luis Borges	Jorge Luis Borges
Ufa	Ufa (by)
Mali (bansa)	Mali
Socrates	Sokrates
Volgograd	Volgograd
Angola	Angola
Perm	Perm (by)
Bhutan	Bhutan
Twitter	Twitter
Krasnoyarsk	Krasnojarsk
Brunei	Brunei
Tanzania	Tanzania
Asoge	Kvikksølv
Roald Amundsen	Roald Amundsen
Pilipinas	Filippinene
Republika ng Gitnang Aprika	Den sentralafrikanske republikk
Uzumaki Naruto	Naruto Uzumaki
Polong Timog	Sydpolen
Hilagang Polo	Nordpolen
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Estronsiyo	Strontium
Pedro I ng Brasil	Pedro I av Brasil
Itriyo	Yttrium
Bismuto	Vismut
Dilaw	Gul
Mekaniks na kwantum	Kvantemekanikk
Togo	Togo
Tunisya	Tunisia
John Bardeen	John Bardeen
Sambya	Zambia
Zimbabwe	Zimbabwe
Beijing	Beijing
Timog Sudan	Sør-Sudan
Vladivostok	Vladivostok
Tuva	Tuva (republikk)
Benin	Benin
Botswana	Botswana
Burkina Faso	Burkina Faso
Burundi	Burundi
Comoros	Komorene
Republika ng Congo	Republikken Kongo
Demokratikong Republika ng Congo	Den demokratiske republikken Kongo
San Antonio, Texas	San Antonio
Tomsk	Tomsk
Djibouti	Djibouti
Meme	Mem
Polonium	Polonium
Bavaria	Bayern
Gineang Ekwatoriyal	Ekvatorial-Guinea
Eritrea	Eritrea
New Delhi	New Delhi
Papa Juan Pablo II	Johannes Paul II
Fëdor Dostoevskij	Fjodor Dostojevskij
Tangway ng Kamchatka	Kamtsjatkahalvøya
Tiflis	Tbilisi
Sanggol	Spedbarn
Astatino	Astat
Gabon	Gabon
Mahatma Gandhi	Mahatma Gandhi
Komiks	Tegneserie
Ang Gambiya	Gambia
Ginea	Guinea
Ginea-Bissau	Guinea-Bissau
Côte d'Ivoire	Elfenbenskysten
Cameroon	Kamerun
Kabo Berde	Kapp Verde
Lesoto	Lesotho
Liberia	Liberia
Libya	Libya
Aachen	Aachen
Madagascar	Madagaskar
Malawi	Malawi
Stuttgart	Stuttgart
Mauritania	Mauritania
Mauritius	Mauritius
Maruekos	Marokko
Mozambique	Mosambik
Namibia	Namibia
Niger	Niger
Nigerya	Nigeria
Charles Darwin	Charles Darwin
Uganda	Uganda
Rwanda	Rwanda
Sirkonyo	Zirkonium
Santo Tome at Prinsipe	São Tomé og Príncipe
Senegal	Senegal
Seychelles	Seychellene
Carl Linnaeus	Carl von Linné
Sierra Leone	Sierra Leone
Somalia	Somalia
Julio Cesar	Julius Cæsar
Sudan	Sudan
Swaziland	Swaziland
Bahaghari	Regnbue
Metabolismo	Stoffskifte
Sistemang immuno	Immunforsvar
Gujarat	Gujarat
Ebolusyon	Evolusjon
Mga Nagkakaisang Bansa	De forente nasjoner
Dante Alighieri	Dante Alighieri
Heolohiya	Geologi
Ahmedabad	Ahmedabad
Heograpiya	Geografi
Puso (anatomiya)	Hjerte
Utak	Hjerne
Balat (anatomiya)	Hud
Kulay	Farge
Pangngalan	Substantiv
Praga	Praha
Bughaw	Blå
Pilak	Sølv
Star Trek	Star Trek
Lata	Tinn (grunnstoff)
Uranyo	Uran
Antimonyo	Antimon
Plutonyo	Plutonium
Iodine	Jod
Henon (elemento)	Xenon
Anime	Anime
Sesyo	Cesium
Karga ng kuryente	Elektrisk ladning
Baryo (elemento)	Barium
Aktinyo	Actinium
Bill Clinton	Bill Clinton
Radyo (elemento)	Radium
Radon	Radon
Indira Gandhi	Indira Gandhi
Merkuryo (mitolohiya)	Merkur (gud)
Busto Arsizio	Busto Arsizio
Mumbai	Mumbai
Andhra Pradesh	Andhra Pradesh
Michigan	Michigan
Goa	Goa
Borgonya	Bourgogne
Maurice Ravel	Maurice Ravel
Aquitania	Aquitaine
Puerto Rico	Puerto Rico
Madhya Pradesh	Madhya Pradesh
Usain Bolt	Usain Bolt
Maharashtra	Maharashtra
Hilagang Renania-Westfalia	Nordrhein-Westfalen
Hesse	Hessen
Sahonya	Sachsen
John Lennon	John Lennon
Illinois	Illinois
Hilagang Dakota	Nord-Dakota
Brandeburgo	Brandenburg
Lombardy	Lombardia
Timog Dakota	Sør-Dakota
Montana	Montana
Wyoming	Wyoming
Piemonte	Piemonte
Herusalem	Jerusalem
Giorgio Napolitano	Giorgio Napolitano
Idaho	Idaho
Lambak ng Aosta	Aostadalen
Washington	Washington
Nebada	Nevada
Trentino-Alto Adige/Südtirol	Trentino-Syd-Tirol
Karagatang Indiyano	Indiahavet
Veneto	Veneto
Kosovo	Kosovo
Dagat Karibe	Det karibiske hav
Boryo	Bohrium
Ban Ki-moon	Ban Ki-moon
Kofi Annan	Kofi Annan
Liguria	Liguria
Boutros Boutros-Ghali	Boutros Boutros-Ghali
Colorado	Colorado
Frederic Francois Chopin	Frédéric Chopin
Minatamis (prutas)	Syltetøy
Tuskanya	Toscana
Marche	Marche
Umbria	Umbria
Kategorya:Mga nilalaman	Kategori:Kategorier
Lazio	Latium
Abruzzo	Abruzzo
Alpes	Alpene
Jansenismo	Jansenismen
Kabundukang Carpatos	Karpatene
Blaise Pascal	Blaise Pascal
Dama	Dam (spill)
Gante	Gent
Chicago	Chicago
The Beatles	The Beatles
Ununquadium	Flerovium
Ununoctium	Ununoctium
Como (lungsod)	Como
Taglamig	Vinter
Tagsibol	Vår
Tag-init	Sommer
Taglagas	Høst
Ekinoks	Jevndøgn
Saddam Hussein	Saddam Hussein
Osama bin Laden	Osama bin Laden
Wikang Kastila	Spansk
Montevideo	Montevideo
Johann Sebastian Bach	Johann Sebastian Bach
Antonio Vivaldi	Antonio Vivaldi
Tolyatti	Toljatti
Pittsburgh, Pennsylvania	Pittsburgh
Opera	Opera
Philadelphia, Pennsylvania	Philadelphia
Kolkata	Kolkata
Chennai	Chennai
Delhi	Delhi
Dhaka	Dhaka
Bangalore	Bangalore
West Bengal	Vest-Bengal
Gagamba	Edderkopper
Arachnida	Edderkoppdyr
Arthropoda	Leddyr
Hyderabad, Andhra Pradesh	Hyderabad
Islamabad	Islamabad
Bungang-kahoy	Frukt
Unggoy	Apekatter
Salapi	Penger
Virginia (estado)	Virginia
West Virginia	Vest-Virginia
New York	New York (delstat)
Seryo	Cerium
Rhode Island	Rhode Island
Neodimyo	Neodym
Kulisap	Insekter
Maryland	Maryland
Delaware	Delaware
Vladimir Lenin	Vladimir Lenin
Ohio	Ohio
Vergilius	Vergil
Niccolò Machiavelli	Niccolò Machiavelli
Pennsylvania	Pennsylvania
Petrarca	Francesco Petrarca
Giovanni Boccaccio	Giovanni Boccaccio
Uetersen	Uetersen
Cesar Augusto	Augustus
Microsoft Windows	Microsoft Windows
Tiberius	Tiberius
New Jersey	New Jersey
Caligula	Caligula
Gibraltar	Gibraltar
Claudius	Claudius
Wikang Pinlandes	Finsk
Nero	Nero
Galba	Galba
Indiyana (Estado ng Estados Unidos)	Indiana
Otho	Otho
Vitellius	Vitellius
Nokia	Nokia (selskap)
Vespasian	Vespasian
Kotse	Bil
Titus	Titus
Domitian	Domitian
Nerva	Nerva
Trajan	Trajan
Roger Federer	Roger Federer
Hadrian	Hadrian
Georgia	Georgia (USA)
Antoninus Pius	Antoninus Pius
Marcus Aurelius	Marcus Aurelius
Lucius Verus	Lucius Verus
Commodus	Commodus
Lungsod ng Zagreb	Zagreb
Pertinax	Pertinax
Rajasthan	Rajasthan
Campania	Campania
Texas	Texas
Didius Julianus	Didius Julianus
Septimius Severus	Septimius Severus
Molise	Molise
Organo (musika)	Orgel
Caracalla	Caracalla
Apulia	Puglia
Lungsod ng Genova	Genova
Bruno Mars	Bruno Mars
Bundok Pinatubo	Pinatubo
Basilicata	Basilicata
Hilagang Karolina	Nord-Carolina
South Carolina	Sør-Carolina
Calabria	Calabria
Sicilia	Sicilia
Maynila	Manila
Sardinia	Sardinia
Ferdinand Marcos	Ferdinand E. Marcos
Benigno Aquino III	Benigno Aquino III
Lungsod ng Cebu	Cebu City
Ilog Sena	Seine
Lungsod ng Dabaw	Davao
Lungsod Quezon	Quezón by
Burdeos	Bordeaux
Corazon Aquino	Corazón Aquino
Bulkang Mayon	Mayon
Lungsod ng Buenos Aires	Buenos Aires
Lungsod ng Mehiko	Mexico by
Tokyo	Tokyo
Lungsod ng Barcelona	Barcelona
Misisipi	Mississippi
Fernando de Magallanes	Ferdinand Magellan
Ilog Mississippi	Mississippi (elv)
José Rizal	José Rizal
Manuel L. Quezon	Manuel L. Quezón
Sikkim	Sikkim
Makati	Makati
Tennessee	Tennessee
Richard Wagner	Richard Wagner
Nagpur	Nagpur
Janis Joplin	Janis Joplin
Abidjan	Abidjan
Abu Dhabi	Abu Dhabi (by)
Astana	Astana
Bagong Mehiko	New Mexico
Ramesses II	Ramses II
Atenas	Athen
Rotonda	Rundkjøring
Minesota	Minnesota
Baghdad	Bagdad
Caracas	Caracas
Pandaigdigang Batayan ng Oras	UTC
Wisconsin	Wisconsin
Pune	Pune
Cicero	Marcus Tullius Cicero
Cyndi Lauper	Cyndi Lauper
Ayowa	Iowa
Nebraska	Nebraska
Lungsod ng Guwatemala	Guatemala by
Kansas	Kansas
Havana	Havanna
Tabako	Tobakk
Wikang Hindi	Hindi
Internet Explorer	Internet Explorer
Sigarilyo	Sigarett
Missouri	Missouri
George Ohm	Georg Simon Ohm
Louisiana	Louisiana
Luigi Galvani	Luigi Galvani
Kentucky	Kentucky
Arkansas	Arkansas
Neil Armstrong	Neil Armstrong
Charles Lindbergh	Charles Lindbergh
Édith Piaf	Édith Piaf
Ilog Elba	Elben
Cagayan de Oro	Cagayan de Oro
Oklahoma	Oklahoma
Danubio	Donau
Dagat Hilaga	Nordsjøen
Legazpi, Albay	Legazpi City
Moscow Oblast	Moskva oblast
Serge Gainsbourg	Serge Gainsbourg
Ligao	Ligao City
Tabaco, Albay	Tabaco City
Isabela, Basilan	Isabela City
Lamitan	Lamitan City
Mainz	Mainz
Wiesbaden	Wiesbaden
Munich	München
Samara Oblast	Samara oblast
Dresde	Dresden
Balibol (palakasan)	Volleyball
Vienna	Wien
Madonna	Madonna (artist)
Copenhague	København
Kaliningrad Oblast	Kaliningrad oblast
Macrinus	Macrinus
Estokolmo	Stockholm
Lungsod ng Helsinki	Helsingfors
Murmansk Oblast	Murmansk oblast
Dublin	Dublin
Elagabalus	Heliogabalus
Murmansk	Murmansk
Reikiavik	Reykjavík
Ella Fitzgerald	Ella Fitzgerald
Alexander Severus	Alexander Severus
Tallin	Tallinn
Riga	Riga
Maximinus Thrax	Maximinus Thrax
Louis Armstrong	Louis Armstrong
Bratislava	Bratislava
Budapest	Budapest
Gordian I	Gordian I
Frankfurt	Frankfurt am Main
Pupienus	Pupienus
Breslavia	Wrocław
Gordian II	Gordian II
Balbinus	Balbinus
Prometyo	Promethium
Yunit na pang-astronomiya	Astronomisk enhet
Gordian III	Gordian III
Felipe ang Arabo	Filip Araberen
Aceh	Aceh
Kaliningrado	Kaliningrad
Decius (emperor)	Decius
Death Note	Death Note
Katolisismo	Katolisisme
Lungsod ng Luksemburgo	Luxembourg (by)
Vaduz	Vaduz
Bibliya	Bibelen
San Marino, San Marino	San Marino by
Phnom Penh	Phnom Penh
Arkhangelsk	Arkhangelsk
Lungsod ng Ho Chi Minh	Ho Chi Minh-byen
Iterbiyo	Ytterbium
Malaybalay	Malaybalay City
Hanoi	Hanoi
Wikang Ingles	Engelsk
Bangkok	Bangkok
Lungsod ng Andorra la Vella	Andorra la Vella
Kuala Lumpur	Kuala Lumpur
Taipei	Taipei
Amerisyo	Americium
Odessa	Odessa
Arkhangelsk Oblast	Arkhangelsk oblast
Dong Hoi	Dong Hoi
Concepción, Tsile	Concepción
Berkelyo	Berkelium
Diplomasya	Diplomati
Petrozavodsk	Petrozavodsk
Lungsod ng Cagliari	Cagliari
Kiev	Kiev
Nobelyo	Nobelium
Lungsod ng Catania	Catania
Ontario, Canada	Ontario
Republika ng Karelia	Karelia
Ottawa	Ottawa
Juba, Timog Sudan	Juba
Manitoba	Manitoba
Alberta	Alberta
Nova Scotia	Nova Scotia
Yerevan	Jerevan
Vologda	Vologda
Końskowola	Końskowola
Hartum	Khartoum
New Brunswick	New Brunswick
Formula One	Formel 1
British Columbia	Britisk Columbia
Prince Edward Island	Prince Edward Island
2000	2000
2003	2003
2002	2002
2001	2001
Saskatchewan	Saskatchewan
2012	2012
Masashi Kishimoto	Masashi Kishimoto
2011	2011
2010	2010
2009	2009
Dioksidong karbono	Karbondioksid
2013	2013
2014	2014
2015	2015
Newfoundland at Labrador	Newfoundland og Labrador
2008	2008
Hilagang Kanlurang mga Nasasakupan	Nordvestterritoriene
Yukon	Yukon
2004	2004
Vologda Oblast	Vologda oblast
Wikitravel	Wikitravel
2005	2005
Dragon Ball	Dragon Ball
2006	2006
Nunavut	Nunavut
2007	2007
Lungsod ng Verona	Verona
1900	1900
1901	1901
François Mitterrand	François Mitterrand
Livy	Titus Livius
Charles de Gaulle	Charles de Gaulle
1902	1902
Lungsod ng Florencia	Firenze
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
1908	1908
1909	1909
1992	1992
Yellowknife	Yellowknife
1991	1991
1990	1990
1993	1993
Essen, Alemanya	Essen
1994	1994
1995	1995
1996	1996
Republika ng Komi	Komi
1910	1910
1911	1911
1912	1912
1913	1913
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
