Aafrika	Afrika
Eduardo Frei Ruiz-Tagle	Eduardo Frei Ruiz-Tagle
Bretagne'i poolsaar	Bretagne (historisk region)
Ingliskeelne Vikipeedia	Wikipedia på engelsk
Nicolas Sarkozy	Nicolas Sarkozy
Ricardo Lagos	Ricardo Lagos
Neptuun	Neptun (planet)
Astronoomia	Astronomi
Singapur	Singapore
Teadus	Vitenskap
Kosmoloogia	Kosmologi
Pluuto	Pluto
Montréal	Montréal
Vaba tarkvara	Fri programvare
Quimper	Quimper
Tulevik	Fremtid
Maarja	Jomfru Maria
Louis IX	Ludvig IX av Frankrike
Liechtenstein	Liechtenstein
Ajakapsel	Tidskapsel
Sport	Sport
Cambridge	Cambridge
Yellowstone'i rahvuspark	Yellowstone nasjonalpark
Adolf Hitler	Adolf Hitler
Facebook	Facebook
Kultuurimälestis	Kulturminne
WikiLeaks	WikiLeaks
Julian Assange	Julian Assange
Esimene maailmasõda	Første verdenskrig
Teine maailmasõda	Andre verdenskrig
Köln	Köln
Korruptsioon	Korrupsjon
Vikiõpikud	Wikibøker
Augusto Pinochet	Augusto Pinochet
Vikitsitaadid	Wikiquote
Vikiülikool	Wikiversity
!!!	!!!
Wikivoyage	Wikivoyage
Viin (jook)	Vodka
Kell	Klokke (ur)
Janka Kupała	Janka Kupala
Ubuntu	Ubuntu (operativsystem)
Skopje	Skopje
Gdynia	Gdynia
Bob Dylan	Bob Dylan
Szczecin	Szczecin
Matemaatika	Matematikk
U2	U2
Ladina keel	Latin
Bahrein	Bahrain
Armeenia	Armenia
Jenna Jameson	Jenna Jameson
Kiilkiri	Kileskrift
Higgsi boson	Higgs-boson
Serbia	Serbia
Kuu	Månen
İstanbul	Istanbul
Austraalia	Australia
Bob Marley	Bob Marley
Carl Sagan	Carl Sagan
Astrobioloogia	Astrobiologi
Füüsika	Fysikk
Argentina	Argentina
Telekommunikatsioon	Telekommunikasjon
Peruu	Peru
Bioloogia	Biologi
UFO	Uidentifisert flygende objekt
Põhja-Korea	Nord-Korea
Kambodža	Kambodsja
Kuiperi vöö	Kuiperbeltet
Koraan	Koranen
Dinosaurused	Dinosaurer
Zooloogia	Zoologi
Islam	Islam
Ljubljana	Ljubljana
Salvador Allende	Salvador Allende
Botaanika	Botanikk
Ich bin ein Berliner	Ich bin ein Berliner
Lech Wałęsa	Lech Wałęsa
Ratas	Hjul
Entsüklopeedia (Diderot)	Encyclopédie
Denis Diderot	Denis Diderot
Georges Brassens	Georges Brassens
Vaim (mens)	Sinn
Rahu	Fred
Encyclopædia Britannica	Encyclopædia Britannica
Lyon	Lyon
Euroopa Liit	Den europeiske union
Plovdiv	Plovdiv
Interneti arhiiv	Internet Archive
Tähtede sõda	Star Wars
Rhône-Alpes	Rhône-Alpes
Veeb	World Wide Web
Naine	Kvinne
Dysoni sfäär	Dyson-sfære
Sofia	Sofia
Akvedukt	Akvedukt
Eduardo Frei Montalva	Eduardo Frei Montalva
Ñ	Ñ
Don Quijote	Don Quijote
Luule	Poesi
Arvutiviirus	Datavirus
Tšornobõli katastroof	Tsjernobyl-ulykken
Bill Maher	Bill Maher
Milano	Milano
Sõprus	Vennskap
Mälu	Hukommelse
Arthur Rimbaud	Arthur Rimbaud
Torino	Torino
Roe	Avføring
Pärak	Anus
Ulrich Friedrich Woldemar von Löwendahl	Waldemar von Löwendahl
Harilik sidrunipuu	Sitron
Charles Baudelaire	Charles Baudelaire
Stendhal	Stendhal
Banaan	Bananer
Émile Zola	Émile Zola
666	666
Õis	Blomst
Googol	Googol
Mariaani süvik	Marianergropen
Vladimir Võssotski	Vladimir Vysotskij
Džomolungma	Mount Everest
Anatoomia	Anatomi
Linn	By
Napoleon I	Napoléon Bonaparte
Olympus Mons	Olympus Mons
Füsioloogia	Fysiologi
Täht (astronoomia)	Stjerne
Vesuuv	Vesuv
Päike	Solen
Louis Pasteur	Louis Pasteur
Ingemar Stenmark	Ingemar Stenmark
Valgusaasta	Lysår
Küla	Landsby
Victor Hugo	Victor Hugo
Okeaania	Oseania
Giuseppe Garibaldi	Giuseppe Garibaldi
Orvieto	Orvieto
Kergejõustik	Friidrett
Tsensuur	Sensur (informasjon)
Päikesesüsteem	Solsystemet
Läänemeri	Østersjøen
Trieste	Trieste
Wisła	Wisła
Siiami tapluskala	Siamesisk kampfisk
Champs-Élysées	Avenue des Champs-Élysées
Odra	Oder
Hambad	Tann
Vesinik	Hydrogen
Heelium	Helium
Põrgu	Helvete
Wikimedia Commons	Wikimedia Commons
Puhastustuli	Skjærsilden
Angela Merkel	Angela Merkel
Liitium	Litium
Berüllium	Beryllium
Kõlar	Høyttaler
Raamat	Bok
Ööpäev	Dag
Ida-Timor	Øst-Timor
Öö	Natt
Aasta	År
Sajandid	Århundre
Łódź	Łódź
Villeurbanne	Villeurbanne
Mont Blanc	Mont Blanc
Rein	Rhinen
Oslo	Oslo
Bonn	Bonn
Pühakutepäev	Allehelgensdag
Katowice	Katowice
Must auk	Sort hull
Luís Vaz de Camões	Luís de Camões
Ceres (kääbusplaneet)	Ceres (dvergplanet)
Lissabon	Lisboa
Rzeszów	Rzeszów
Ichirō Suzuki	Ichiro Suzuki
Haumea (kääbusplaneet)	Haumea
Rhône	Rhône
Makemake (kääbusplaneet)	Makemake
Michael Bloomberg	Michael Bloomberg
Iona	Iona
136199 Eris	Eris (dvergplanet)
Dubai	Dubai (by)
Dubai emiraat	Dubai
Lionel Messi	Lionel Messi
Padova	Padova
Boor	Bor (grunnstoff)
Mikołaj Kopernik	Nikolaus Kopernikus
Versailles	Versailles
Ludwigsburg	Ludwigsburg
Süsinik	Karbon
Alessandro Del Piero	Alessandro Del Piero
Volga	Volga
Lämmastik	Nitrogen
Bergamo	Bergamo
Hapnik	Oksygen
Milano Internazionale	Inter
Jean Moulin	Jean Moulin
Planeet	Planet
Kleopatra VII	Kleopatra VII av Egypt
Kate Bush	Kate Bush
Muusika	Musikk
Aberratsioon (optika)	Aberrasjon (optikk)
Veneetsia	Venezia
Naruto (manga)	Naruto
Po	Po
Sharm el Sheikh	Sharm el-Sheikh
Neeva	Neva
Termomeeter	Termometer
Rennes	Rennes
Lille	Lille
Moskva	Moskva
Fluor	Fluor
Itaalia keel	Italiensk
Chihuahua	Chihuahua (hund)
Neoon	Neon
Chihuahua osariik	Chihuahua (delstat)
Peterburi	St. Petersburg
Tšaad	Tsjad
Naatrium	Natrium
Põhi	Nord
Magneesium	Magnesium
Alumiinium	Aluminium
Uus-Meremaa	New Zealand
Lõuna	Sør
India	India
Räni	Silisium
Frantsium	Francium
Tuvalu	Tuvalu
One Piece	One Piece
Fosfor	Fosfor
André-Marie Ampère	André-Marie Ampère
Proosa	Prosa
Raud	Jern
Tonga	Tonga
Lääs	Vest
Alessandro Volta	Alessandro Volta
Väävel	Svovel
Samoa	Samoa
Ida	Øst
Saalomoni Saared	Salomonøyene
Vanuatu	Vanuatu
Molière	Molière
Kloor	Klor
Delft	Delft
Paapua Uus-Guinea	Papua Ny-Guinea
William Shakespeare	William Shakespeare
Valm	Fabel
Lõuna-Holland	Zuid-Holland
Belau	Palau
Argoon	Argon
Nauru	Nauru
Mozilla Firefox	Mozilla Firefox
Muinasjutt	Eventyr
Põhja-Holland	Noord-Holland
Mikroneesia Liiduriigid	Mikronesiaføderasjonen
Kaalium	Kalium
Lyoni Olympique	Olympique Lyonnais
Zeelandi provints	Zeeland
Kaltsium	Kalsium
Flevoland	Flevoland
Plii	Bly
Marshalli Saared	Marshalløyene
Kiribati	Kiribati
Mongoolia	Mongolia
Fidži	Fiji
Skandium	Scandium
Stevie Wonder	Stevie Wonder
Heilbronn	Heilbronn
Titaan	Titan (grunnstoff)
Venezuela	Venezuela
Male	Sjakk
Tšingis-khaan	Djengis Khan
Vanaadium	Vanadium
Maine	Maine
Kroom	Krom
Hobune	Hest
Amsterdam	Amsterdam
Relv	Våpen
Loomad	Dyr
Suriname	Surinam
Mangaan	Mangan
Paraguay	Paraguay
Guyana	Guyana
Kunst	Kunst
Ecuador	Ecuador
Reenium	Rhenium
Colombia	Colombia
Koobalt	Kobolt
Jean Racine	Jean Racine
Volfram	Wolfram
Nikkel	Nikkel
Maasikas	Jordbærslekta
Pierre Corneille	Pierre Corneille
Budism	Buddhisme
Groningen	Groningen (by)
Boliivia	Bolivia
Osmium	Osmium
Groningeni provints	Groningen (provins)
Vask	Kobber
Trinidad ja Tobago	Trinidad og Tobago
Paul Verlaine	Paul Verlaine
Taimed	Planter
Saint Vincent ja Grenadiinid	Saint Vincent og Grenadinene
Tsink	Sink
New Hampshire	New Hampshire
Saint Lucia	Saint Lucia
Białystok	Białystok
Leonardo da Vinci	Leonardo da Vinci
Saint Kitts ja Nevis	Saint Kitts og Nevis
Seened	Sopper
Dario Fo	Dario Fo
Jamaica	Jamaica
Stéphane Mallarmé	Stéphane Mallarmé
Grenada	Grenada
Friisimaa provints	Friesland (Nederland)
Massachusetts	Massachusetts
Drenthe provints	Drenthe
Overijsseli provints	Overijssel
Guatemala	Guatemala
Gelderlandi provints	Gelderland
Utrechti provints	Utrecht (provins)
Google Chrome	Google Chrome
Bahama	Bahamas
Connecticut	Connecticut
Kana	Tamhøns
Antigua ja Barbuda	Antigua og Barbuda
Hawaii osariik	Hawaii
Honduras	Honduras
Dominica	Dominica
Jersey	Jersey
Dominikaani Vabariik	Den dominikanske republikk
Siga	Gris
Põhja-Jäämeri	Nordishavet
Haiti	Haiti
Taumata­whakatangihanga­koauau­o­tamatea­pokai­whenua­ki­tana­tahu	Taumatawhakatangihangakoauauotamateaturipukakapikimaungahoronukupokaiwhenuakitanatahu
El Salvador	El Salvador
Zwolle	Zwolle
Iraan	Iran
Iraak	Irak
Alaska	Alaska
Costa Rica	Costa Rica
Iisrael	Israel
Utrecht	Utrecht (by)
Panama	Panama
Jeemen	Jemen
Lausanne	Lausanne
Viirused	Virus
Poola keel	Polsk
Jordaania	Jordan
Nicaragua	Nicaragua
Florida	Florida
Kõrgõzstan	Kirgisistan
Arizona	Arizona
Kuveit	Kuwait
Florida provints	Provinsen Florida
Laos	Laos
Liibanon	Libanon
Oregon	Oregon
Maldiivid	Maldivene
Ameerika	Amerika
Utah	Utah
Veis	Storfe
Malaisia	Malaysia
Valais' kanton	Wallis
Mihhail Bulgakov	Mikhail Bulgakov
Birma	Myanmar
Nepal	Nepal
Andrei Rubljov	Andrej Rubljov
Omaan	Oman
Pakistan	Pakistan
James Bond	James Bond
Katar	Qatar
Tennis	Tennis
François Villon	François Villon
MySQL	MySQL
Saudi Araabia	Saudi-Arabia
Andrei Tarkovski	Andrej Tarkovskij
Sri Lanka	Sri Lanka
Jossif Stalin	Josef Stalin
Vöötkood	Strekkode
Süüria	Syria
Platon	Platon
Gallium	Gallium
Jossif Brodski	Josif Brodskij
Tadžikistan	Tadsjikistan
Pokémon	Pokémon
Hiina Vabariik	Republikken Kina
YouTube	YouTube
Germaanium	Germanium
Aristoteles	Aristoteles
Tai	Thailand
Rong	Jernbanetog
Arseen	Arsen
Raadio	Radio
Meryl Streep	Meryl Streep
Türkmenistan	Turkmenistan
Abakan	Abakan
Seleen	Selen
Iriidium	Iridium
Araabia Ühendemiraadid	De forente arabiske emirater
Broom	Brom
Plaatina	Platina
Vietnam	Vietnam
Charlie Chaplin	Charlie Chaplin
Novosibirsk	Novosibirsk
Lõuna-Korea	Sør-Korea
Józef Piłsudski	Józef Piłsudski
Simpsonid	Simpsons
Jekaterinburg	Jekaterinburg
Krüptoon	Krypton
Afganistan	Afghanistan
Gangnam Style	Gangnam Style
Nižni Novgorod	Nizjnij Novgorod
J. R. R. Tolkien	J. R. R. Tolkien
Limonaad	Limonade
Samara	Samara
Rubiidium	Rubidium
Kuld	Gull
Omsk	Omsk
Suessi kanal	Suezkanalen
Kaasan	Kazan
Teadlane	Naturviter
Bangladesh	Bangladesh
Bleach (manga)	Bleach (manga)
Franz Kafka	Franz Kafka
Tšeljabinsk	Tsjeljabinsk
Rostov Doni ääres	Rostov-na-Donu
Jorge Luis Borges	Jorge Luis Borges
Ufa	Ufa (by)
Mali	Mali
Sokrates	Sokrates
Volgograd	Volgograd
Angola	Angola
Perm	Perm (by)
Bhutan	Bhutan
Twitter	Twitter
Krasnojarsk	Krasnojarsk
Brunei	Brunei
Brač	Brač
Tansaania	Tanzania
Elavhõbe	Kvikksølv
Roald Amundsen	Roald Amundsen
Harry Mulisch	Harry Mulisch
Filipiinid	Filippinene
Kesk-Aafrika Vabariik	Den sentralafrikanske republikk
Naruto Uzumaki	Naruto Uzumaki
Tallium	Thallium
Lõunapoolus	Sydpolen
Põhjapoolus	Nordpolen
Isaac Newton	Isaac Newton
OpenStreetMap	OpenStreetMap
Albert Einstein	Albert Einstein
Strontsium	Strontium
Pedro I (Brasiilia)	Pedro I av Brasil
Uimasti	Narkotika (rusmiddel)
Ütrium	Yttrium
Vismut	Vismut
Kollane	Gul
Kvantmehaanika	Kvantemekanikk
Togo	Togo
Donald Tusk	Donald Tusk
Tuneesia	Tunisia
John Bardeen	John Bardeen
Sambia	Zambia
Zimbabwe	Zimbabwe
Peking	Beijing
Lõuna-Sudaan	Sør-Sudan
Vladivostok	Vladivostok
Tõva	Tuva (republikk)
Benin	Benin
Botswana	Botswana
Burkina Faso	Burkina Faso
Burundi	Burundi
Komoorid	Komorene
Kongo Vabariik	Republikken Kongo
Alkmaar	Alkmaar
Ob	Ob
Kongo Demokraatlik Vabariik	Den demokratiske republikken Kongo
San Antonio	San Antonio
Tomsk	Tomsk
Djibouti	Djibouti
Meem	Mem
Poloonium	Polonium
Baieri	Bayern
Maailma karikavõistlused mäesuusatamises	Verdenscupen i alpint
Ekvatoriaal-Guinea	Ekvatorial-Guinea
Baden-Württemberg	Baden-Württemberg
Eritrea	Eritrea
New Delhi	New Delhi
Johannes Paulus II	Johannes Paul II
Fjodor Dostojevski	Fjodor Dostojevskij
Amersfoort	Amersfoort
Kamtšatka poolsaar	Kamtsjatkahalvøya
Thbilisi	Tbilisi
Andrei Sahharov	Andrej Sakharov
Astaat	Astat
Gabon	Gabon
Mahatma Gandhi	Mahatma Gandhi
Tšuktši poolsaar	Tsjuktsjerhalvøya
Koomiks	Tegneserie
Gambia	Gambia
Guinea	Guinea
Guinea-Bissau	Guinea-Bissau
Elevandiluurannik	Elfenbenskysten
Kamerun	Kamerun
Maribor	Maribor
Roheneemesaared	Kapp Verde
Celje	Celje
Lesotho	Lesotho
Libeeria	Liberia
Koper	Koper
Liibüa	Libya
Aachen	Aachen
Madagaskar	Madagaskar
Malawi	Malawi
Kranj	Kranj
Stuttgart	Stuttgart
Triglav	Triglav
Mauritaania	Mauritania
Poolakad	Polakker
Mauritius	Mauritius
Maroko	Marokko
Mosambiik	Mosambik
Namiibia	Namibia
Niger	Niger
Nigeeria	Nigeria
Charles Darwin	Charles Darwin
Uganda	Uganda
Rwanda	Rwanda
Tsirkoonium	Zirkonium
São Tomé ja Príncipe	São Tomé og Príncipe
Karlsruhe	Karlsruhe
Senegal	Senegal
Seišellid	Seychellene
Carl von Linné	Carl von Linné
Sierra Leone	Sierra Leone
Somaalia	Somalia
Nioobium	Niob
Jawaharlal Nehru	Jawaharlal Nehru
Julius Caesar	Julius Cæsar
Sudaan	Sudan
Svaasimaa	Swaziland
Vikerkaar	Regnbue
Molübdeen	Molybden
Tehneetsium	Technetium
Hamburg	Hamburg
Metabolism	Stoffskifte
Narendra Modi	Narendra Modi
Immuunsüsteem	Immunforsvar
Gujarat	Gujarat
Ontario järv	Ontariosjøen
Evolutsioon	Evolusjon
Ühinenud Rahvaste Organisatsioon	De forente nasjoner
Ülemjärv	Lake Superior
Dante Alighieri	Dante Alighieri
Geoloogia	Geologi
Ahmadabad	Ahmedabad
Geograafia	Geografi
Süda	Hjerte
Peaaju	Hjerne
Nahk	Hud
Värvus	Farge
Star Trek (sari)	Star Trek: The Original Series
Halvale teele	Breaking Bad
Nimisõna	Substantiv
Praha	Praha
Ruteenium	Ruthenium
Roodium	Rhodium
Sinine	Blå
Pallaadium	Palladium
Hõbe	Sølv
Kaadmium	Kadmium
Star Trek	Star Trek
Limburgi provints (Holland)	Limburg (Nederland)
Indium	Indium
Limburgi provints (Belgia)	Limburg (Belgia)
Tina	Tinn (grunnstoff)
Uraan	Uran
Antimon	Antimon
Telluur	Tellur
Põhja-Brabant	Noord-Brabant
Plutoonium	Plutonium
Jood	Jod
Hemer	Hemer
Neptuunium	Neptunium
Ksenoon	Xenon
Anime	Anime
Tseesium	Cesium
Protaktiinium	Protactinium
Elektrilaeng	Elektrisk ladning
Baarium	Barium
Lääne-Flandria provints	Vest-Flandern
Ida-Flandria	Øst-Flandern
Toorium	Thorium
Antwerpeni provints	Antwerpen (provins)
Flaami Brabant	Flamsk Brabant
Hafnium	Hafnium
Aktiinium	Actinium
Vallooni Brabant	Vallonsk Brabant
Tantaal	Tantal
Bill Clinton	Bill Clinton
Namuri provints	Namur
Luxembourg'i provints	Luxembourg (belgisk provins)
Liège'i provints	Liège (provins)
Raadium	Radium
Hainaut	Hainaut
Iserlohn	Iserlohn
Ahlen	Ahlen
Radoon	Radon
Lorraine	Lorraine
Alsace	Alsace
Jean-Philippe Rameau	Jean-Philippe Rameau
Indira Gandhi	Indira Gandhi
Mercurius	Merkur (gud)
Hector Berlioz	Hector Berlioz
Auvergne	Auvergne
Busto Arsizio	Busto Arsizio
Mumbai	Mumbai
IAAF	IAAF
Andhra Pradesh	Andhra Pradesh
Limburg	Limburg
Arunachal Pradesh	Arunachal Pradesh
Assam	Assam
Bihar	Bihar
Michigan	Michigan
Chhattisgarh	Chhattisgarh
Michigani järv	Michigansjøen
Goa osariik	Goa
Burgundia	Bourgogne
Haryana	Haryana
Himachal Pradesh	Himachal Pradesh
Maurice Ravel	Maurice Ravel
Akvitaania	Aquitaine
Jammu ja Kashmir	Jammu og Kashmir
Puerto Rico	Puerto Rico
Jharkhand	Jharkhand
Karnataka	Karnataka
Kerala	Kerala
Madhya Pradesh	Madhya Pradesh
Usain Bolt	Usain Bolt
Limousin	Limousin
Maharashtra	Maharashtra
Jean-Baptiste Lully	Jean-Baptiste Lully
Manipur	Manipur
Schleswig-Holstein	Schleswig-Holstein
Meghalaya	Meghalaya
Mecklenburg-Vorpommern	Mecklenburg-Vorpommern
Alam-Saksi	Niedersachsen
Nordrhein-Westfalen	Nordrhein-Westfalen
Hessen	Hessen
Rheinland-Pfalz	Rheinland-Pfalz
Saarimaa	Saarland
Saksimaa	Sachsen
John Lennon	John Lennon
Illinois	Illinois
Tüüringi	Thüringen
Saksi-Anhalt	Sachsen-Anhalt
Põhja-Dakota	Nord-Dakota
Brandenburg	Brandenburg
Bremeni liidumaa	Bremen
Lombardia	Lombardia
Lõuna-Dakota	Sør-Dakota
Montana	Montana
Wyoming	Wyoming
Straight edge	Straight edge
Piemonte	Piemonte
Jeruusalemm	Jerusalem
Giorgio Napolitano	Giorgio Napolitano
Idaho	Idaho
Valle d'Aosta	Aostadalen
Washingtoni osariik	Washington
Carlo Azeglio Ciampi	Carlo Azeglio Ciampi
Bruce Springsteen	Bruce Springsteen
Rutherfordium	Rutherfordium
Nevada	Nevada
Oscar Luigi Scalfaro	Oscar Luigi Scalfaro
Don	Don
Francesco Cossiga	Francesco Cossiga
Dubnium	Dubnium
Seaborgium	Seaborgium
Trentino-Alto Adige	Trentino-Syd-Tirol
India ookean	Indiahavet
Veneto	Veneto
Kosovo	Kosovo
Kariibi meri	Det karibiske hav
Bohrium	Bohrium
Friuli-Venezia Giulia	Friuli-Venezia Giulia
Cotti Alpid	De cottiske Alpene
Hassium	Hassium
Ban Ki-moon	Ban Ki-moon
Kofi Annan	Kofi Annan
Liguuria	Liguria
Boutros Boutros-Ghali	Boutros Boutros-Ghali
Meitneerium	Meitnerium
Kurt Waldheim	Kurt Waldheim
Colorado	Colorado
Emilia Romagna	Emilia-Romagna
U Thant	U Thant
Colorado jõgi	Colorado (elv)
Darmstadtium	Darmstadtium
Dag Hammarskjöld	Dag Hammarskjöld
Frédéric Chopin	Frédéric Chopin
Penniini Alpid	Wallis-Alpene
Trygve Halvdan Lie	Trygve Lie
Röntgeenium	Røntgenium
Toscana	Toscana
Leponti Alpid	De lepontinske Alpene
Leonard Cohen	Leonard Cohen
Reetia Alpid	De rätiske Alpene
Koperniitsium	Copernicium
Marche	Marche
Umbria	Umbria
Kategooria:!JuurKategooria	Kategori:Kategorier
Lazio	Latium
Dolomiidid	Dolomittene
Abruzzo	Abruzzo
Apenniinid	Appenninene
Alpid	Alpene
Jansenism	Jansenismen
Karpaadid	Karpatene
Grenoble	Grenoble
Blaise Pascal	Blaise Pascal
Kabe	Dam (spill)
Dortmund	Dortmund
Gent	Gent
Chicago	Chicago
The Beatles	The Beatles
Ununtrium	Ununtrium
Fleroovium	Flerovium
Ununpentium	Ununpentium
Livermoorium	Livermorium
Ununseptium	Ununseptium
Ununoktium	Ununoctium
Como	Como
Maastricht	Maastricht
Arnhem	Arnhem
Talv	Vinter
Kevad	Vår
Suvi	Sommer
Sügis	Høst
Võrdpäevsus	Jevndøgn
Şaddām Ḩusayn	Saddam Hussein
Usāmah ibn Lādin	Osama bin Laden
Hispaania keel	Spansk
Friedrich August von Hayek	Friedrich Hayek
