Abĩrika	Afrika
Template:User en-1	Mal:Bruker en-1
Template:User en-2	Mal:Bruker en-2
Template:User eo-2	Mal:Bruker eo-2
Template:User en-4	Mal:Bruker en-4
Template:User fi	Mal:Bruker fi
Template:User en-0	Mal:Bruker en-0
Template:User en	Mal:Bruker en
Template:User de-2	Mal:Bruker de-2
Template:User es-1	Mal:Bruker es-1
Template:User fa	Mal:Bruker fa
Template:User fi-1	Mal:Bruker fi-1
Template:User fr-1	Mal:Bruker fr-1
Template:User ia-2	Mal:Bruker ia-2
Template:User hr	Mal:Bruker hr
Template:User he-1	Mal:Bruker he-1
Template:User hu	Mal:Bruker hu
Template:User id-3	Mal:Bruker id-3
Template:User io-3	Mal:Bruker io-3
Template:User it-3	Mal:Bruker it-3
Template:User ja-4	Mal:Bruker ja-4
Template:User sk	Mal:Bruker sk
Template:User tr-2	Mal:Bruker tr-2
Template:User fr-2	Mal:Bruker fr-2
Template:User ja	Mal:Bruker ja
Template:User ja-1	Mal:Bruker ja-1
Template:User it-1	Mal:Bruker it-1
Template:User hr-1	Mal:Bruker hr-1
Template:User fr	Mal:Bruker fr
Category:Amerika ya Kuthini	Kategori:Sør-Amerika
Category:Football	Kategori:Fotball
Template:Mod	Mal:Mod
Template:User uk	Mal:Bruker uk
Template:User es-2	Mal:Bruker es-2
Template:Welcome	Mal:Reg-velkommen
Template:Bururi wa Abĩrika	Mal:Afrikaland
Template:User zh	Mal:Bruker zh
Template:Legend	Mal:Legend
Template:User ru-4	Mal:Bruker ru-4
Template:Pp-template	Mal:Beskyttet side
Template:User nl-1	Mal:Bruker nl-1
Template:User nl-2	Mal:Bruker nl-2
Category:America	Kategori:Amerika
Template:Mikoa cia Italy	Mal:Italias regioner
Template:User pt-1	Mal:Bruker pt-1
Template:ICD10	Mal:ICD10
Template:User nl	Mal:Bruker nl
Template:User no-2	Mal:Bruker no-2
Template:Emergency-bot-shutoff	Mal:Emergency-bot-shutoff
Template:User pl-1	Mal:Bruker pl-1
Template:User lt	Mal:Bruker lt
Template:User nds-1	Mal:Bruker nds-1
Template:User ar	Mal:Bruker ar
Template:User no	Mal:Bruker no
Template:User sv-2	Mal:Bruker sv-2
Template:User lb-1	Mal:Bruker lb-1
Template:User la-1	Mal:Bruker la-1
Category:Template documentation	Kategori:Maldokumentasjonssider
Category:User be-2	Kategori:Bruker be-2
Template:User pdc-1	Mal:Bruker pdc-1
Category:User sk-N	Kategori:Bruker sk-N
Template:User la-3	Mal:Bruker la-3
Category:Province ya Piacenza	Kategori:Provinsen Piacenza
Template:User sv-1	Mal:Bruker sv-1
Template:User sw-1	Mal:Bruker sw-1
Category:Thayathi cia social	Kategori:Samfunnsvitenskap
Template:User ru-2	Mal:Bruker ru-2
Template:User es-3	Mal:Bruker es-3
Template:User ko-3	Mal:Bruker ko-3
Template:ICD9	Mal:ICD9
Category:Kenya	Kategori:Kenya
Template:User ca-3	Mal:Bruker ca-3
Template:User la-2	Mal:Bruker la-2
Template:User mk-1	Mal:Bruker mk-1
Template:User nn-2	Mal:Bruker nn-2
Template:User no-1	Mal:Bruker no-1
Template:User pt	Mal:Bruker pt
Template:User ru-1	Mal:Bruker ru-1
Template:User sk-2	Mal:Bruker sk-2
Template:User sr-1	Mal:Bruker sr-1
Template:User sxu-1	Mal:Bruker sxu-1
Template:User uk-4	Mal:Bruker uk-4
Template:User vo-1	Mal:Bruker vo-1
Template:User zh-1	Mal:Bruker zh-1
Template:User zh-2	Mal:Bruker zh-2
Category:Mirimu	Kategori:Sykdommer
Template:User sl-1	Mal:Bruker sl-1
Trojany	Trojany
Category:Mikoa cia Kenya	Kategori:Kenyas provinser
Template:User vls-1	Mal:Bruker vls-1
Ebola	Ebola
Template:User sh-2	Mal:Bruker sh-2
Special:RecentChanges	Spesial:Siste endringer
