አፍሪቃ	Afrika
0	Null
አዕላፍ	Uendelig
ጆርጅ ደብሊዩ ቡሽ	George W. Bush
ላትቪያ	Latvia
ዩክሬን	Ukraina
ቼክ ሪፐብሊክ	Tsjekkia
ስሎቫኪያ	Slovakia
ስሎቬኒያ	Slovenia
ቪልኒውስ	Vilnius
ሞልዶቫ	Moldova
ሮማንያ	Romania
ቡልጋሪያ	Bulgaria
ሮማ	Roma
የመቄዶንያ ሬፑብሊክ	Republikken Makedonia
አልባኒያ	Albania
ግሪንላንድ	Grønland
ክሮኤሽያ	Kroatia
ቦስኒያና ሄርጸጎቪና	Bosnia-Hercegovina
አዘርባይጃን	Aserbajdsjan
አንዶራ	Andorra
ቆጵሮስ	Republikken Kypros
ጂዮርጂያ	Georgia
ካዛክስታን	Kasakhstan
ማልታ	Malta
ሞናኮ	Monaco
ሞንቴኔግሮ	Montenegro
ቫቲካን ከተማ	Vatikanstaten
ሳን ማሪኖ (አገር)	San Marino
ብሩክሴል	Brussel
ኩባ	Cuba
ቤሊዝ	Belize
ባርቤዶስ	Barbados
ጃቫ	Java (programmeringsspråk)
ኢንዶኔዥያ	Indonesia
ቮልፍጋንግ አማዴኡስ ሞፃርት	Wolfgang Amadeus Mozart
ሉድቪግ ቫን ቤትሆቨን	Ludwig van Beethoven
ቱርክኛ	Tyrkisk
ደቡብ አፍሪካ	Sør-Afrika
አልጄሪያ	Algerie
ኡዝቤኪስታን	Usbekistan
ታሽኬንት	Tasjkent
ዋርሶው	Warszawa
ውሃ	Vann
እንጨት	Treverk
ቴሌቪዥን	Fjernsyn
ቺሌ	Chile
ኢየሱስ	Jesus Kristus
ኤልቭስ ፕሬስሊ	Elvis Presley
ጋሊልዮ	Galileo Galilei
ኣጣርድ	Merkur
ታሪክ	Historie
አፕል ኮርፖሬሽን	Apple
ዘሃራ	Venus
ቋንቋ	Språk
ፍቅር	Kjærlighet
ጁፒተር	Jupiter
ሚሼል ባቼሌት	Michelle Bachelet
ሚልኪ ዌይ	Melkeveien
ኡራኑስ	Uranus
ኒኮላ ሳርኮዚ	Nicolas Sarkozy
ነፕቲዩን	Neptun (planet)
ሥነ ፈለክ	Astronomi
ሲንጋፖር	Singapore
ሳይንስ	Vitenskap
ፕሉቶ	Pluto
ሞንትሬያል	Montréal
ማርያም	Jomfru Maria
ሊክተንስታይን	Liechtenstein
ስፖርት	Sport
አዶልፍ ሂትለር	Adolf Hitler
ፌስቡክ	Facebook
የመጀመሪያው የዓለም ጦርነት	Første verdenskrig
2ኛው ዓለማዊ ጦርነት	Andre verdenskrig
ኮልን	Köln
ሰአት (መሳሪያ)	Klokke (ur)
ኡቡንቱ	Ubuntu (operativsystem)
ስኮፕዬ	Skopje
ትምህርተ ሂሳብ	Matematikk
ሮማይስጥ	Latin
ባሕሬን	Bahrain
አርመኒያ	Armenia
ሰርቢያ	Serbia
ጨረቃ	Månen
ኢስታንቡል	Istanbul
አውስትራልያ	Australia
ቦብ ማርሊ	Bob Marley
የተፈጥሮ ሕግጋት ጥናት	Fysikk
አርጀንቲና	Argentina
ፔሩ	Peru
ሥነ ሕይወት	Biologi
ሰሜን ኮርያ	Nord-Korea
ካምቦዲያ	Kambodsja
ቁርአን	Koranen
እስልምና	Islam
ልዩብልያና	Ljubljana
ለክ ቫለሳ	Lech Wałęsa
ድኒ ዲድሮ	Denis Diderot
ልዮን	Lyon
አውሮፓ ህብረት	Den europeiske union
ሶፊያ	Sofia
ሚላኖ	Milano
አርተር ራምቦ	Arthur Rimbaud
ቶሪኖ	Torino
ሎሚ	Sitron
ስተንዳል	Stendhal
666 እ.ኤ.አ.	666
ኤቨረስት ተራራ	Mount Everest
ከተማ	By
ናፖሌዎን ቦናፓርት	Napoléon Bonaparte
ኮኮብ	Stjerne
ደብረ ቬሱቪዩስ	Vesuv
ፀሐይ	Solen
ሉዊ ፓስቴ	Louis Pasteur
የብርሃን ዓመት	Lysår
ቪክቶር ኢውጎ	Victor Hugo
ኦሺያኒያ	Oseania
የፀሐይ ሥርዓተ ፈለክ	Solsystemet
ባልቲክ ባሕር	Østersjøen
ቪስቱላ ወንዝ	Wisła
ጥርስ	Tann
ሃይድሮጅን	Hydrogen
ሒሊየም	Helium
አንጌላ መርክል	Angela Merkel
ሊቲየም	Litium
ቤሪሊየም	Beryllium
ቀን	Dag
ምሥራቅ ቲሞር	Øst-Timor
ሌሊት	Natt
አመት	År
ሞን ብላን	Mont Blanc
ራይን ወንዝ	Rhinen
ኦስሎ	Oslo
ቦን	Bonn
ካቶቪጸ	Katowice
ሊዝቦን	Lisboa
ሮን ወንዝ	Rhône
ዱባይ	Dubai
ሊዮኔል ሜሲ	Lionel Messi
ቦሮን	Bor (grunnstoff)
ኒኮላውስ ኮፐርኒኩስ	Nikolaus Kopernikus
ካርቦን	Karbon
ቮልጋ ወንዝ	Volga
ናይትሮጅን	Nitrogen
ኦክሲጅን	Oksygen
ፕላኔት	Planet
ሙዚቃ	Musikk
ቬኒስ	Venezia
ፖ ወንዝ	Po
ሞስኮ	Moskva
ፍሎሪን	Fluor
ጣልያንኛ	Italiensk
ኒዮን	Neon
ሳንክት ፔቴርቡርግ	St. Petersburg
ቻድ	Tsjad
ሶዲየም	Natrium
ሰሜን	Nord
ማግኒዥየም	Magnesium
አሉምንም	Aluminium
ኒው ዚላንድ	New Zealand
ደቡብ	Sør
ህንድ	India
ሲልከን	Silisium
ፍራንሺየም	Francium
ቱቫሉ	Tuvalu
ዋንፒስ	One Piece
ፎስፈረስ	Fosfor
ብረት	Jern
ቶንጋ	Tonga
ምዕራብ	Vest
ድኝ	Svovel
ሳሞዓ	Samoa
ምሥራቅ	Øst
ሰለሞን ደሴቶች	Salomonøyene
ቫኑአቱ	Vanuatu
ሞሊዬር	Molière
ክሎሪን	Klor
ፓፑዋ ኒው ጊኒ	Papua Ny-Guinea
ሼክስፒር	William Shakespeare
ፐላው	Palau
አርገን	Argon
ናውሩ	Nauru
ሞዚላ ፋየርፎክስ	Mozilla Firefox
ማይክሮኔዥያ	Mikronesiaføderasjonen
ፖታሺየም	Kalium
ካልሲየም	Kalsium
እርሳስ	Bly
ማርሻል ደሴቶች	Marshalløyene
ኪሪባስ	Kiribati
ሞንጎልያ	Mongolia
ፊጂ	Fiji
ስካንዲየም	Scandium
ቲታኒየም	Titan (grunnstoff)
ቬኔዝዌላ	Venezuela
ሰንጠረዥ	Sjakk
ቺንግስ ካን	Djengis Khan
ቫናዲየም	Vanadium
መይን	Maine
ክሮሚየም	Krom
ፈረስ	Hest
አምስተርዳም	Amsterdam
እንስሳ	Dyr
ሱሪናም	Surinam
ማንጋኒዝ	Mangan
ፓራጓይ	Paraguay
ጋያና	Guyana
ኤኳዶር	Ecuador
ሬኒየም	Rhenium
ኮሎምቢያ	Colombia
ኮባልት	Kobolt
ተንግስተን	Wolfram
ኒኬል	Nikkel
ቡዲስም	Buddhisme
ቦሊቪያ	Bolivia
ኦስሚየም	Osmium
መዳብ	Kobber
ትሪኒዳድና ቶቤጎ	Trinidad og Tobago
ሰይንት ቪንሰንትና ዘ ግረነዲንዝ	Saint Vincent og Grenadinene
ዚንክ	Sink
ኒው ሃምፕሸር	New Hampshire
ሰይንት ሉሻ	Saint Lucia
ሊዮናርዶ ዳቬንቺ	Leonardo da Vinci
ሰይንት ኪትስና ኒቨስ	Saint Kitts og Nevis
ፈንገስ	Sopper
ጃማይካ	Jamaica
ግረነይዳ	Grenada
ማሣቹሰትስ	Massachusetts
ጓቴማላ	Guatemala
ባሃማስ	Bahamas
ኮነቲከት	Connecticut
ዶሮ	Tamhøns
አንቲጋ እና ባርቡዳ	Antigua og Barbuda
ሃዋኢ	Hawaii
ሆንዱራስ	Honduras
ዶመኒካ	Dominica
ዶሚኒካን ሪፐብሊክ	Den dominikanske republikk
ኣሳማ	Gris
አርክቲክ ውቅያኖስ	Nordishavet
ሃይቲ	Haiti
ኤል ሳልቫዶር	El Salvador
ፋርስ	Iran
ኢራቅ	Irak
አላስካ	Alaska
ኮስታ ሪካ	Costa Rica
እስራኤል	Israel
ፓናማ	Panama
የመን (አገር)	Jemen
ቫይረስ	Virus
ፖልኛ	Polsk
ዮርዳኖስ	Jordan
ኒካራጓ	Nicaragua
ፍሎሪዳ	Florida
ኪርጊዝስታን	Kirgisistan
አሪዞና	Arizona
ኩዌት (አገር)	Kuwait
ላዎስ	Laos
ሊባኖስ	Libanon
ኦረጎን	Oregon
ማልዲቭስ	Maldivene
አሜሪካዎች	Amerika
ዩታህ	Utah
ላም	Storfe
ማሌዢያ	Malaysia
ምየንማ	Myanmar
ኔፓል	Nepal
ኦማን	Oman
ፓኪስታን	Pakistan
ቃጣር	Qatar
ሳዑዲ አረቢያ	Saudi-Arabia
ሽሪ ላንካ	Sri Lanka
ጆሴፍ ስታሊን	Josef Stalin
ሶርያ	Syria
ፕላቶ	Platon
ጋሊየም	Gallium
ታጂኪስታን	Tadsjikistan
የቻይና ሪፐብሊክ	Republikken Kina
ዩ ቱብ	YouTube
ጀርማኒየም	Germanium
አሪስጣጣሊስ	Aristoteles
ታይላንድ	Thailand
ባቡር	Jernbanetog
አርሰኒክ	Arsen
ራዲዮ	Radio
ቱርክመኒስታን	Turkmenistan
ሴሊኒየም	Selen
ኢሪዲየም	Iridium
የተባበሩት የዓረብ ግዛቶች	De forente arabiske emirater
ብሮሚን	Brom
ፕላቲነም	Platina
ቬት ናም	Vietnam
ቻርሊ ቻፕሊን	Charlie Chaplin
ደቡብ ኮርያ	Sør-Korea
ክሪፕተን	Krypton
አፍጋኒስታን	Afghanistan
ሩቢዲየም	Rubidium
ወርቅ	Gull
ባንግላዴሽ	Bangladesh
ፍራንዝ ካፍካ	Franz Kafka
ማሊ	Mali
ሶቅራጠስ	Sokrates
አንጎላ	Angola
ቡታን	Bhutan
ብሩናይ	Brunei
ታንዛኒያ	Tanzania
ባዜቃ	Kvikksølv
ፊሊፒንስ	Filippinene
የመካከለኛው አፍሪካ ሪፐብሊክ	Den sentralafrikanske republikk
ታሊየም	Thallium
አይሳክ ኒውተን	Isaac Newton
አልበርት አይንስታይን	Albert Einstein
ስትሮንቲየም	Strontium
ይትሪየም	Yttrium
ቢስመዝ	Vismut
ቢጫ	Gul
ቶጎ	Togo
ቱኒዚያ	Tunisia
ዛምቢያ	Zambia
ዚምባብዌ	Zimbabwe
ቤዪጂንግ	Beijing
ደቡብ ሱዳን	Sør-Sudan
ቤኒን	Benin
ቦትስዋና	Botswana
ቡርኪና ፋሶ	Burkina Faso
ቡሩንዲ	Burundi
ኮሞሮስ	Komorene
ኮንጎ ሪፐብሊክ	Republikken Kongo
ኮንጎ ዲሞክራሲያዊ ሪፐብሊክ	Den demokratiske republikken Kongo
ጅቡቲ	Djibouti
ፖሎኒየም	Polonium
ባቫሪያ	Bayern
ኢኳቶሪያል ጊኔ	Ekvatorial-Guinea
ባደን-ቩርተምቡርግ	Baden-Württemberg
ኤርትራ	Eritrea
ኒው ዴሊ	New Delhi
ፍዮዶር ዶስቶየቭስኪ	Fjodor Dostojevskij
ትብሊሲ	Tbilisi
አስታታይን	Astat
ጋቦን	Gabon
ማህተማ ጋንዲ	Mahatma Gandhi
ጋምቢያ	Gambia
ጊኔ	Guinea
ጊኔ-ቢሳው	Guinea-Bissau
ኮት ዲቯር	Elfenbenskysten
ካሜሩን	Kamerun
ኬፕ ቨርድ	Kapp Verde
ሌሶቶ	Lesotho
ላይቤሪያ	Liberia
ሊቢያ	Libya
ማዳጋስካር	Madagaskar
ማላዊ	Malawi
ሽቱትጋርት	Stuttgart
ሞሪታኒያ	Mauritania
ሞሪሸስ	Mauritius
ሞሮኮ	Marokko
ሞዛምቢክ	Mosambik
ናሚቢያ	Namibia
ኒጄር	Niger
ናይጄሪያ	Nigeria
ቻርልስ ዳርዊን	Charles Darwin
ዩጋንዳ	Uganda
ሩዋንዳ	Rwanda
ዚርኮኒየም	Zirkonium
ሳን ቶሜ እና ፕሪንሲፔ	São Tomé og Príncipe
ሴኔጋል	Senegal
ሲሸልስ	Seychellene
ካርል ሊኒዩስ	Carl von Linné
ሴየራ ሌዎን	Sierra Leone
ሶማሊያ	Somalia
ኒዮቢየም	Niob
ዩሊዩስ ቄሳር	Julius Cæsar
ሱዳን	Sudan
ስዋዚላንድ	Swaziland
ቀስተ ደመና	Regnbue
ሞሊብዴነም	Molybden
ቴክኔቲየም	Technetium
ሃምቡርግ	Hamburg
ዝግመተ ለውጥ	Evolusjon
የተባበሩት መንግሥታት ድርጅት	De forente nasjoner
ዳንቴ አሊጊዬሪ	Dante Alighieri
መሬት ጥናት (ጂዮሎጂ)	Geologi
መልክዓ ምድር	Geografi
ልብ	Hjerte
አንጎል	Hjerne
ቆዳ	Hud
ቀለም	Farge
ፕራግ	Praha
ሩቴኒየም	Ruthenium
ሮዲየም	Rhodium
ሰማያዊ	Blå
ፓላዲየም	Palladium
ብር (ብረታብረት)	Sølv
ካድሚየም	Kadmium
ኢንዲየም	Indium
ቆርቆሮ	Tinn (grunnstoff)
ዩራኒየም	Uran
ኩል	Antimon
ቴሉሪየም	Tellur
ፕሉቶኒየም	Plutonium
አዮዲን	Jod
ኔፕቲዩኒየም	Neptunium
ዜኖን	Xenon
አኒሜ	Anime
ሴሲየም	Cesium
ፕሮታክቲኒየም	Protactinium
ቻርጅ	Elektrisk ladning
ባሪየም	Barium
ቶሪየም	Thorium
ሀፍኒየም	Hafnium
አክቲኒየም	Actinium
ታንታለም	Tantal
ቢል ክሊንተን	Bill Clinton
ራዲየም	Radium
ራዶን	Radon
ሎሬን	Lorraine
ኢንድራ ጋንዲ	Indira Gandhi
ሙምባይ	Mumbai
ሚሺጋን	Michigan
ፕዌርቶ ሪኮ	Puerto Rico
ኖርድራይን-ቬስትፋለን	Nordrhein-Westfalen
ኢሊኖይ	Illinois
ኖርዝ ዳኮታ	Nord-Dakota
ብራንደንቡርግ	Brandenburg
ደቡብ ዳኮታ	Sør-Dakota
ሞንታና	Montana
ዋዮሚንግ	Wyoming
እየሩሳሌም	Jerusalem
አይዳሆ	Idaho
ዋሽንግተን (ክፍላገር)	Washington
ሩተርፎርዲየም	Rutherfordium
ነቫዳ	Nevada
ዶን ወንዝ	Don
ዱብኒየም	Dubnium
ሲቦርጂየም	Seaborgium
ሕንድ ውቅያኖስ	Indiahavet
ኮሶቮ	Kosovo
ካሪቢያን ባሕር	Det karibiske hav
ቦህሪየም	Bohrium
ሀሲየም	Hassium
ሊጉርያ	Liguria
ሜይትኔሪየም	Meitnerium
ኮሎራዶ	Colorado
ዳርምስታድቲየም	Darmstadtium
ሮየንቴኒየም	Røntgenium
ኮፐርኒኪየም	Copernicium
መደብ:Project	Kategori:Kategorier
ሺካጎ	Chicago
ዘ ቢተልስ	The Beatles
ዩነንትሪየም	Ununtrium
ፍሌሮቪየም	Flerovium
ዩነንፔንቲየም	Ununpentium
ሊቨርሞሪየም	Livermorium
ዩነንሴፕቲየም	Ununseptium
ዩነኖክቲየም	Ununoctium
ሳዳም ሁሴን	Saddam Hussein
ቢን ላዲን	Osama bin Laden
እስፓንኛ	Spansk
ሞንቴቪዴዎ	Montevideo
ዮሐን ሴባስትያን ባክ	Johann Sebastian Bach
ፊላዴልፊያ	Philadelphia
ኮልካታ	Kolkata
ዴሊ	Delhi
ዳካ	Dhaka
ኢስላማባድ	Islamabad
ፍራፍሬ	Frukt
ገንዘብ	Penger
ቨርጂኒያ	Virginia
ዌስት ቨርጂኒያ	Vest-Virginia
ኒው ዮርክ	New York (delstat)
ሴሪየም	Cerium
ፕራሲዮዲሚየም	Praseodym
ሮድ አይላንድ	Rhode Island
ኒዮዲሚየም	Neodym
ሦስት አጽቄ	Insekter
ሜሪላንድ	Maryland
ዴላዌር	Delaware
ቭላዲሚር ሌኒን	Vladimir Lenin
ኢዩሮፒየም	Europium
ኦሃዮ	Ohio
ዌርጊሊዩስ	Vergil
ፔንስልቬኒያ	Pennsylvania
ኢውተዘን	Uetersen
አውግስጦስ	Augustus
ኒው ጄርዚ	New Jersey
ካሊጎላ	Caligula
ጅብራልታር	Gibraltar
ፊንኛ	Finsk
ኢንዲያና	Indiana
ቤስጳስያን	Vespasian
መኪና	Bil
ዩቬንቱስ እግር ኳስ ክለብ	Juventus
ትራያኑስ	Trajan
ሮጀር ፌዴረር	Roger Federer
ጆርጂያ	Georgia (USA)
ዛግሬብ	Zagreb
ቴክሳስ	Texas
ጄኖቫ	Genova
ኖርዝ ካሮላይና	Nord-Carolina
ሳውዝ ካሮላይና	Sør-Carolina
ሲኪልያ	Sicilia
ማኒላ	Manila
ሳርዲኒያ	Sardinia
ሏር ወንዝ	Loire
ቦርዶ	Bordeaux
ብዌኖስ አይሬስ	Buenos Aires
ሜክሲኮ ከተማ	Mexico by
ቶክዮ	Tokyo
ላፓዝ	La Paz
ባርሴሎና	Barcelona
ሚሲሲፒ	Mississippi
ፈርዲናንድ ማጄላን	Ferdinand Magellan
ሚሲሲፒ ወንዝ	Mississippi (elv)
ቴነሲ	Tennessee
አቡ ዳቢ	Abu Dhabi (by)
አስታና	Astana
ኒው ሜክሲኮ	New Mexico
አቴና	Athen
ሚንሶታ	Minnesota
ባግዳድ	Bagdad
ካራካስ	Caracas
ዊስኮንሲን	Wisconsin
ኪኬሮ	Marcus Tullius Cicero
አዮዋ	Iowa
ነብራስካ	Nebraska
ካንሳስ	Kansas
ሀቫና	Havanna
ትምባሆ	Tobakk
ህንዲ	Hindi
ሚዙሪ	Missouri
ሉዊዚያና	Louisiana
ኬንታኪ	Kentucky
አርካንሳው	Arkansas
ኒል አርምስትሮንግ	Neil Armstrong
ኤልበ ወንዝ	Elben
ኦክላሆማ	Oklahoma
ዳኑብ ወንዝ	Donau
ሞዘል ወንዝ	Mosel
ስሜን ባሕር	Nordsjøen
ዲውስልዶርፍ	Düsseldorf
ማይንጽ	Mainz
ቪስባድን	Wiesbaden
ሙኒክ	München
ድረስደን	Dresden
ብሬገንጽ	Bregenz
ቪየና	Wien
ኮፐንሀገን	København
ስቶኮልም	Stockholm
ሄልሲንኪ	Helsingfors
ደብሊን	Dublin
ሬይኪያቪክ	Reykjavík
ታሊን	Tallinn
ሪጋ	Riga
ብራቲስላቫ	Bratislava
ቡዳፔስት	Budapest
ግዳንስክ	Gdańsk
ፍራንክፉርት	Frankfurt am Main
ላንታኒየም	Lantan
ፕሮሜቲየም	Promethium
ፊልጶስ አረባዊ	Filip Araberen
ሳማሪየም	Samarium
ጋዶሊኒየም	Gadolinium
ተርቢየም	Terbium
ሉክሰምበርግ (ከተማ)	Luxembourg (by)
ዲስፕሮሲየም	Dysprosium
ፋዱጽ	Vaduz
መጽሐፍ ቅዱስ	Bibelen
ሆልሚየም	Holmium
ሳን ማሪኖ (ከተማ)	San Marino by
ኢርቢየም	Erbium
ፕኖም ፔን	Phnom Penh
ቱሊየም	Thulium
ሆ ቺ ሚን ከተማ	Ho Chi Minh-byen
ይተርቢየም	Ytterbium
ሉቴቲየም	Lutetium
ሀኖይ	Hanoi
እንግሊዝኛ	Engelsk
ባንግኮክ	Bangkok
አንዶራ ላ ቬላ	Andorra la Vella
ኩዋላ ሉምፑር	Kuala Lumpur
ታይፔ	Taipei
አሜሪኪየም	Americium
ኩሪየም	Curium
ዶንግ ሆይ	Dong Hoi
ኮንሴፕሲዮን	Concepción
በርከሊየም	Berkelium
ዲውረን	Düren
ካሊፎርኒየም	Californium
ኤይንስቴኒየም	Einsteinium
ቦሎኛ የእግር ኳስ ክለብ 1909	Bologna FC 1909
ፌርሚየም	Fermium
ሜንደሊቭየም	Mendelevium
ኪየቭ	Kiev
ኖብሊየም	Nobelium
ላውረንሲየም	Lawrencium
ኦታዋ	Ottawa
ዬሬቫን	Jerevan
ኮኝስኮቮላ	Końskowola
ካርቱም	Khartoum
2000 እ.ኤ.አ.	2000
2003 እ.ኤ.አ.	2003
2002 እ.ኤ.አ.	2002
2001 እ.ኤ.አ.	2001
2012 እ.ኤ.አ.	2012
2011 እ.ኤ.አ.	2011
2010 እ.ኤ.አ.	2010
2009 እ.ኤ.አ.	2009
ካርቦን ክልቶኦክሳይድ	Karbondioksid
2013 እ.ኤ.አ.	2013
2014 እ.ኤ.አ.	2014
2015 እ.ኤ.አ.	2015
2008 እ.ኤ.አ.	2008
2004 እ.ኤ.አ.	2004
2005 እ.ኤ.አ.	2005
2006 እ.ኤ.አ.	2006
2007 እ.ኤ.አ.	2007
1900 እ.ኤ.አ.	1900
1901 እ.ኤ.አ.	1901
ፍራንስዋ ሚቴራን	François Mitterrand
ሻርል ደ ጎል	Charles de Gaulle
1902 እ.ኤ.አ.	1902
ፍሎረንስ	Firenze
1903 እ.ኤ.አ.	1903
1904 እ.ኤ.አ.	1904
1905 እ.ኤ.አ.	1905
1907 እ.ኤ.አ.	1907
1906 እ.ኤ.አ.	1906
ሴኔካ	Seneca den yngre
1908 እ.ኤ.አ.	1908
1909 እ.ኤ.አ.	1909
1992 እ.ኤ.አ.	1992
1991 እ.ኤ.አ.	1991
1990 እ.ኤ.አ.	1990
1993 እ.ኤ.አ.	1993
1994 እ.ኤ.አ.	1994
1995 እ.ኤ.አ.	1995
1996 እ.ኤ.አ.	1996
1910 እ.ኤ.አ.	1910
1911 እ.ኤ.አ.	1911
1912 እ.ኤ.አ.	1912
ላይፕጽግ	Leipzig
1913 እ.ኤ.አ.	1913
1914 እ.ኤ.አ.	1914
1915 እ.ኤ.አ.	1915
1916 እ.ኤ.አ.	1916
1997 እ.ኤ.አ.	1997
1998 እ.ኤ.አ.	1998
ኑረምበርግ	Nürnberg
1999 እ.ኤ.አ.	1999
1917 እ.ኤ.አ.	1917
1918 እ.ኤ.አ.	1918
ዱይስቡርግ፣ ጀርመን	Duisburg
እባብ	Slanger
ዣክ ሺራክ	Jacques Chirac
የብርሃን ፍጥነት	Lysets hastighet
ማንሃይም	Mannheim
ቫሌሪ ጊስካር ዴስቴን	Valéry Giscard d'Estaing
1 January	1. januar
2 January	2. januar
1920 እ.ኤ.አ.	1920
3 January	3. januar
1919 እ.ኤ.አ.	1919
1921 እ.ኤ.አ.	1921
1922 እ.ኤ.አ.	1922
4 January	4. januar
1923 እ.ኤ.አ.	1923
1924 እ.ኤ.አ.	1924
ዦርዥ ፖምፒዱ	Georges Pompidou
5 January	5. januar
ማሌሜ	Malmö
6 January	6. januar
7 January	7. januar
8 January	8. januar
9 January	9. januar
10 January	10. januar
11 January	11. januar
12 January	12. januar
13 January	13. januar
በርሚንግሃም	Birmingham
14 January	14. januar
15 January	15. januar
16 January	16. januar
17 January	17. januar
18 January	18. januar
19 January	19. januar
20 January	20. januar
21 January	21. januar
22 January	22. januar
23 January	23. januar
የሮሜ መንግሥት	Det romerske keiserriket
24 January	24. januar
25 January	25. januar
ሚንስክ	Minsk
26 January	26. januar
ማይክሮሶፍት	Microsoft
27 January	27. januar
28 January	28. januar
29 January	29. januar
30 January	30. januar
31 January	31. januar
2 December	2. desember
1 December	1. desember
3 December	3. desember
7 December	7. desember
5 December	5. desember
8 December	8. desember
10 December	10. desember
6 December	6. desember
9 December	9. desember
4 December	4. desember
1 February	1. februar
2 February	2. februar
ጨው	Koksalt
3 February	3. februar
ኩሩቭ	Kurów
4 February	4. februar
5 February	5. februar
6 February	6. februar
7 February	7. februar
8 February	8. februar
9 February	9. februar
10 February	10. februar
የጥንተ ንጥር ጥናት	Kjemi
14 February	14. februar
13 February	13. februar
15 February	15. februar
11 February	11. februar
12 February	12. februar
19 February	19. februar
17 February	17. februar
16 February	16. februar
18 February	18. februar
20 February	20. februar
21 February	21. februar
22 February	22. februar
23 February	23. februar
24 February	24. februar
25 February	25. februar
26 February	26. februar
27 እ.ኤ.አ.	27
27 February	27. februar
28 February	28. februar
11 December	11. desember
29 February	29. februar
12 December	12. desember
13 December	13. desember
14 December	14. desember
15 December	15. desember
2 March	2. mars
3 March	3. mars
5 March	5. mars
1 March	1. mars
7 March	7. mars
8 March	8. mars
4 March	4. mars
10 March	10. mars
11 March	11. mars
6 March	6. mars
13 March	13. mars
9 March	9. mars
12 March	12. mars
15 March	15. mars
14 March	14. mars
16 December	16. desember
17 December	17. desember
16 March	16. mars
17 March	17. mars
18 March	18. mars
19 March	19. mars
1989 እ.ኤ.አ.	1989
1988 እ.ኤ.አ.	1988
20 March	20. mars
1987 እ.ኤ.አ.	1987
1986 እ.ኤ.አ.	1986
1985 እ.ኤ.አ.	1985
1984 እ.ኤ.አ.	1984
21 March	21. mars
1983 እ.ኤ.አ.	1983
22 March	22. mars
1982 እ.ኤ.አ.	1982
