Áfríkà	Afrika
Grínlándì	Grønland
Kroatíà	Kroatia
Bósníà àti Hẹrjẹgòfínà	Bosnia-Hercegovina
Nuuk	Nuuk
Azerbaijan	Aserbajdsjan
Àndórà	Andorra
Kíprù	Republikken Kypros
Georgia	Georgia
Kàsàkstán	Kasakhstan
Máltà	Malta
Mónakò	Monaco
Montenẹ́grò	Montenegro
Ìlú Fatikan	Vatikanstaten
San Màrínò	San Marino
Kúbà	Cuba
Bẹ̀lísè	Belize
Bárbádọ̀s	Barbados
Indonésíà	Indonesia
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Èdè Túrkì	Tyrkisk
Gúúsù Áfríkà	Sør-Afrika
Àlgéríà	Algerie
Wikisource	Wikikilden
Ùsbẹ̀kìstán	Usbekistan
Tashkent	Tasjkent
Warsaw	Warszawa
Omi	Vann
Tẹlifísàn	Fjernsyn
Claude Monet	Claude Monet
Diego Velázquez	Diego Velázquez
Tsílè	Chile
Jésù	Jesus Kristus
Elvis Presley	Elvis Presley
Sebastián Piñera	Sebastián Piñera
Galileo Galilei	Galileo Galilei
Mẹ́rkúríù (plánẹ̀tì)	Merkur
Ìtàn	Historie
Apple Inc.	Apple
Àgùàlà	Venus
Èdè	Språk
Júpítérì	Jupiter
Michelle Bachelet	Michelle Bachelet
Úránù	Uranus
Eduardo Frei Ruiz-Tagle	Eduardo Frei Ruiz-Tagle
Nicolas Sarkozy	Nicolas Sarkozy
Ricardo Lagos	Ricardo Lagos
Nẹ́ptúnù	Neptun (planet)
Ìtòràwọ̀	Astronomi
Singapore	Singapore
Patricio Aylwin	Patricio Aylwin
Sáyẹ́nsì	Vitenskap
Plùtò	Pluto
Màríà (ìyá Jésù)	Jomfru Maria
Louis 9k ilẹ̀ Fránsì	Ludvig IX av Frankrike
Líktẹ́nstáìnì	Liechtenstein
Adolf Hitler	Adolf Hitler
Ogun Àgbáyé Kìíní	Første verdenskrig
Ogun Àgbáyé Ẹlẹ́ẹ̀kejì	Andre verdenskrig
Ìwàìbàjẹ́	Korrupsjon
Augusto Pinochet	Augusto Pinochet
Skopje	Skopje
Bob Dylan	Bob Dylan
Mathimátíkì	Matematikk
Èdè Látìnì	Latin
Báháráìnì	Bahrain
Arméníà	Armenia
Bósónì Higgs	Higgs-boson
Sérbíà	Serbia
Òṣùpá	Månen
Istanbul	Istanbul
Austrálíà	Australia
Bob Marley	Bob Marley
Físíksì	Fysikk
Argẹntínà	Argentina
Ìbánisọ̀rọ̀-ọ̀ọ́kán	Telekommunikasjon
Perú	Peru
Kòréà Àríwá	Nord-Korea
Kàmbódíà	Kambodsja
Kùránì	Koranen
Ìmàle	Islam
Ljubljana	Ljubljana
Salvador Allende	Salvador Allende
Lech Wałęsa	Lech Wałęsa
Ìṣọ̀kan Europe	Den europeiske union
Obìnrin	Kvinne
Sofia	Sofia
Eduardo Frei Montalva	Eduardo Frei Montalva
Ewì	Poesi
Ọ̀gẹ̀dẹ̀	Bananer
Émile Zola	Émile Zola
666	666
Ìlú	By
Napoleon Bonaparte	Napoléon Bonaparte
Ìràwọ̀	Stjerne
Òrùn	Solen
Louis Pasteur	Louis Pasteur
Victor Hugo	Victor Hugo
Oṣéáníà	Oseania
Sístẹ̀mù Òrùn	Solsystemet
Háídrójìn	Hydrogen
Hílíọ̀mù	Helium
Wikimedia Commons	Wikimedia Commons
Angela Merkel	Angela Merkel
Lítíọ̀mù	Litium
Bẹ́rílíọ̀mù	Beryllium
Ìwé	Bok
Ọjọ́	Dag
Ìlàòrùn Timor	Øst-Timor
Ọdún	År
Ọ̀rúndún	Århundre
Oslo	Oslo
Lisbon	Lisboa
Dubai	Dubai
Bórọ̀nù	Bor (grunnstoff)
Nicolaus Copernicus	Nikolaus Kopernikus
Kárbọ̀nù	Karbon
Nítrójìn	Nitrogen
Ọ́ksíjìn	Oksygen
Plánẹ̀tì	Planet
Cleopatra 7k	Kleopatra VII av Egypt
Orin	Musikk
Lille	Lille
Mọsko	Moskva
Fluorínì	Fluor
Nẹ́ọ̀nù	Neon
Saint Petersburg	St. Petersburg
Tsad	Tsjad
Sódíọ̀mù	Natrium
Àríwá	Nord
Magnésíọ̀mù	Magnesium
Alumíníọ̀mù	Aluminium
New Zealand	New Zealand
Índíà	India
Sílíkọ́nù	Silisium
Fránsíọ̀m	Francium
Tufalu	Tuvalu
Fósfórù	Fosfor
André-Marie Ampère	André-Marie Ampère
Iron	Jern
Tóngà	Tonga
Alessandro Volta	Alessandro Volta
Súlfúrù	Svovel
Sàmóà	Samoa
Àwọn Erékùsù Sólómọ́nì	Salomonøyene
Fanuatu	Vanuatu
Molière	Molière
Klorínì	Klor
Papua Guinea Titun	Papua Ny-Guinea
William Shakespeare	William Shakespeare
Páláù	Palau
Árgọ̀nù	Argon
Nàúrù	Nauru
Àwọn Ìpínlẹ̀ Àṣepapọ̀ ilẹ̀ Mikronésíà	Mikronesiaføderasjonen
Pòtásíọ̀mù	Kalium
Calcium	Kalsium
Òjé	Bly
Àwọn Erékùṣù Marshall	Marshalløyene
Kìrìbátì	Kiribati
Mòngólíà	Mongolia
Fíjì	Fiji
Scandium	Scandium
Stevie Wonder	Stevie Wonder
Titaniomu	Titan (grunnstoff)
Fenesuela	Venezuela
Saginaw	Saginaw
Banadiomu	Vanadium
Maine	Maine
Krómíọ̀mù	Krom
Amsterdam	Amsterdam
Ẹranko	Dyr
Sùrìnámù	Surinam
Manganisi	Mangan
Paragúáì	Paraguay
Gùyánà	Guyana
Ọnà	Kunst
Ẹ̀kùàdọ̀r	Ecuador
Rhenium	Rhenium
Kòlómbìà	Colombia
Cobalt	Kobolt
Wolframu	Wolfram
Nickel	Nikkel
Ẹ̀sìn Búddà	Buddhisme
Bòlífíà	Bolivia
Osmium	Osmium
Bàbà	Kobber
Trínídád àti Tòbágò	Trinidad og Tobago
Ọ̀gbìn	Planter
Saint Vincent àti àwọn Grẹnadínì	Saint Vincent og Grenadinene
Zinc	Sink
New Hampshire	New Hampshire
Lùsíà Mímọ́	Saint Lucia
Leonardo da Vinci	Leonardo da Vinci
Saint Kitts àti Nevis	Saint Kitts og Nevis
Èbu	Sopper
Dario Fo	Dario Fo
Jamáíkà	Jamaica
Grẹ̀nádà	Grenada
Massachusetts	Massachusetts
Guatẹmálà	Guatemala
Àwọn Bàhámà	Bahamas
Connecticut	Connecticut
Ántígúà àti Bàrbúdà	Antigua og Barbuda
Hawaii	Hawaii
Họ̀ndúràs	Honduras
Dòmíníkà	Dominica
Jersey	Jersey
Orílẹ̀òmìnira Dómíníkì	Den dominikanske republikk
Òkun Árktìkì	Nordishavet
Hàítì	Haiti
El Salfador	El Salvador
Ìránì	Iran
Irak	Irak
Alaska	Alaska
Kóstá Rikà	Costa Rica
Ísráẹ́lì	Israel
Panamá	Panama
Yemen	Jemen
Lausanne	Lausanne
Èràn	Virus
Èdè Pólándì	Polsk
Jọ́rdánì	Jordan
Nikarágúà	Nicaragua
Florida	Florida
Kirgistani	Kirgisistan
Gabriel González Videla	Gabriel González Videla
Arizona	Arizona
Kuwaiti	Kuwait
Láọ̀s	Laos
Lẹ́bánọ́nì	Libanon
Oregon	Oregon
Àwọn Maldive	Maldivene
Amẹ́ríkà	Amerika
Utah	Utah
Malaysia	Malaysia
Myanmar	Myanmar
Nepal	Nepal
Oman	Oman
Pakístàn	Pakistan
Katar	Qatar
Tẹ́nìs	Tennis
Sáúdí Arábíà	Saudi-Arabia
Sri Lanka	Sri Lanka
Joseph Stalin	Josef Stalin
Síríà	Syria
Plato	Platon
Gallium	Gallium
Joseph Brodsky	Josif Brodskij
Tajikistan	Tadsjikistan
Orílẹ̀-èdè Olómìnira ilẹ̀ Ṣáínà	Republikken Kina
Jẹ́rmáníọ́mù	Germanium
Aristotulu	Aristoteles
Tháílàndì	Thailand
Arsenic	Arsen
Meryl Streep	Meryl Streep
Turkmẹ́nìstán	Turkmenistan
Selenium	Selen
Iridium	Iridium
Àwọn Ẹ́mírétì Árábù Aṣọ̀kan	De forente arabiske emirater
Brómìnì	Brom
Platinum	Platina
Fiẹtnám	Vietnam
Kòréà Gúúsù	Sør-Korea
Krypton	Krypton
Afghanístàn	Afghanistan
J. R. R. Tolkien	J. R. R. Tolkien
Rubidium	Rubidium
Wúrà	Gull
Ìladò Suez	Suezkanalen
Bangladẹ́shì	Bangladesh
Bleach (mángà)	Bleach (manga)
Franz Kafka	Franz Kafka
Jorge Luis Borges	Jorge Luis Borges
Málì	Mali
Socrates	Sokrates
Àngólà	Angola
Bhùtán	Bhutan
Brunei	Brunei
Tànsáníà	Tanzania
Fàdákàolómi	Kvikksølv
Roald Amundsen	Roald Amundsen
Harry Mulisch	Harry Mulisch
Filipínì	Filippinene
Orílẹ̀-èdè Olómìnira Àrin Áfríkà	Den sentralafrikanske republikk
Thallium	Thallium
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Strontium	Strontium
Yttrium	Yttrium
Bismuth	Vismut
Tógò	Togo
Donald Tusk	Donald Tusk
Tùnísíà	Tunisia
John Bardeen	John Bardeen
Sámbíà	Zambia
Sìmbábúè	Zimbabwe
Beijing	Beijing
Gúúsù Sudan	Sør-Sudan
Benin	Benin
Bòtswánà	Botswana
Wikinews	Wikinytt
Bùrkínà Fasò	Burkina Faso
Bùrúndì	Burundi
Kòmórò	Komorene
Orílẹ̀-èdè Olómìnira ilẹ̀ Kóngò	Republikken Kongo
Orílẹ̀-èdè Olómìnira Olóṣèlú ilẹ̀ Kóngò	Den demokratiske republikken Kongo
San Antonio	San Antonio
Djìbútì	Djibouti
Polonium	Polonium
Bavaria	Bayern
Guinea Alágedeméjì	Ekvatorial-Guinea
Baden-Württemberg	Baden-Württemberg
Ẹritrẹ́à	Eritrea
Delhi Titun	New Delhi
Pópù Jòhánù Páúlù Èkejì	Johannes Paul II
Fyodor Dostoyevsky	Fjodor Dostojevskij
Tbilisi	Tbilisi
Andrei Sakharov	Andrej Sakharov
Astatínì	Astat
Gàbọ̀n	Gabon
Mohandas Karamchand Gandhi	Mahatma Gandhi
Gámbíà	Gambia
Guinea	Guinea
Guinea-Bissau	Guinea-Bissau
Côte d'Ivoire	Elfenbenskysten
Kamẹrúùn	Kamerun
Kepu Ferde	Kapp Verde
Lèsóthò	Lesotho
Làìbéríà	Liberia
Líbyà	Libya
Madagáskàr	Madagaskar
Màláwì	Malawi
Stuttgart	Stuttgart
Mauritáníà	Mauritania
Àwọn ọmọ Pólàndì	Polakker
Mọ́rísì	Mauritius
Mòrókò	Marokko
Mòsámbìk	Mosambik
Nàmíbíà	Namibia
Nìjẹ̀r	Niger
Nàìjíríà	Nigeria
Charles Darwin	Charles Darwin
Ùgándà	Uganda
Rùwándà	Rwanda
Zirconium	Zirkonium
Sao Tome àti Principe	São Tomé og Príncipe
Sẹ̀nẹ̀gàl	Senegal
Ṣèíhẹ́lẹ́sì	Seychellene
Carl Linnaeus	Carl von Linné
Siẹrra Léònè	Sierra Leone
Sòmálíà	Somalia
Niobium	Niob
Jawaharlal Nehru	Jawaharlal Nehru
Juliu Késárì	Julius Cæsar
Sudan	Sudan
Swásílándì	Swaziland
Molybdenum	Molybden
Technetium	Technetium
Hamburg	Hamburg
Gujarat	Gujarat
Àgbájọ àwọn Orílẹ̀-èdè Aṣòkan	De forente nasjoner
Dante Alighieri	Dante Alighieri
Jẹ́ọ́gráfì	Geografi
Ọkàn	Hjerte
Prague	Praha
Ruthenium	Ruthenium
Rhodium	Rhodium
Palladium	Palladium
Fàdákà	Sølv
Kadmium	Kadmium
Indium	Indium
Tánganran	Tinn (grunnstoff)
Ùráníọ̀m	Uran
Antimony	Antimon
Tellurium	Tellur
Plùtòníọ̀m	Plutonium
Iodínì	Jod
Nẹ́ptúníọ̀m	Neptunium
Ksenon	Xenon
Anime	Anime
Kesium	Cesium
Protaktiníọ̀m	Protactinium
Àdìjọ ìtanná	Elektrisk ladning
Barium	Barium
Tóríọ̀m	Thorium
Hafnium	Hafnium
Àktíníọ̀m	Actinium
Tantalum	Tantal
Bill Clinton	Bill Clinton
Radiomu	Radium
Radon	Radon
Indira Gandhi	Indira Gandhi
Mumbai	Mumbai
Andhra Pradesh	Andhra Pradesh
Arunachal Pradesh	Arunachal Pradesh
Assam	Assam
Bihar	Bihar
Michigan	Michigan
Chhattisgarh	Chhattisgarh
Goa	Goa
Haryana	Haryana
Himachal Pradesh	Himachal Pradesh
Jammu àti Kashmir	Jammu og Kashmir
Púẹ́rtò Ríkò	Puerto Rico
Jharkhand	Jharkhand
Karnataka	Karnataka
Kerala	Kerala
Madhya Pradesh	Madhya Pradesh
Usain Bolt	Usain Bolt
Maharashtra	Maharashtra
Manipur	Manipur
Schleswig-Holstein	Schleswig-Holstein
Meghalaya	Meghalaya
Mecklenburg-Vorpommern	Mecklenburg-Vorpommern
Lower Saxony	Niedersachsen
Nordrhein-Westfalen	Nordrhein-Westfalen
Hesse	Hessen
Rhineland-Palatinate	Rheinland-Pfalz
Saarland	Saarland
Saxony	Sachsen
John Lennon	John Lennon
Illinois	Illinois
Thuringia	Thüringen
Saxony-Anhalt	Sachsen-Anhalt
Àríwá Dakota	Nord-Dakota
Brandenburg	Brandenburg
Bremen (ìpínlẹ̀)	Bremen
Gúúsù Dakota	Sør-Dakota
Montana	Montana
Wyoming	Wyoming
Jerúsálẹ́mù	Jerusalem
Giorgio Napolitano	Giorgio Napolitano
Idaho	Idaho
Ìpínlẹ̀ Washington	Washington
Carlo Azeglio Ciampi	Carlo Azeglio Ciampi
Rutherfordium	Rutherfordium
Nevada	Nevada
Oscar Luigi Scalfaro	Oscar Luigi Scalfaro
Francesco Cossiga	Francesco Cossiga
Dubnium	Dubnium
Sandro Pertini	Sandro Pertini
Seaborgium	Seaborgium
Giovanni Leone	Giovanni Leone
Giuseppe Saragat	Giuseppe Saragat
Òkun Índíà	Indiahavet
Antonio Segni	Antonio Segni
Giovanni Gronchi	Giovanni Gronchi
Luigi Einaudi	Luigi Einaudi
Enrico De Nicola	Enrico De Nicola
Kósófò	Kosovo
Òkun Kàríbẹ́ánì	Det karibiske hav
Bohriomu	Bohrium
Hassiomu	Hassium
Ban Ki-moon	Ban Ki-moon
Kofi Annan	Kofi Annan
Boutros Boutros-Ghali	Boutros Boutros-Ghali
Meitneriomu	Meitnerium
Javier Pérez de Cuéllar	Javier Pérez de Cuéllar
Kurt Waldheim	Kurt Waldheim
Colorado	Colorado
Darmstadtium	Darmstadtium
Dag Hammarskjöld	Dag Hammarskjöld
Frédéric Chopin	Frédéric Chopin
Roentgenium	Røntgenium
Kopernisiomu	Copernicium
Ẹ̀ka:Àwọn àkóónú	Kategori:Kategorier
Blaise Pascal	Blaise Pascal
Ṣìkágò	Chicago
The Beatles	The Beatles
Ununtrium	Ununtrium
Flẹ́rófíọ́mù	Flerovium
Ununpentium	Ununpentium
Livermorium	Livermorium
Ununseptium	Ununseptium
Ununoctium	Ununoctium
Saddam Hussein	Saddam Hussein
Osama bin Laden	Osama bin Laden
Èdè Spéìn	Spansk
Friedrich Hayek	Friedrich Hayek
Montevideo	Montevideo
Johann Sebastian Bach	Johann Sebastian Bach
Philadelphia	Philadelphia
Delhi	Delhi
Dhaka	Dhaka
Bangalore	Bangalore
Ìwọòrùn Bẹ̀ngál	Vest-Bengal
Islàmabad	Islamabad
Tripura	Tripura
Ọ̀bọ	Apekatter
Firginia	Virginia
Ìwọ̀orùn Firginia	Vest-Virginia
Ìpínlẹ̀ New York	New York (delstat)
Cerium	Cerium
Praseodymium	Praseodym
Erékùṣù Rhode	Rhode Island
Neodymium	Neodym
Kòkòrò	Insekter
Maryland	Maryland
Delaware	Delaware
Vladimir Lenin	Vladimir Lenin
Europium	Europium
Ohio	Ohio
Virgil	Vergil
Niccolò Machiavelli	Niccolò Machiavelli
Pennsylvania	Pennsylvania
Luigi Pirandello	Luigi Pirandello
Uetersen	Uetersen
Augustus	Augustus
Microsoft Windows	Microsoft Windows
Tiberius	Tiberius
New Jersey	New Jersey
Caligula	Caligula
Gibraltar	Gibraltar
Claudius	Claudius
Èdè Fínlándì	Finsk
Nero	Nero
Galba	Galba
Indiana	Indiana
Otho	Otho
Vitellius	Vitellius
Vespasian	Vespasian
Titu	Titus
Domitian	Domitian
Nerva	Nerva
Trajan	Trajan
Roger Federer	Roger Federer
Hadrian	Hadrian
Ìpínlẹ̀ Georgia	Georgia (USA)
Antoninus Pius	Antoninus Pius
Marcus Aurelius	Marcus Aurelius
Lucius Verus	Lucius Verus
Commodus	Commodus
Zagreb	Zagreb
Pertinax	Pertinax
Rajasthan	Rajasthan
Texas	Texas
Didius Julianus	Didius Julianus
Septimius Severus	Septimius Severus
Tamil Nadu	Tamil Nadu
Caracalla	Caracalla
Àríwá Carolina	Nord-Carolina
Gúúsù Carolina	Sør-Carolina
Sicily	Sicilia
Manila	Manila
Noynoy Aquino	Benigno Aquino III
Ìlú Quezon	Quezón by
Bordeaux	Bordeaux
Buenos Aires	Buenos Aires
Ìlú Mẹ́ksíkò	Mexico by
Tokyo	Tokyo
La Paz	La Paz
Ìpínlẹ̀ Mississippi	Mississippi
Ferdinand Magellan	Ferdinand Magellan
Uttar Pradesh	Uttar Pradesh
Uttarakhand	Uttarakhand
Mizoram	Mizoram
Sikkim	Sikkim
Tennessee	Tennessee
Richard Wagner	Richard Wagner
Abidjan	Abidjan
Abu Dhabi	Abu Dhabi (by)
Astana	Astana
Ìpínlẹ̀ Titun Mẹ́ksíkò	New Mexico
Ramesses 2k	Ramses II
Áténì	Athen
Minnesota	Minnesota
Baghdad	Bagdad
Caracas	Caracas
Ajọfọ̀nàkò Àsìkò Káríayé	UTC
Wisconsin	Wisconsin
Kísẹ́rò	Marcus Tullius Cicero
Iowa	Iowa
Nebraska	Nebraska
Ìlú Guatẹmálà	Guatemala by
Kansas	Kansas
Havana	Havanna
Èdè Híndì	Hindi
Ìpínlẹ̀ Missouri	Missouri
Georg Ohm	Georg Simon Ohm
Louisiana	Louisiana
Nagaland	Nagaland
Kentucky	Kentucky
Arkansas	Arkansas
Neil Armstrong	Neil Armstrong
Oklahoma	Oklahoma
Yohan Blake	Yohan Blake
Odò Dánúbì	Donau
Kiel	Kiel
Schwerin	Schwerin
Potsdam	Potsdam
Hanover	Hannover
Düsseldorf	Düsseldorf
Mainz	Mainz
Wiesbaden	Wiesbaden
Saarbrücken	Saarbrücken
Munich	München
Erfurt	Erfurt
Dresden	Dresden
Magdeburg	Magdeburg
Volleyball	Volleyball
Fienna	Wien
Madonna	Madonna (artist)
Copenhagen	København
Kaliningrad Oblast	Kaliningrad oblast
Macrinus	Macrinus
Stockholm	Stockholm
Helsinki	Helsingfors
Dublin	Dublin
Elagabalus	Heliogabalus
Reykjavík	Reykjavík
Ella Fitzgerald	Ella Fitzgerald
Alexander Severus	Alexander Severus
Tallinn	Tallinn
Riga	Riga
Zanzibar	Zanzibar
Maximinus Thrax	Maximinus Thrax
Louis Armstrong	Louis Armstrong
Bratislava	Bratislava
Budapest	Budapest
Gordian 1k	Gordian I
Frankfurt	Frankfurt am Main
Pupienus	Pupienus
Lanthanum	Lantan
Gordian 2k	Gordian II
Balbinus	Balbinus
Promethium	Promethium
Gordian 3k	Gordian III
Filip Áràbù	Filip Araberen
Samarium	Samarium
Aceh	Aceh
Decius	Decius
Gadolinium	Gadolinium
Terbium	Terbium
Luxembourg (ìlú)	Luxembourg (by)
Dysprosium	Dysprosium
Vaduz	Vaduz
Bíbélì Mímọ́	Bibelen
Holmium	Holmium
Ìlú San Màrínò	San Marino by
Erbium	Erbium
Phnom Penh	Phnom Penh
Thulium	Thulium
Ytterbium	Ytterbium
Lutetium	Lutetium
Hanoi	Hanoi
Èdè Gẹ̀ẹ́sì	Engelsk
Bangkok	Bangkok
Andorra la Vella	Andorra la Vella
Kuala Lumpur	Kuala Lumpur
Taipei	Taipei
Amẹrísíọ̀m	Americium
Kùríọ̀m	Curium
Concepción, Chile	Concepción
Bẹ́rkẹ́líọ̀m	Berkelium
Kalifọ́rníọ̀m	Californium
Einsteiniom	Einsteinium
Fẹ́rmíọ̀m	Fermium
Mẹ̀ndẹ̀lẹ́fíọ̀m	Mendelevium
Kiev	Kiev
Nobelium	Nobelium
Lawrencium	Lawrencium
Ottawa	Ottawa
Yerevan	Jerevan
Końskowola	Końskowola
Dar es Salaam	Dar-es-Salaam
Khartoum	Khartoum
Formula One	Formel 1
2000	2000
2003	2003
2002	2002
2001	2001
2012	2012
2011	2011
2010	2010
2009	2009
Kárbónì ọlọ́ksíjínìméjì	Karbondioksid
2013	2013
2014	2014
2015	2015
Newfoundland àti Labrador	Newfoundland og Labrador
2008	2008
2004	2004
2005	2005
2006	2006
2007	2007
1900	1900
1901	1901
François Mitterrand	François Mitterrand
Charles de Gaulle	Charles de Gaulle
1902	1902
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
1908	1908
1909	1909
1992	1992
1991	1991
1990	1990
1993	1993
1994	1994
1995	1995
1996	1996
1910	1910
1911	1911
1912	1912
1913	1913
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
1999	1999
1917	1917
1918	1918
Jacques Chirac	Jacques Chirac
Valéry Giscard d'Estaing	Valéry Giscard d'Estaing
1 Oṣù Kínní	1. januar
Oṣù Kínní 2	2. januar
1920	1920
Oṣù Kínní 3	3. januar
1919	1919
1921	1921
1922	1922
Oṣù Kínní 4	4. januar
1923	1923
1924	1924
Ìgbàjá ástẹ́rọ́ìdì	Asteroidebeltet
Orílẹ̀-èdè Olómìnira Àpapọ̀ Sófìẹ̀tì Sósíálístì Rọ́síà	Den russiske sovjetiske føderative sosialistrepublikk
Georges Pompidou	Georges Pompidou
Graphics Interchange Format	GIF
Windows Media Audio	Windows Media Audio
JPEG	JPEG
Oṣù Kínní 5	5. januar
Oṣù Kínní 6	6. januar
Ẹ̀lẹ́ktrọ́nù	Elektron
Oṣù Kínní 7	7. januar
Oṣù Kínní 8	8. januar
Oṣù Kínní 9	9. januar
Oṣù Kínní 10	10. januar
Oṣù Kínní 11	11. januar
Oṣù Kínní 12	12. januar
Buzz Aldrin	Buzz Aldrin
Oṣù Kínní 13	13. januar
Oṣù Kínní 14	14. januar
Oṣù Kínní 15	15. januar
Oṣù Kínní 16	16. januar
Tom Hanks	Tom Hanks
Oṣù Kínní 17	17. januar
Oṣù Kínní 18	18. januar
Oṣù Kínní 19	19. januar
Oṣù Kínní 20	20. januar
Oṣù Kínní 21	21. januar
Oṣù Kínní 22	22. januar
Oṣù Kínní 23	23. januar
Ilẹ̀ Ọbalúayé Rómù	Det romerske keiserriket
Oṣù Kínní 24	24. januar
Oṣù Kínní 25	25. januar
Minsk	Minsk
Oṣù Kínní 26	26. januar
Microsoft	Microsoft
Oṣù Kínní 27	27. januar
28 January	28. januar
Oṣù Kínní 29	29. januar
Oṣù Kínní 30	30. januar
Oṣù Kínní 31	31. januar
Prótọ̀nù	Proton
2 December	2. desember
1 December	1. desember
3 December	3. desember
7 December	7. desember
5 December	5. desember
8 December	8. desember
10 December	10. desember
6 December	6. desember
9 December	9. desember
4 December	4. desember
1 February	1. februar
2 February	2. februar
3 February	3. februar
Kurów	Kurów
4 February	4. februar
5 February	5. februar
6 February	6. februar
7 February	7. februar
8 February	8. februar
9 February	9. februar
10 February	10. februar
Kẹ́místrì	Kjemi
14 February	14. februar
13 February	13. februar
15 February	15. februar
11 February	11. februar
12 February	12. februar
Smolensk	Smolensk
19 February	19. februar
17 February	17. februar
16 February	16. februar
18 February	18. februar
20 February	20. februar
21 February	21. februar
22 February	22. februar
23 February	23. februar
24 February	24. februar
25 February	25. februar
26 February	26. februar
