ਅਫ਼ਰੀਕਾ	Afrika
ਜਰਮਨੀ	Tyskland
ਬੇਲਾਰੂਸ	Hviterussland
ਜਰਮਨ ਭਾਸ਼ਾ	Tysk
ਆਈਸਲੈਂਡ	Island
ਪਰਮਾਤਮਾ	Gud
ਇਸਤੋਨੀਆ	Estland
ਸ਼ਨੀ (ਗ੍ਰਹਿ)	Saturn
ਹਵਾਈ ਜਹਾਜ਼	Fly
ਜੰਗ	Krig
੧ (ਅੰਕ)	1 (tall)
੨ (ਅੰਕ)	2 (tall)
੩ (ਅੰਕ)	3 (tall)
੪ (ਅੰਕ)	4 (tall)
੫ (ਅੰਕ)	5 (tall)
ਸਿਫ਼ਰ (ਅੰਕ)	Null
ਸਟੀਵਨ ਹਾਰਪਰ	Stephen Harper
ਜਾਰਜ ਵਾਕਰ ਬੁਸ਼	George W. Bush
ਲਾਤਵੀਆ	Latvia
ਯੂਕਰੇਨ	Ukraina
ਚੈੱਕ ਗਣਰਾਜ	Tsjekkia
ਸਲੋਵਾਕੀਆ	Slovakia
ਸਲੋਵੇਨੀਆ	Slovenia
ਵਿਲਨਸ	Vilnius
ਮੋਲਦੋਵਾ	Moldova
ਰੋਮਾਨੀਆ	Romania
ਬੁਲਗਾਰੀਆ	Bulgaria
ਰੋਮ	Roma
ਮਕਦੂਨੀਆ ਗਣਰਾਜ	Republikken Makedonia
ਅਲਬਾਨੀਆ	Albania
ਗਰੀਨਲੈਂਡ	Grønland
ਕ੍ਰੋਏਸ਼ੀਆ	Kroatia
ਬੋਸਨੀਆ ਅਤੇ ਹਰਜ਼ੇਗੋਵੀਨਾ	Bosnia-Hercegovina
ਨੂਕ	Nuuk
ਅਜ਼ਰਬਾਈਜਾਨ	Aserbajdsjan
ਅੰਡੋਰਾ	Andorra
ਸਾਇਪ੍ਰਸ	Republikken Kypros
ਜਾਰਜੀਆ (ਦੇਸ਼)	Georgia
ਕਜ਼ਾਖ਼ਸਤਾਨ	Kasakhstan
ਮਾਲਟਾ	Malta
ਮੋਨਾਕੋ	Monaco
ਮੋਂਟੇਨੇਗਰੋ	Montenegro
ਵੈਟੀਕਨ ਸ਼ਹਿਰ	Vatikanstaten
ਸਾਨ ਮਰੀਨੋ	San Marino
ਬਰੱਸਲਸ (ਸ਼ਹਿਰ)	Brussel
ਕਿਊਬਾ	Cuba
ਬੇਲੀਜ਼	Belize
ਆਈਫ਼ਲ ਟਾਵਰ	Eiffeltårnet
ਬਾਰਬਾਡੋਸ	Barbados
ਫ਼ੌਕਸਵੈਗਨ	Volkswagen
ਇਨਟੈੱਲ	Intel
ਜਾਵਾ (ਪ੍ਰੋਗਰਾਮਿੰਗ ਭਾਸ਼ਾ)	Java (programmeringsspråk)
ਇੰਡੋਨੇਸ਼ੀਆ	Indonesia
ਵੋਲਫ਼ਗਾਂਗ ਆਮਾਡੇਅਸ ਮੋਜ਼ਾਰਟ	Wolfgang Amadeus Mozart
ਲੁਡਵਿਗ ਵਾਨ ਬੀਥੋਵਨ	Ludwig van Beethoven
ਤੁਰਕ ਭਾਸ਼ਾ	Tyrkisk
ਦੱਖਣੀ ਅਫ਼ਰੀਕਾ	Sør-Afrika
ਅਲਜੀਰੀਆ	Algerie
ਉਜ਼ਬੇਕਿਸਤਾਨ	Usbekistan
ਤਾਸ਼ਕੰਤ	Tasjkent
ਵਾਰਸਾ	Warszawa
ਵਾਈਨ	Vin
ਪਾਣੀ	Vann
ਚਮੜਾ	Lær
ਲੱਕੜ	Treverk
ਟੀਵੀ	Fjernsyn
ਫ਼ਾਹਸ਼ ਰਚਨਾ	Pornografi
ਕਲੌਦ ਮੋਨੇ	Claude Monet
ਡਿਏਗੋ ਵੇਲਾਕਿਉਜ	Diego Velázquez
ਚੀਲੇ	Chile
ਈਸਾ ਮਸੀਹ	Jesus Kristus
ਗੈਲੀਲਿਓ ਗੈਲੀਲੀ	Galileo Galilei
ਬੁੱਧ (ਗ੍ਰਹਿ)	Merkur
ਇਤਿਹਾਸ	Historie
ਐਪਲ	Apple
ਭਾਸ਼ਾ	Språk
ਪਿਆਰ	Kjærlighet
ਤਾਨਾਸ਼ਾਹੀ	Diktatur
ਅਕਾਸ਼ਗੰਗਾ	Galakse
ਬ੍ਰਹਿਸਪਤ (ਗ੍ਰਹਿ)	Jupiter
ਮਿਸ਼ੇਲ ਬਾਚੇਲੇਤ	Michelle Bachelet
ਮਿਲਕੀ ਵੇ	Melkeveien
ਮਹਾਂ ਧਮਾਕਾ	Big Bang
ਯੁਰੇਨਸ (ਗ੍ਰਹਿ)	Uranus
ਅੰਗਰੇਜ਼ੀ ਵਿਕੀਪੀਡੀਆ	Wikipedia på engelsk
ਵਰੁਣ (ਗ੍ਰਹਿ)	Neptun (planet)
ਤਾਰਾ ਵਿਗਿਆਨ	Astronomi
ਸਿੰਗਾਪੁਰ	Singapore
ਵਿਗਿਆਨ	Vitenskap
ਪਲੂਟੋ	Pluto
ਮਾਂਟਰੀਆਲ	Montréal
ਆਜ਼ਾਦ ਸਾਫ਼ਟਵੇਅਰ	Fri programvare
ਕੁਆਰੀ ਮਰੀਅਮ	Jomfru Maria
ਲੀਖਟਨਸ਼ਟਾਈਨ	Liechtenstein
ਖੇਡ	Sport
ਕੈਂਬਰਿਜ	Cambridge
ਅਡੋਲਫ ਹਿਟਲਰ	Adolf Hitler
ਫ਼ੇਸਬੁੱਕ	Facebook
ਵਿਕੀਲੀਕਸ	WikiLeaks
ਪਹਿਲੀ ਸੰਸਾਰ ਜੰਗ	Første verdenskrig
ਦੂਜੀ ਸੰਸਾਰ ਜੰਗ	Andre verdenskrig
ਕਲਨ	Köln
ਭ੍ਰਿਸ਼ਟਾਚਾਰ	Korrupsjon
ਘੜੀ	Klokke (ur)
ਉਬੁੰਟੂ (ਆਪਰੇਟਿੰਗ ਸਿਸਟਮ)	Ubuntu (operativsystem)
ਸਕੋਪੀਏ	Skopje
ਹਿਸਾਬ	Matematikk
ਬਹਿਰੀਨ	Bahrain
ਅਰਮੀਨੀਆ	Armenia
ਕੀਲਾਕਾਰ ਲਿਪੀ	Kileskrift
ਹਿਗਜ਼ ਬੋਸੌਨ	Higgs-boson
ਸਰਬੀਆ	Serbia
ਚੰਦਰਮਾ	Månen
ਇਸਤਾਨਬੁਲ	Istanbul
ਆਸਟਰੇਲੀਆ	Australia
ਬਾਬ ਮਾਰਲੇ	Bob Marley
ਭੌਤਿਕ ਵਿਗਿਆਨ	Fysikk
ਅਰਜਨਟੀਨਾ	Argentina
ਪੇਰੂ	Peru
ਜੀਵ ਵਿਗਿਆਨ	Biologi
ਉੱਡਣ ਤਸ਼ਤਰੀ	Uidentifisert flygende objekt
ਉੱਤਰੀ ਕੋਰੀਆ	Nord-Korea
ਕੰਬੋਡੀਆ	Kambodsja
ਪਸ਼ੂ ਅਧਿਕਾਰ	Dyrerettigheter
ਕੁਰਾਨ	Koranen
ਡਾਈਨੋਸੌਰ	Dinosaurer
ਜੰਤੂ ਵਿਗਿਆਨ	Zoologi
ਇਸਲਾਮ	Islam
ਲਿਊਬਲਿਆਨਾ	Ljubljana
ਬਨਸਪਤੀ ਵਿਗਿਆਨ	Botanikk
ਦੇਨੀ ਦਿਦਰੋ	Denis Diderot
ਅਮਨ	Fred
ਇਨਸਾਈਕਲੋਪੀਡੀਆ ਬ੍ਰਿਟੈਨਿਕਾ	Encyclopædia Britannica
ਲਿਓਂ	Lyon
ਯੂਰਪੀ ਸੰਘ	Den europeiske union
ਇੰਟਰਨੈੱਟ ਅਰਕਾਈਵ	Internet Archive
ਰੋਨ-ਆਲਪ	Rhône-Alpes
ਵਰਲਡ ਵਾਈਡ ਵੈੱਬ	World Wide Web
ਔਰਤ	Kvinne
ਸੋਫ਼ੀਆ	Sofia
ਦੌਨ ਕੀਖ਼ੋਤੇ	Don Quijote
ਕਵਿਤਾ	Poesi
ਆਰਥਰ ਰਿੰਬੋ	Arthur Rimbaud
ਨਿੰਬੂ	Sitron
ਸ਼ਾਰਲ ਬੌਦੇਲੈਰ	Charles Baudelaire
ਸਤੇਂਦਾਲ	Stendhal
ਐਮਿਲ ਜ਼ੋਲਾ	Émile Zola
ਮਾਊਂਟ ਐਵਰੈਸਟ	Mount Everest
ਅੰਗ ਵਿਗਿਆਨ	Anatomi
ਸ਼ਹਿਰ	By
ਨਪੋਲੀਅਨ	Napoléon Bonaparte
ਤਾਰਾ	Stjerne
ਸੂਰਜ	Solen
ਪ੍ਰਕਾਸ਼-ਸਾਲ	Lysår
ਪਿੰਡ	Landsby
ਵਿਕਤੋਰ ਊਗੋ	Victor Hugo
ਓਸ਼ੇਨੀਆ	Oseania
ਜੂਜ਼ੈੱਪੇ ਗਾਰੀਬਾਲਦੀ	Giuseppe Garibaldi
ਅਥਲੈਟਿਕਸ	Friidrett
ਸੂਰਜ ਮੰਡਲ	Solsystemet
ਬਾਲਟਿਕ ਸਮੁੰਦਰ	Østersjøen
ਸ਼ਾਂਜ਼-ਏਲੀਜ਼ੇ	Avenue des Champs-Élysées
ਹਾਈਡਰੋਜਨ	Hydrogen
ਹੀਲੀਅਮ	Helium
ਵਿਕੀਮੀਡੀਆ ਕਾਮਨਜ਼	Wikimedia Commons
ਐਂਜਿਲਾ ਮੇਰਕਲ	Angela Merkel
ਲਿਥੀਅਮ	Litium
ਬੇਰਿਲੀਅਮ	Beryllium
ਕਿਤਾਬ	Bok
ਦਿਨ	Dag
ਪੂਰਬੀ ਤਿਮੋਰ	Øst-Timor
ਰਾਤ	Natt
ਸਾਲ	År
ਸਦੀ	Århundre
ਰਾਈਨ ਦਰਿਆ	Rhinen
ਓਸਲੋ	Oslo
ਬੌਨ	Bonn
ਬਲੈਕ ਹੋਲ	Sort hull
ਲਿਸਬਨ	Lisboa
ਰੋਨ ਦਰਿਆ	Rhône
ਦੁਬਈ	Dubai
ਲਿਓਨਲ ਮੈਸੀ	Lionel Messi
ਬੋਰਾਨ	Bor (grunnstoff)
ਕਾਰਬਨ	Karbon
ਵੋਲਗਾ ਦਰਿਆ	Volga
ਨਾਈਟਰੋਜਨ	Nitrogen
ਆਕਸੀਜਨ	Oksygen
ਇੰਟਰ ਮਿਲਣ	Inter
ਗ੍ਰਹਿ	Planet
ਸੰਗੀਤ	Musikk
ਵੈਨਿਸ	Venezia
ਲੀਲ	Lille
ਮਾਸਕੋ	Moskva
ਫ਼ਲੋਰੀਨ	Fluor
ਇਤਾਲਵੀ ਭਾਸ਼ਾ	Italiensk
ਨੀਆਨ	Neon
ਚੀਵਾਵਾ (ਰਾਜ)	Chihuahua (delstat)
ਸੇਂਟ ਪੀਟਰਸਬਰਗ	St. Petersburg
ਚਾਡ	Tsjad
ਸੋਡੀਅਮ	Natrium
ਉੱਤਰ	Nord
ਮੈਗਨੀਸ਼ੀਅਮ	Magnesium
ਐਲਮੀਨੀਅਮ	Aluminium
ਨਿਊਜ਼ੀਲੈਂਡ	New Zealand
ਦੱਖਣ	Sør
ਭਾਰਤ	India
ਸਿਲੀਕਾਨ	Silisium
ਫ਼ਰਾਂਸੀਅਮ	Francium
ਤੁਵਾਲੂ	Tuvalu
ਫ਼ਾਸਫ਼ੋਰਸ	Fosfor
ਲੋਹਾ	Jern
ਟੋਂਗਾ	Tonga
ਪੱਛਮ	Vest
ਗੰਧਕ	Svovel
ਸਮੋਆ	Samoa
ਪੂਰਬ	Øst
ਸੋਲੋਮਨ ਟਾਪੂ	Salomonøyene
ਵਨੁਆਤੂ	Vanuatu
ਮੋਲੀਏਰ	Molière
ਕਲੋਰੀਨ	Klor
ਪਾਪੂਆ ਨਿਊ ਗਿਨੀ	Papua Ny-Guinea
ਵਿਲੀਅਮ ਸ਼ੇਕਸਪੀਅਰ	William Shakespeare
ਪਲਾਊ	Palau
ਆਰਗਾਨ	Argon
ਨਾਉਰੂ	Nauru
ਫ਼ਾਇਰਫ਼ੌਕਸ	Mozilla Firefox
ਪਰੀ ਕਥਾ	Eventyr
ਮਾਈਕ੍ਰੋਨੇਸ਼ੀਆ ਦੇ ਸੰਘੀ ਰਾਜ	Mikronesiaføderasjonen
ਪੋਟਾਸ਼ੀਅਮ	Kalium
ਓਲੰਪੀਕ ਲਿਉਨੇ	Olympique Lyonnais
ਕੈਲਸ਼ੀਅਮ	Kalsium
ਸਿੱਕਾ	Bly
ਮਾਰਸ਼ਲ ਟਾਪੂ	Marshalløyene
ਕਿਰੀਬਾਸ	Kiribati
ਮੰਗੋਲੀਆ	Mongolia
ਫ਼ਿਜੀ	Fiji
ਸਕੈਂਡੀਅਮ	Scandium
ਟਾਈਟੇਨੀਅਮ	Titan (grunnstoff)
ਵੈਨੇਜ਼ੁਐਲਾ	Venezuela
ਸ਼ਤਰੰਜ	Sjakk
ਚੰਗੇਜ਼ ਖ਼ਾਨ	Djengis Khan
ਵੈਨੇਡੀਅਮ	Vanadium
ਮੇਨ	Maine
ਕਰੋਮੀਅਮ	Krom
ਘੋੜਾ	Hest
ਅਮਸਤੱਰਦਮ	Amsterdam
ਹਥਿਆਰ	Våpen
ਜੰਤੂ	Dyr
ਸੂਰੀਨਾਮ	Surinam
ਮੈਂਗਨੀਜ਼	Mangan
ਪੈਰਾਗੁਏ	Paraguay
ਗੁਇਆਨਾ	Guyana
ਕਲਾ	Kunst
ਏਕੁਆਦੋਰ	Ecuador
ਰੀਨੀਅਮ	Rhenium
ਕੋਲੰਬੀਆ	Colombia
ਕੋਬਾਲਟ	Kobolt
ਟੰਗਸਟਨ	Wolfram
ਨਿਕਲ	Nikkel
ਬੁੱਧ ਧਰਮ	Buddhisme
ਬੋਲੀਵੀਆ	Bolivia
ਓਸਮੀਅਮ	Osmium
ਤਾਂਬਾ	Kobber
ਤ੍ਰਿਨੀਦਾਦ ਅਤੇ ਤੋਬਾਗੋ	Trinidad og Tobago
ਬੂਟਾ	Planter
ਸੇਂਟ ਵਿਨਸੈਂਟ ਅਤੇ ਗ੍ਰੇਨਾਡੀਨਜ਼	Saint Vincent og Grenadinene
ਜਿਸਤ	Sink
ਨਿਊ ਹੈਂਪਸ਼ਰ	New Hampshire
ਸੇਂਟ ਲੂਸੀਆ	Saint Lucia
ਲਿਓਨਾਰਦੋ ਦਾ ਵਿੰਚੀ	Leonardo da Vinci
ਸੇਂਟ ਕਿਟਸ ਅਤੇ ਨੇਵਿਸ	Saint Kitts og Nevis
ਉੱਲੀ	Sopper
ਦਾਰੀਓ ਫ਼ੋ	Dario Fo
ਜਮੈਕਾ	Jamaica
ਗ੍ਰੇਨਾਡਾ	Grenada
ਮੈਸਾਚੂਸਟਸ	Massachusetts
ਗੁਆਤੇਮਾਲਾ	Guatemala
ਬਹਾਮਾਸ	Bahamas
ਕਨੈਟੀਕਟ	Connecticut
ਐਂਟੀਗੁਆ ਅਤੇ ਬਰਬੂਡਾ	Antigua og Barbuda
ਹਵਾਈ	Hawaii
ਹਾਂਡੂਰਾਸ	Honduras
ਡੋਮਿਨਿਕਾ	Dominica
ਜਰਸੀ	Jersey
ਡੋਮਿਨਿਕਾਈ ਗਣਰਾਜ	Den dominikanske republikk
ਆਰਕਟਿਕ ਮਹਾਂਸਾਗਰ	Nordishavet
ਹੈਤੀ	Haiti
ਸਾਲਵਾਦੋਰ	El Salvador
ਇਰਾਨ	Iran
ਇਰਾਕ	Irak
ਅਲਾਸਕਾ	Alaska
ਸਿਆਣਪ	Visdom
ਕੋਸਤਾ ਰੀਕਾ	Costa Rica
ਇਜ਼ਰਾਇਲ	Israel
ਪਨਾਮਾ	Panama
ਯਮਨ	Jemen
ਵਿਸ਼ਾਣੂ	Virus
ਪੋਲਿਸ਼ ਭਾਸ਼ਾ	Polsk
ਜਾਰਡਨ	Jordan
ਨਿਕਾਰਾਗੁਆ	Nicaragua
ਫ਼ਲੌਰਿਡਾ	Florida
ਕਿਰਗਿਜ਼ਸਤਾਨ	Kirgisistan
ਐਰੀਜ਼ੋਨਾ	Arizona
ਕੁਵੈਤ	Kuwait
ਲਾਉਸ	Laos
ਲਿਬਨਾਨ	Libanon
ਔਰੇਗਨ	Oregon
ਮਾਲਦੀਵ	Maldivene
ਅਮਰੀਕਾ (ਮਹਾਂ-ਮਹਾਂਦੀਪ)	Amerika
ਯੂਟਾ	Utah
ਮਲੇਸ਼ੀਆ	Malaysia
ਮਿਖਾਇਲ ਬੁਲਗਾਕੋਵ	Mikhail Bulgakov
ਮਿਆਂਮਾਰ	Myanmar
ਨੇਪਾਲ	Nepal
ਉਮਾਨ	Oman
ਪਾਕਿਸਤਾਨ	Pakistan
ਕਤਰ	Qatar
ਗੇਂਦ-ਛਿੱਕਾ	Tennis
ਸਾਊਦੀ ਅਰਬ	Saudi-Arabia
ਸ੍ਰੀਲੰਕਾ	Sri Lanka
ਜੋਸਿਫ਼ ਸਟਾਲਿਨ	Josef Stalin
ਸੀਰੀਆ	Syria
ਅਫਲਾਤੂਨ	Platon
ਗੈਲੀਅਮ	Gallium
ਤਾਜਿਕਸਤਾਨ	Tadsjikistan
ਤਾਇਵਾਨ	Republikken Kina
ਯੂਟਿਊਬ	YouTube
ਜਰਮੇਨੀਅਮ	Germanium
ਅਰਸਤੂ	Aristoteles
ਥਾਈਲੈਂਡ	Thailand
ਸੰਖੀਆ	Arsen
ਮੇਰਿਲ ਸਟਰੀਪ	Meryl Streep
ਤੁਰਕਮੇਨਸਤਾਨ	Turkmenistan
ਅਬਾਕਾਨ	Abakan
ਸਿਲੀਨੀਅਮ	Selen
ਇਰੀਡੀਅਮ	Iridium
ਸੰਯੁਕਤ ਅਰਬ ਇਮਰਾਤ	De forente arabiske emirater
ਬ੍ਰੋਮੀਨ	Brom
ਪਲੈਟੀਨਮ	Platina
ਵੀਅਤਨਾਮ	Vietnam
ਚਾਰਲੀ ਚੈਪਲਿਨ	Charlie Chaplin
ਦੱਖਣੀ ਕੋਰੀਆ	Sør-Korea
ਕ੍ਰਿਪਟਾਨ	Krypton
ਅਫਗਾਨਿਸਤਾਨ	Afghanistan
ਗੰਗਨਮ ਸਟਾਈਲ	Gangnam Style
ਰੁਬੀਡੀਅਮ	Rubidium
ਸੋਨਾ	Gull
ਸੁਏਸ ਨਹਿਰ	Suezkanalen
ਵਿਗਿਆਨੀ	Naturviter
ਬੰਗਲਾਦੇਸ਼	Bangladesh
ਫ਼ਰੈਂਜ਼ ਕਾਫ਼ਕਾ	Franz Kafka
ਹੋਰਹੇ ਲੂਈਸ ਬੋਰਗੇਸ	Jorge Luis Borges
ਮਾਲੀ	Mali
ਸੁਕਰਾਤ	Sokrates
ਵੋਲਗਾਗਰਾਡ	Volgograd
ਅੰਗੋਲਾ	Angola
ਭੂਟਾਨ	Bhutan
ਟਵਿਟਰ	Twitter
ਬਰੂਨਾਈ	Brunei
ਤਨਜ਼ਾਨੀਆ	Tanzania
ਪਾਰਾ	Kvikksølv
ਫਿਲੀਪੀਨਜ਼	Filippinene
ਮੱਧ ਅਫਰੀਕੀ ਗਣਰਾਜ	Den sentralafrikanske republikk
ਥੈਲੀਅਮ	Thallium
ਆਇਜ਼ਕ ਨਿਊਟਨ	Isaac Newton
ਅਲਬਰਟ ਆਈਨਸਟਾਈਨ	Albert Einstein
ਸਟਰੌਂਸ਼ਮ	Strontium
ਬਿਸਮਥ	Vismut
ਪੀਲ਼ਾ (ਰੰਗ)	Gul
ਮਿਕਦਾਰ ਮਕੈਨਕੀ	Kvantemekanikk
ਟੋਗੋ	Togo
ਤੁਨੀਸੀਆ	Tunisia
ਜ਼ਾਂਬੀਆ	Zambia
ਜ਼ਿੰਬਾਬਵੇ	Zimbabwe
ਬੀਜਿੰਗ	Beijing
ਦੱਖਣੀ ਸੁਡਾਨ	Sør-Sudan
ਬੇਨਿਨ	Benin
ਬੋਤਸਵਾਨਾ	Botswana
ਬੁਰਕੀਨਾ ਫ਼ਾਸੋ	Burkina Faso
ਬੁਰੂੰਡੀ	Burundi
ਕਾਮਾਰੋਸ	Komorene
ਕਾਂਗੋ ਗਣਰਾਜ	Republikken Kongo
ਓਬ ਦਰਿਆ	Ob
ਕਾਂਗੋ ਲੋਕਤੰਤਰੀ ਗਣਰਾਜ	Den demokratiske republikken Kongo
ਸਾਨ ਆਂਤੋਨੀਓ	San Antonio
ਜਿਬੂਤੀ	Djibouti
ਮੀਮ	Mem
ਪੋਲੋਨੀਅਮ	Polonium
ਬਾਈਆਨ	Bayern
ਭੂ-ਮੱਧ ਰੇਖਾਈ ਗਿਨੀ	Ekvatorial-Guinea
ਬਾਡਨ-ਵਰਟਮਬਰਕ	Baden-Württemberg
ਇਰੀਤਰੀਆ	Eritrea
ਨਵੀਂ ਦਿੱਲੀ	New Delhi
ਫ਼ਿਓਦਰ ਦਾਸਤੋਵਸਕੀ	Fjodor Dostojevskij
ਤਬੀਲਿਸੀ	Tbilisi
ਐਸਟਾਟੀਨ	Astat
ਗਬਾਨ	Gabon
ਮੋਹਨਦਾਸ ਕਰਮਚੰਦ ਗਾਂਧੀ	Mahatma Gandhi
ਕੌਮਿਕਸ	Tegneserie
ਗਾਂਬੀਆ	Gambia
ਗਿਨੀ	Guinea
ਗਿਨੀ-ਬਿਸਾਊ	Guinea-Bissau
ਦੰਦ ਖੰਡ ਤਟ	Elfenbenskysten
ਕੈਮਰੂਨ	Kamerun
ਕੇਪ ਵਰਦੇ	Kapp Verde
ਲਿਸੋਥੋ	Lesotho
ਲਾਈਬੇਰੀਆ	Liberia
ਲੀਬੀਆ	Libya
ਮਾਦਾਗਾਸਕਰ	Madagaskar
ਮਲਾਵੀ	Malawi
ਸ਼ਟੁੱਟਗਾਟ	Stuttgart
ਮੌਰੀਤਾਨੀਆ	Mauritania
ਮਾਰੀਸ਼ਸ	Mauritius
ਮੋਰਾਕੋ	Marokko
ਮੋਜ਼ੈਂਬੀਕ	Mosambik
ਨਮੀਬੀਆ	Namibia
ਨਾਈਜਰ	Niger
ਨਾਈਜੀਰੀਆ	Nigeria
ਚਾਰਲਸ ਡਾਰਵਿਨ	Charles Darwin
ਯੁਗਾਂਡਾ	Uganda
ਰਵਾਂਡਾ	Rwanda
ਜ਼ਰਕੋਨੀਅਮ	Zirkonium
