აფრიკა	Afrika
მხედარი (ჭადრაკი)	Springer (sjakk)
ეტლი (ჭადრაკი)	Tårn (sjakk)
მეფე (ჭადრაკი)	Konge (sjakk)
ლაზიერი	Dronning (sjakk)
ლომი	Løve
საფრანგეთი	Frankrike
ესპერანტო	Esperanto
ძაღლი	Tamhund
გაერთიანებული სამეფო	Storbritannia
შინაური კატა	Tamkatt
ჩინეთი	Folkerepublikken Kina
ფრანგული ენა	Fransk
ვიქსიკონი	Wiktionary
თევზები	Fisk
ეთანოლამიდი	Etanol
ალკოჰოლური სასმელი	Alkoholholdig drikke
ბრაზილია	Brasil
სპირტი	Alkoholer
ფრანსუა ოლანდი	François Hollande
რუსეთი	Russland
ვეშაპისნაირნი	Hvaler
ოპტიკური ბოჭკო	Fiberoptikk
იორკშირი	Yorkshire
კვადრატი	Kvadrat
ზღვა	Hav
შავი ზღვა	Svartehavet
პი (რიცხვი)	Pi
პი (ასო)	Pi (bokstav)
Wiki	Wiki
ტორონტო	Toronto
ალაბამა	Alabama
სან-პაულუ	São Paulo
სან-პაულუს შტატი	São Paulo (delstat)
კვებეკი	Québec
პიცა	Pizza
ფონდი ვიკიმედია	Wikimedia Foundation
ჯიმი უელსი	Jimmy Wales
გერმანია	Tyskland
ბელარუსი	Hviterussland
იტალიის ჰიმნი	Fratelli d'Italia
გერმანული ენა	Tysk
ისლანდია	Island
ღმერთი	Gud
ესტონეთი	Estland
დეივიდ კამერონი	David Cameron
სატურნი	Saturn
შოკოლადი	Sjokolade
თვითმფრინავი	Fly
ომი	Krig
ერთი	1 (tall)
ორი	2 (tall)
სამი	3 (tall)
ოთხი	4 (tall)
ხუთი	5 (tall)
ნული	Null
უსასრულობა	Uendelig
სტივენ ჰარპერი	Stephen Harper
ჯორჯ უოლკერ ბუში	George W. Bush
მართკუთხედი	Rektangel
ლატვია	Latvia
უკრაინა	Ukraina
ჩეხეთი	Tsjekkia
სლოვაკეთი	Slovakia
სლოვენია	Slovenia
ვილნიუსი	Vilnius
მოლდოვა	Moldova
რუმინეთი	Romania
ბულგარეთი	Bulgaria
რომი	Roma
მაკედონია	Republikken Makedonia
ალბანეთი	Albania
გრენლანდია	Grønland
ხორვატია	Kroatia
ბოსნია და ჰერცეგოვინა	Bosnia-Hercegovina
ნუუკი	Nuuk
აზერბაიჯანი	Aserbajdsjan
ანდორა	Andorra
კვიპროსი	Republikken Kypros
საქართველო	Georgia
ვალონია	Vallonia
ყაზახეთი	Kasakhstan
მალტა	Malta
ფლანდრია (ისტორიული ოლქი)	Flandern
მონაკო	Monaco
ჩერნოგორია	Montenegro
ვატიკანი	Vatikanstaten
სან-მარინო	San Marino
ბრიუსელი (რეგიონი)	Brussel
კუბა	Cuba
ბელიზი	Belize
ეიფელის კოშკი	Eiffeltårnet
ბარბადოსი	Barbados
Intel	Intel
კომპიუტერის კლავიატურა	Tastatur
ჯავა (პროგრამირების ენა)	Java (programmeringsspråk)
ინდონეზია	Indonesia
ვოლფგანგ ამადეუს მოცარტი	Wolfgang Amadeus Mozart
ლუდვიგ ვან ბეთჰოვენი	Ludwig van Beethoven
თურქული ენა	Tyrkisk
სამხრეთ აფრიკის რესპუბლიკა	Sør-Afrika
ჟან-ფრანსუა შამპოლიონი	Jean-François Champollion
ლინკინ პარკი	Linkin Park
ალჟირი	Algerie
ვიკიწყარო	Wikikilden
უზბეკეთი	Usbekistan
დროზერა	Soldoggslekta
პოზნანი	Poznań
ტაშკენტი	Tasjkent
ვარშავა	Warszawa
ევროვიზიის სიმღერის კონკურსი	Eurovision Song Contest
მოდენა	Modena
შოტლანდიური ვისკი	Whisky
ღვინო	Vin
წყალი	Vann
კონიაკი	Konjakk
მერქანი	Treverk
ტური (საფრანგეთი)	Tours
ტელევიზია	Fjernsyn
სქესი	Kjønn
პორნოგრაფია	Pornografi
ისლანდიური ენა	Islandsk
კლოდ მონე	Claude Monet
დიეგო ველასკესი	Diego Velázquez
ჩილე	Chile
ელ გრეკო	El Greco
იესო ქრისტე	Jesus Kristus
ელვის პრესლი	Elvis Presley
სებასტიან პინიერა	Sebastián Piñera
გალილეო გალილეი	Galileo Galilei
მერკური	Merkur
ისტორია	Historie
პერ-ლაშეზის სასაფლაო	Père Lachaise
Apple	Apple
ვენერა	Venus
ენა	Språk
სიყვარული	Kjærlighet
დიქტატურა	Diktatur
გალაქტიკა	Galakse
იუპიტერი	Jupiter
მიშელ ბაჩელეტი	Michelle Bachelet
ირმის ნახტომი	Melkeveien
დიდი აფეთქების თეორია	Big Bang
ურანი	Uranus
ედუარდო ფრეი რუის-ტაგლე	Eduardo Frei Ruiz-Tagle
ბრეტანი (ისტორიული მხარე)	Bretagne (historisk region)
ინგლისური ვიკიპედია	Wikipedia på engelsk
ნიკოლა სარკოზი	Nicolas Sarkozy
მარინიანოს ბრძოლა	Slaget ved Marignano
რიკარდო ლაგოსი	Ricardo Lagos
ნეპტუნი	Neptun (planet)
ასტრონომია	Astronomi
სინგაპური	Singapore
პატრისიო ეილვინი	Patricio Aylwin
მეცნიერება	Vitenskap
კოსმოლოგია	Kosmologi
პლუტონი	Pluto
მონრეალი	Montréal
კემპერი	Quimper
მარიამ ღვთისმშობელი	Jomfru Maria
ლუი IX	Ludvig IX av Frankrike
ლიხტენშტაინი	Liechtenstein
სპორტი	Sport
კემბრიჯი	Cambridge
იელოუსტოუნის ეროვნული პარკი	Yellowstone nasjonalpark
ადოლფ ჰიტლერი	Adolf Hitler
Facebook	Facebook
WikiLeaks	WikiLeaks
ჯულიან ასანჟი	Julian Assange
პირველი მსოფლიო ომი	Første verdenskrig
მეორე მსოფლიო ომი	Andre verdenskrig
კელნი	Köln
კორუფცია	Korrupsjon
ვიკიწიგნები	Wikibøker
აუგუსტო პინოჩეტი	Augusto Pinochet
ვიკიციტატა	Wikiquote
ვიკივერსიტეტი	Wikiversity
Wikivoyage	Wikivoyage
არაყი	Vodka
საათი	Klokke (ur)
Ubuntu	Ubuntu (operativsystem)
სკოპიე	Skopje
გდინია	Gdynia
ბობ დილანი	Bob Dylan
შჩეცინი	Szczecin
მეტროლოგია	Metrologi
მათემატიკა	Matematikk
U2	U2
ლათინური ენა	Latin
ბაჰრეინი	Bahrain
სომხეთი	Armenia
სოლისებრი დამწერლობა	Kileskrift
ჰიგსის ბოზონი	Higgs-boson
სერბეთი	Serbia
მთვარე	Månen
სტამბოლი	Istanbul
ავსტრალია	Australia
ბობ მარლი	Bob Marley
კარლ სეიგანი	Carl Sagan
ფიზიკა	Fysikk
არგენტინა	Argentina
ტელეკომუნიკაცია	Telekommunikasjon
პერუ	Peru
ბიოლოგია	Biologi
ამოუცნობი მფრინავი ობიექტი	Uidentifisert flygende objekt
კორეის სახალხო დემოკრატიული რესპუბლიკა	Nord-Korea
კამბოჯა	Kambodsja
კოიპერის სარტყელი	Kuiperbeltet
ყურანი	Koranen
დინოზავრები	Dinosaurer
ზოოლოგია	Zoologi
ისლამი	Islam
ალექსანდრიის ბიბლიოთეკა	Biblioteket i Alexandria
ლიუბლიანა	Ljubljana
სალვადორ ალიენდე	Salvador Allende
ბოტანიკა	Botanikk
ბუნების ისტორია (პლინიუსი)	Naturalis Historia
ლეხ ვალენსა	Lech Wałęsa
ბორბალი	Hjul
დენი დიდრო	Denis Diderot
მშვიდობა	Fred
ენციკლოპედია ბრიტანიკა	Encyclopædia Britannica
ლიონი	Lyon
ევროპის კავშირი	Den europeiske union
პლოვდივი	Plovdiv
ვარსკვლავური ომები	Star Wars
რონა-ალპები	Rhône-Alpes
ქალი	Kvinne
სოფია	Sofia
აკვედუკი	Akvedukt
ედუარდო ფრეი მონტალვა	Eduardo Frei Montalva
დონ კიხოტი	Don Quijote
პოეზია	Poesi
ჩერნობილის კატასტროფა	Tsjernobyl-ulykken
ღიმილი	Smil
ჰიროსიმისა და ნაგასაკის ატომური დაბომბვა	Atombombene over Hiroshima og Nagasaki
მილანი	Milano
მეგობრობა	Vennskap
მეხსიერება	Hukommelse
ჟან ნიკოლა არტიურ რემბო	Arthur Rimbaud
ტურინი	Torino
ყითა ნაწლავი	Anus
ლიმონი	Sitron
შარლ ბოდლერი	Charles Baudelaire
სტენდალი	Stendhal
ემილ ზოლა	Émile Zola
666	666
ყვავილი	Blomst
მარიანას ღარი	Marianergropen
ვლადიმერ ვისოცკი	Vladimir Vysotskij
ევერესტი	Mount Everest
ანატომია	Anatomi
დიდი ქალაქი	By
ნაპოლეონ ბონაპარტი	Napoléon Bonaparte
ოლიმპი (მარსი)	Olympus Mons
ფიზიოლოგია	Fysiologi
ვარსკვლავი	Stjerne
ვეზუვი	Vesuv
მზე	Solen
ლუი პასტერი	Louis Pasteur
სინათლის წელიწადი	Lysår
სოფელი	Landsby
ვიქტორ ჰიუგო	Victor Hugo
ოკეანეთი	Oseania
ჯუზეპე გარიბალდი	Giuseppe Garibaldi
ცენზურა	Sensur (informasjon)
მზის სისტემა	Solsystemet
ბალტიის ზღვა	Østersjøen
ტრიესტი	Trieste
ვისლა	Wisła
ბრძოლია თევზი	Siamesisk kampfisk
შანზ-ელიზე	Avenue des Champs-Élysées
ოდრა	Oder
წყალბადი	Hydrogen
ჰელიუმი	Helium
ჯოჯოხეთი	Helvete
ვიკისაწყობი	Wikimedia Commons
ანგელა მერკელი	Angela Merkel
ლითიუმი	Litium
ბერილიუმი	Beryllium
წიგნი	Bok
დღე-ღამე	Dag
აღმოსავლეთი ტიმორი	Øst-Timor
წელი	År
საუკუნე	Århundre
ლოძი	Łódź
ვილერბანი	Villeurbanne
მონბლანი	Mont Blanc
რაინი	Rhinen
ოსლო	Oslo
ბონი	Bonn
კატოვიცე	Katowice
შავი ხვრელი	Sort hull
ლუიშ დი კამოენსი	Luís de Camões
ხელშეუხებელნი (2011 წლის ფილმი)	De urørlige
ცერერა	Ceres (dvergplanet)
ლისაბონი	Lisboa
ჰაუმეა	Haumea
რონა	Rhône
მაკემაკე	Makemake
მაიკლ ბლუმბერგი	Michael Bloomberg
ერისი	Eris (dvergplanet)
დუბაი	Dubai (by)
დუბაის საამირო	Dubai
ლიონელ მესი	Lionel Messi
პადუა	Padova
ბორი	Bor (grunnstoff)
ნიკოლოზ კოპერნიკი	Nikolaus Kopernikus
ნახშირბადი	Karbon
ალესანდრო დელ პიერო	Alessandro Del Piero
ვოლგა	Volga
აზოტი	Nitrogen
ბერგამო	Bergamo
ჟანგბადი	Oksygen
ინტერი მილანი (საფეხბურთო კლუბი)	Inter
ნილ იანგი	Neil Young
პლანეტა	Planet
კლეოპატრა VII	Kleopatra VII av Egypt
კეიტ ბუში	Kate Bush
მუსიკა	Musikk
ვენეცია	Venezia
ნარუტო	Naruto
პო (მდინარე)	Po
შარმ-ელ-შეიხი	Sharm el-Sheikh
ნევა	Neva
რენი	Rennes
ლილი	Lille
მოსკოვი	Moskva
ფთორი	Fluor
იტალიური ენა	Italiensk
ჩიუაუა (ძაღლი)	Chihuahua (hund)
ნეონი	Neon
ჩიუაუის შტატი	Chihuahua (delstat)
სანქტ-პეტერბურგი	St. Petersburg
ჩადი	Tsjad
ნატრიუმი	Natrium
ჩრდილოეთი	Nord
მაგნიუმი	Magnesium
ალუმინი	Aluminium
ახალი ზელანდია	New Zealand
სამხრეთი	Sør
ინდოეთი	India
სილიციუმი	Silisium
ფრანციუმი	Francium
ტუვალუ	Tuvalu
ფოსფორი	Fosfor
ანდრე მარი ამპერი	André-Marie Ampère
პროზა	Prosa
რკინა	Jern
ტონგა	Tonga
დასავლეთი	Vest
ალესანდრო ვოლტა	Alessandro Volta
გოგირდი	Svovel
სამოა	Samoa
აღმოსავლეთი	Øst
სოლომონის კუნძულები	Salomonøyene
ვანუატუ	Vanuatu
მოლიერი	Molière
ქლორი	Klor
პაპუა-ახალი გვინეა	Papua Ny-Guinea
უილიამ შექსპირი	William Shakespeare
სამხრეთი ჰოლანდია	Zuid-Holland
პალაუ	Palau
არგონი	Argon
ნაურუ	Nauru
Mozilla Firefox	Mozilla Firefox
ზღაპარი	Eventyr
ჩრდილოეთი ჰოლანდია	Noord-Holland
მიკრონეზიის ფედერაციული შტატები	Mikronesiaføderasjonen
კალიუმი	Kalium
ოლიმპიკ ლიონი (საფეხბურთო კლუბი)	Olympique Lyonnais
ზელანდიის პროვინცია	Zeeland
კალციუმი	Kalsium
ფლევოლანდი	Flevoland
ტყვია	Bly
მარშალის კუნძულები	Marshalløyene
კირიბატი	Kiribati
მონღოლეთი	Mongolia
ფიჯი	Fiji
სკანდიუმი	Scandium
სტივი უანდერი	Stevie Wonder
ჰაილბრონი	Heilbronn
ტიტანი	Titan (grunnstoff)
ვენესუელა	Venezuela
ჭადრაკი	Sjakk
ჩინგიზ-ყაენი	Djengis Khan
ვანადიუმი	Vanadium
მენის შტატი	Maine
ქრომი	Krom
ცხენი	Hest
ამსტერდამი	Amsterdam
იარაღი (სამხედრო)	Våpen
ცხოველები	Dyr
სურინამი	Surinam
მანგანუმი	Mangan
პარაგვაი	Paraguay
გაიანა	Guyana
ხელოვნება	Kunst
ეკვადორი	Ecuador
რენიუმი	Rhenium
კოლუმბია	Colombia
კობალტი	Kobolt
ვოლფრამი	Wolfram
ნიკელი	Nikkel
მარწყვი	Jordbærslekta
პიერ კორნელი	Pierre Corneille
ბუდიზმი	Buddhisme
გრონინგენი	Groningen (by)
ბოლივია	Bolivia
ოსმიუმი	Osmium
გრონინგენის პროვინცია	Groningen (provins)
სპილენძი	Kobber
ტრინიდადი და ტობაგო	Trinidad og Tobago
პოლ ვერლენი	Paul Verlaine
მცენარეები	Planter
სენტ-ვინსენტი და გრენადინები	Saint Vincent og Grenadinene
თუთია	Sink
ნიუ-ჰემფშირი	New Hampshire
სენტ-ლუსია	Saint Lucia
ბელოსტოკი	Białystok
ლეონარდო და ვინჩი	Leonardo da Vinci
სენტ-კიტსი და ნევისი	Saint Kitts og Nevis
სოკოები	Sopper
იამაიკა	Jamaica
სტეფან მალარმე	Stéphane Mallarmé
გრენადა	Grenada
ფრისლანდია	Friesland (Nederland)
მასაჩუსეტსი	Massachusetts
დრენთე	Drenthe
ოვერეისელი	Overijssel
გვატემალა	Guatemala
გელდერლანდი	Gelderland
უტრეხტის პროვინცია	Utrecht (provins)
Google Chrome	Google Chrome
ბაჰამის კუნძულები	Bahamas
კონექტიკუტი	Connecticut
ქათამი	Tamhøns
ანტიგუა და ბარბუდა	Antigua og Barbuda
ჰავაის შტატი	Hawaii
ჰონდურასი	Honduras
დომინიკა	Dominica
ჯერზი	Jersey
დომინიკელთა რესპუბლიკა	Den dominikanske republikk
ღორი	Gris
ჩრდილოეთის ყინულოვანი ოკეანე	Nordishavet
ჰაიტი	Haiti
ტაუმატაუაკატანგიანგაკოაუაუოტამატეატურიპუკაკაპიკიმაუნგაჰორონუკუპოკანუენუაკიტანატაჰუ	Taumatawhakatangihangakoauauotamateaturipukakapikimaungahoronukupokaiwhenuakitanatahu
სალვადორი	El Salvador
ზვოლე	Zwolle
ირანი	Iran
ერაყი	Irak
ალასკა	Alaska
კოსტა-რიკა	Costa Rica
ისრაელი	Israel
ნოვი-სონჩი	Nowy Sącz
უტრეხტი	Utrecht (by)
პანამა	Panama
იემენი	Jemen
ლოზანა	Lausanne
ვირუსები	Virus
პოლონური ენა	Polsk
იორდანია	Jordan
ნიკარაგუა	Nicaragua
ფლორიდა	Florida
ყირგიზეთი	Kirgisistan
გაბრიელ გონსალეს ვიდელა	Gabriel González Videla
არიზონა	Arizona
ქუვეითი	Kuwait
ფლორიდის პროვინცია	Provinsen Florida
ლაოსი	Laos
სერკადოს პროვინცია (ბენი)	Provinsen Cercado (Beni)
ლიბანი	Libanon
იტენესის პროვინცია	Provinsen Iténez
ორეგონი	Oregon
მალდივის რესპუბლიკა	Maldivene
ხოსე-ბალივიანის პროვინცია	Provinsen José Ballivián
ამერიკა	Amerika
იუტა	Utah
მამორეს პროვინცია	Provinsen Mamoré
მალაიზია	Malaysia
ვალეს კანტონი	Wallis
მიხეილ ბულგაკოვი	Mikhail Bulgakov
მიანმარი	Myanmar
ნეპალი	Nepal
ანდრია რუბლიოვი	Andrej Rubljov
მარბანის პროვინცია	Provinsen Marbán
ომანი	Oman
პაკისტანი	Pakistan
კატარი	Qatar
ჩოგბურთი	Tennis
ფრანსუა ვიიონი	François Villon
საუდის არაბეთი	Saudi-Arabia
ანდრეი ტარკოვსკი	Andrej Tarkovskij
შრი-ლანკა	Sri Lanka
იოსებ სტალინი	Josef Stalin
სირია	Syria
პლატონი	Platon
გალიუმი	Gallium
ტაჯიკეთი	Tadsjikistan
ტაივანი	Republikken Kina
YouTube	YouTube
გერმანიუმი	Germanium
არისტოტელე	Aristoteles
ტაილანდი	Thailand
დარიშხანი	Arsen
რადიო	Radio
მერილ სტრიპი	Meryl Streep
თურქმენეთი	Turkmenistan
სელენიუმი	Selen
ირიდიუმი	Iridium
არაბთა გაერთიანებული საამიროები	De forente arabiske emirater
ბრომი	Brom
პლატინა	Platina
ვიეტნამი	Vietnam
ჩარლზ ჩაპლინი	Charlie Chaplin
ნოვოსიბირსკი	Novosibirsk
სამხრეთი კორეა	Sør-Korea
იუზეფ პილსუდსკი	Józef Piłsudski
სიმპსონები	Simpsons
ეკატერინბურგი	Jekaterinburg
კრიპტონი	Krypton
ავღანეთი	Afghanistan
Gangnam Style	Gangnam Style
ნიჟნი-ნოვგოროდი	Nizjnij Novgorod
ჯონ რონალდ რუელ ტოლკინი	J. R. R. Tolkien
სამარა (რუსეთი)	Samara
რუბიდიუმი	Rubidium
ოქრო	Gull
ომსკი	Omsk
სუეცის არხი	Suezkanalen
ყაზანი	Kazan
ბანგლადეში	Bangladesh
ფრანც კაფკა	Franz Kafka
ჩელიაბინსკი	Tsjeljabinsk
დონის როსტოვი	Rostov-na-Donu
ხორხე ლუის ბორხესი	Jorge Luis Borges
უფა	Ufa (by)
მალი	Mali
სოკრატე	Sokrates
ვოლგოგრადი	Volgograd
ანგოლა	Angola
პერმი	Perm (by)
ბჰუტანი	Bhutan
Twitter	Twitter
კრასნოიარსკი	Krasnojarsk
ბრუნეი	Brunei
ტანზანია	Tanzania
ვერცხლისწყალი	Kvikksølv
რუალ ამუნდსენი	Roald Amundsen
ფილიპინები	Filippinene
ცენტრალური აფრიკის რესპუბლიკა	Den sentralafrikanske republikk
უძუმაკი ნარუტო	Naruto Uzumaki
თალიუმი	Thallium
სამხრეთი პოლუსი	Sydpolen
ჩრდილოეთი პოლუსი	Nordpolen
ისააკ ნიუტონი	Isaac Newton
ალბერტ აინშტაინი	Albert Einstein
სტრონციუმი	Strontium
პედრუ I (ბრაზილია)	Pedro I av Brasil
იტრიუმი	Yttrium
ბისმუტი	Vismut
ყვითელი	Gul
კვანტური მექანიკა	Kvantemekanikk
ტოგო	Togo
დონალდ ტუსკი	Donald Tusk
ტუნისი	Tunisia
ჯონ ბარდინი	John Bardeen
ზამბია	Zambia
ზიმბაბვე	Zimbabwe
პეკინი	Beijing
სამხრეთი სუდანი	Sør-Sudan
ვლადივოსტოკი	Vladivostok
ტუვა	Tuva (republikk)
ბენინი	Benin
ბოტსვანა	Botswana
ვიკისიახლეები	Wikinytt
ბურკინა-ფასო	Burkina Faso
ბურუნდი	Burundi
კომორის კუნძულების კავშირი	Komorene
კონგოს რესპუბლიკა	Republikken Kongo
ობი	Ob
კონგოს დემოკრატიული რესპუბლიკა	Den demokratiske republikken Kongo
სან-ანტონიო	San Antonio
ჯიბუტი	Djibouti
პოლონიუმი	Polonium
ბავარია	Bayern
ეკვატორული გვინეა	Ekvatorial-Guinea
ბადენ-ვიურტემბერგი	Baden-Württemberg
ერიტრეა	Eritrea
ნიუ-დელი	New Delhi
იოანე პავლე II	Johannes Paul II
თედორე დოსტოევსკი	Fjodor Dostojevskij
ამერსფორტი	Amersfoort
კამჩატკის ნახევარკუნძული	Kamtsjatkahalvøya
თბილისი	Tbilisi
ანდრია სახაროვი	Andrej Sakharov
ასტატი	Astat
გაბონი	Gabon
მაჰათმა განდი	Mahatma Gandhi
ჩუკოტკის ნახევარკუნძული	Tsjuktsjerhalvøya
სოლიდარობა (პოლონური პროფკავშირი)	Solidaritet (fagforbund)
კომიქსი	Tegneserie
გამბია	Gambia
გვინეა	Guinea
გვინეა-ბისაუ	Guinea-Bissau
კოტ-დ’ივუარი	Elfenbenskysten
კამერუნი	Kamerun
მარიბორი	Maribor
კაბო-ვერდე	Kapp Verde
ცელიე	Celje
ლესოთო	Lesotho
ლიბერია	Liberia
კოპერი	Koper
ლიბია	Libya
აახენი	Aachen
მადაგასკარი	Madagaskar
მალავი	Malawi
კრანი	Kranj
შტუტგარტი	Stuttgart
ტრიგლავი	Triglav
მავრიტანია	Mauritania
პოლონელები	Polakker
მავრიკი	Mauritius
მაროკო	Marokko
მოზამბიკი	Mosambik
ნამიბია	Namibia
ნიგერი	Niger
ნიგერია	Nigeria
ბილი (ქალაქი)	Biel/Bienne
ჩარლზ დარვინი	Charles Darwin
უგანდა	Uganda
რუანდა	Rwanda
ცირკონიუმი	Zirkonium
სან-ტომე და პრინსიპი	São Tomé og Príncipe
კარლსრუე	Karlsruhe
სენეგალი	Senegal
სეიშელის კუნძულები	Seychellene
კარლ ლინე	Carl von Linné
სიერა-ლეონე	Sierra Leone
სომალი	Somalia
ნიობიუმი	Niob
ჯავაჰარლალ ნერუ	Jawaharlal Nehru
იულიუს კეისარი	Julius Cæsar
სუდანი	Sudan
სვაზილენდი	Swaziland
ცისარტყელა	Regnbue
მოლიბდენი	Molybden
ტექნეციუმი	Technetium
ჰამბურგი	Hamburg
მეტაბოლიზმი	Stoffskifte
ნარენდრა მოდი	Narendra Modi
იმუნური სისტემა	Immunforsvar
გუჯარათი	Gujarat
ონტარიოს ტბა	Ontariosjøen
ევოლუცია	Evolusjon
გაერთიანებული ერების ორგანიზაცია	De forente nasjoner
ზემო ტბა	Lake Superior
დანტე ალიგიერი	Dante Alighieri
გეოლოგია	Geologi
აჰმადაბადი	Ahmedabad
გეოგრაფია	Geografi
გული	Hjerte
თავის ტვინი	Hjerne
კანი	Hud
ფერი	Farge
ვარსკვლავური გზა: ორიგინალური სერიალი	Star Trek: The Original Series
სალერნო	Salerno
არსებითი სახელი	Substantiv
პრაღა	Praha
რუთენიუმი	Ruthenium
როდიუმი	Rhodium
ლურჯი	Blå
პალადიუმი	Palladium
ვერცხლი	Sølv
კადმიუმი	Kadmium
ვარსკვლავური გზა	Star Trek
ლიმბურგის პროვინცია (ნიდერლანდი)	Limburg (Nederland)
ინდიუმი	Indium
ლიმბურგის პროვინცია	Limburg (Belgia)
კალა	Tinn (grunnstoff)
ურანი (ელემენტი)	Uran
სტიბიუმი	Antimon
ტელური	Tellur
ჩრდილოეთი ბრაბანტი	Noord-Brabant
პლუტონიუმი	Plutonium
იოდი	Jod
ნეპტუნიუმი	Neptunium
ქსენონი	Xenon
ანიმე	Anime
ცეზიუმი	Cesium
პროტაქტინიუმი	Protactinium
მუხტი	Elektrisk ladning
ბარიუმი	Barium
დასავლეთი ფლანდრია	Vest-Flandern
აღმოსავლეთი ფლანდრია	Øst-Flandern
თორიუმი	Thorium
ანტვერპენის პროვინცია	Antwerpen (provins)
ფლამანდიის ბრაბანტი	Flamsk Brabant
ჰაფნიუმი	Hafnium
აქტინიუმი	Actinium
ვალონიის ბრაბანტი	Vallonsk Brabant
ტანტალი	Tantal
ბილ კლინტონი	Bill Clinton
ნამიურის პროვინცია	Namur
ლუქსემბურგის პროვინცია (ბელგია)	Luxembourg (belgisk provins)
ლიეჟის პროვინცია	Liège (provins)
რადიუმი	Radium
ენოს პროვინცია	Hainaut
რადონი	Radon
ლოთარინგია	Lorraine
ელზასი	Alsace
ჟან ფილიპ რამო	Jean-Philippe Rameau
ინდირა განდი	Indira Gandhi
მერკური (ღმერთი)	Merkur (gud)
ჰექტორ ბერლიოზი	Hector Berlioz
ოვერნი	Auvergne
მუმბაი	Mumbai
ანდჰრა-პრადეში	Andhra Pradesh
არუნაჩალ-პრადეში	Arunachal Pradesh
ასამის შტატი	Assam
ბიჰარი	Bihar
მიჩიგანის შტატი	Michigan
ჩატისგარჰი	Chhattisgarh
მიჩიგანის ტბა	Michigansjøen
გოა (შტატი)	Goa
ბურგუნდია	Bourgogne
ჰარიანა	Haryana
ჰიმაჩალ-პრადეში	Himachal Pradesh
მორის რაველი	Maurice Ravel
აკვიტანია	Aquitaine
ჯამუ და ქაშმირი	Jammu og Kashmir
პუერტო-რიკო	Puerto Rico
ჯარხანდი	Jharkhand
კარნატაკა	Karnataka
კერალა	Kerala
მადჰია-პრადეში	Madhya Pradesh
უსაინ ბოლტი	Usain Bolt
ლიმუზენი	Limousin
მაჰარაშტრა	Maharashtra
ჟან ბატისტ ლული	Jean-Baptiste Lully
მანიპური	Manipur
შლეზვიგ-ჰოლშტაინი	Schleswig-Holstein
მეგჰალაია	Meghalaya
მეკლენბურგ-წინა პომერანია	Mecklenburg-Vorpommern
ქვემო საქსონია	Niedersachsen
