Aprika	Afrika
1984	1984
1983	1983
1982	1982
1981	1981
1980	1980
1970	1970
1971	1971
1972	1972
1973	1973
1974	1974
1975	1975
1976	1976
1977	1977
1978	1978
1979	1979
1969	1969
Benedict XVI	Benedikt XVI
1968	1968
1967	1967
1966	1966
1965	1965
1964	1964
Palermo	Palermo
Soka	Fotball
1963	1963
1962	1962
Madrid	Madrid
Michael Jackson	Michael Jackson
Göttingen	Göttingen
Kambra	Canberra
Ret (kala)	Rød
1961	1961
Dakar	Dakar
Grup:Ol templet bilong tokples	Kategori:Maler
1960	1960
Freetown	Freetown
Wes Papua	Irian Jaya
Skul	Skole
Osasku	Osasco
Ples balus Dong Hoi	Dong Hoi lufthavn
Kuritiba	Curitiba
Sean Connery	Sean Connery
Kongzi	Konfucius
Corbin Bleu	Corbin Bleu
Grup:Ol matematik	Kategori:Matematikk
Euro	Euro
Jason Lee	Jason Lee
Lotu Kristen	Kristendom
Kontinen	Kontinent
Kapitol	Hovedstad
Monzón	Monzón
Mun (taim)	Måned
1948	1948
1949	1949
Almazán	Almazán
1956	1956
1941	1941
1945	1945
1958	1958
1926	1926
1947	1947
1944	1944
1952	1952
Tokples Siapan	Japansk
Ensaiklopedia	Encyklopedi
Fran pes	Portal:Forside
1959	1959
1957	1957
Frank Lloyd Wright	Frank Lloyd Wright
Betlehem	Betlehem
Pilosopi	Filosofi
Grup:All articles proposed for deletion	Kategori:Sider som er foreslått raskt slettet
Piano	Piano
Ti	Te
Hebe Camargo	Hebe Camargo
Grup:Estronomi	Kategori:Astronomi
Carcassonne	Carcassonne
Sahara	Sahara
1801	1801
1802	1802
1803	1803
1804	1804
1805	1805
1806	1806
1807	1807
1808	1808
1809	1809
1810	1810
1811	1811
1812	1812
1813	1813
1814	1814
1815	1815
1816	1816
1817	1817
1818	1818
1819	1819
1820	1820
1821	1821
1822	1822
1823	1823
1824	1824
1825	1825
1826	1826
1827	1827
Politikis	Politikk
Gavman	Regjering
Kantri	Stat
Kamel	Kameler
1828	1828
1829	1829
1830	1830
1831	1831
1832	1832
1833	1833
1834	1834
1835	1835
1836	1836
1837	1837
1838	1838
1839	1839
1840	1840
1841	1841
1842	1842
1843	1843
1844	1844
Tok Rasia	Russisk
Toksave long ol raits bilong ol manmeri long olgeta hap bilong dispela giraun	Menneskerettighetserklæringen
Tok Balgeria	Bulgarsk
Nelson Mandela	Nelson Mandela
Lajik	Logikk
Grama	Grammatikk
Ikonimikis	Samfunnsøkonomi
Yen bilong Siapan	Japansk yen
Stadi bilong pasin bilong ol tokples	Lingvistikk
Hangul	Hangul
Grup:Pranis	Kategori:Frankrike
@@@u0026Weird Al@@@u0026 Yankovic	«Weird Al» Yankovic
Alexander Makedon	Aleksander den store
Edukesen	Utdannelse
Famili	Familie
Kopi	Kaffe
Sol	Seoul
Tokples long Albenia	Albansk
Valencia	Valencia
Tok Denmak	Dansk
Tok Nowe	Norsk
Tok Slovakia	Slovakisk
Tok Hangari	Ungarsk
Tok Lituwenia	Litauisk
Tok Belaras	Hviterussisk
Tok Gris	Gresk
Tok Aialan	Irsk
Imel	E-post
Tokples Pesia	Persisk
Lotu	Religion
Tok Koria	Koreansk
Tok Vietnam	Vietnamesisk
Georg Wilhelm Friedrich Hegel	Georg Wilhelm Friedrich Hegel
Judaisim	Jødedom
Immanuel Kant	Immanuel Kant
Saikolosi	Psykologi
Sidarta	Buddha
Martin Luther	Martin Luther
Elisabet II	Elisabeth II av Storbritannia
Ronald Reagan	Ronald Reagan
Fernando Alonso	Fernando Alonso
David Beckham	David Beckham
Gordon Brown	Gordon Brown
Tebol bilong ol elemen	Periodesystemet
Diwai	Tre
Kubuntu	Kubuntu
Grup:Romenia	Kategori:Romania
Egrikalsa	Landbruk
Elektroniks	Elektronikk
Ol kantri	Liste over stater
Kensa	Kreft
Ponferrada	Ponferrada
Templet:Location map Iceland	Mal:Kartposisjon Island
Villarreal	Villarreal
Templet:Location map Samoa	Mal:Kartposisjon Samoa
Kokonas	Kokospalme
Ferdinand de Saussure	Ferdinand de Saussure
Kyushu	Kyushu
Honshu	Honshu
Shikoku	Shikoku
Ista Ailan	Påskeøya
Ethnologue	Ethnologue
Bensheim	Bensheim
Queen	Queen
Freddie Mercury	Freddie Mercury
Vemont	Vermont
Koria	Korea
1925	1925
1927	1927
1955	1955
1954	1954
1953	1953
1951	1951
1950	1950
1946	1946
1943	1943
1942	1942
1940	1940
1939	1939
1938	1938
1937	1937
1936	1936
1935	1935
1934	1934
1933	1933
1932	1932
1931	1931
1930	1930
1929	1929
Pyongyang	Pyongyang
Nupela Testamen	Det nye testamente
Nha Trang	Nha Trang
Maya Angelou	Maya Angelou
Pop	Pave
Rafael Correa	Rafael Correa
Busares	București
1928	1928
Olpela Testamen	Det gamle testamente
Indo-Yuropien famili bilong tokples	Indoeuropeiske språk
Breinigerberg	Breinigerberg
Gyeonggi	Gyeonggi
Ol Tokples Siamanik	Germanske språk
Sosiolosi	Sosiologi
Taiwan	Taiwan
Bahai	Bahá'í
Aialan	Irland (øy)
7	7
Wik	Ukedager
Antropolosi	Antropologi
Ailan	Øy
Moshchena	Mosjtsjena
Akiolosi	Arkeologi
George H. W. Bush	George H.W. Bush
Quang Binh Provins	Quang Binh (provins)
Protestan	Protestantisme
Bryan Cranston	Bryan Cranston
Bikpela Briten	Storbritannia (øy)
Kadinol daireksion	Himmelretning
Lila Downs	Lila Downs
Famili bilong tokples	Språkfamilie
Pichilemu	Pichilemu
Pukpuk	Krokodiller
Amerika	Amerika (andre betydninger)
Kokomo	Neshornfugler
Danny DeVito	Danny DeVito
Jerry Springer	Jerry Springer
Sentrel Amerika	Mellom-Amerika
Kaunti	Fylke
Ecser	Ecser
Zhengzhou	Zhengzhou
Avril Lavigne	Avril Lavigne
Rouen	Rouen
Valery Leontiev	Valerij Leontjev
Tok Hawai	Hawaiisk
Hiri Motu	Hiri motu
Niu Kaledonia	Ny-Caledonia
Marlon Brando	Marlon Brando
Tok Pisin	Tok pisin
Mošovce	Mošovce
Ajetiv bilong nambawan kain	Adjektiv
Kristen Otodos	Den ortodokse kirke
Ido	Ido
44 yia i go bipo Jisas	44 f.Kr.
Bislama	Bislama
Hokkaido	Hokkaido
Charles Bronson	Charles Bronson
Borneo	Borneo
Siligo	Siligo
Apia	Apia
Pot Mosbi	Port Moresby
.ru	.ru
.ad	.ad
Cork	Cork
Arancón	Arancón
.fi	.fi
.am	.am
.de	.de
.fr	.fr
Melanesia	Melanesia
.au	.au
.cz	.cz
Maket	Marked
.at	.at
Pot Vila	Port Vila
Auckland Grammar School	Auckland Grammar School
.us	.us
.es	.es
.gr	.gr
.pl	.pl
.uk	.uk
Kaukau	Søtpotet
Yokohama	Yokohama
.al	.al
.az	.az
.ee	.ee
.bg	.bg
.jp	.jp
.it	.it
.dk	.dk
.ca	.ca
.ch	.ch
Maikroekonomiks	Makroøkonomi
.be	.be
Ágreda	Ágreda
.by	.by
.fj	.fj
.cl	.cl
.is	.is
.lt	.lt
.pt	.pt
.bt	.bt
Hobat	Hobart
Niugini	Ny-Guinea
.et	.et
.tv	.tv
.eg	.eg
23 yia i go bipo Jisas	23 f.Kr.
.se	.se
.cy	.cy
.kz	.kz
.hu	.hu
.ua	.ua
.mx	.mx
.kh	.kh
.no	.no
.id	.id
.tr	.tr
.eu	.eu
.ht	.ht
.sk	.sk
Julia Gillard	Julia Gillard
.to	.to
.lv	.lv
Saikoanalisis	Psykoanalyse
.kg	.kg
.mh	.mh
.kr	.kr
.ki	.ki
.tj	.tj
.kp	.kp
.ro	.ro
.vn	.vn
.nr	.nr
.ke	.ke
.vu	.vu
.na	.na
.ye	.ye
.ws	.ws
.sm	.sm
.tk	.tk
Kevin Rudd	Kevin Rudd
.pg	.pg
Plak bilong Siapan	Japans flagg
Jim Morrison	Jim Morrison
Dan Castellaneta	Dan Castellaneta
.nu	.nu
The Doors	The Doors
Pécs	Pécs
Plak bilong Pinlan	Finlands flagg
Templet:Commons category	Mal:Commonscat
Morgan Freeman	Morgan Freeman
Plak bilong Albenia	Albanias flagg
Dire Straits	Dire Straits
Richard Attenborough	Richard Attenborough
Templet:Taxobox	Mal:Taksoboks
János Áder	János Áder
Viktor Orbán	Viktor Orbán
Niu Briten	New Britain
Xubuntu	Xubuntu
Plak bilong Solomon Ailans	Salomonøyenes flagg
Nonvailens	Ikkevold
Debrecen	Debrecen
Plak bilong Kanada	Canadas flagg
Harrison Ford	Harrison Ford
Plak bilong Andora	Andorras flagg
Kimi ga Yo	Kimi Ga Yo
Szeged	Szeged
Plak bilong Ostrelia	Australias flagg
Plak bilong Hangari	Ungarns flagg
Plak bilong Azerbaijan	Aserbajdsjans flagg
Plak bilong Nowe	Norges flagg
Robin Williams	Robin Williams
Gary Oldman	Gary Oldman
Plak bilong Aislan	Islands flagg
Plak bilong Indonisia	Indonesias flagg
Plak bilong Skotlan	Skottlands flagg
Miskolc	Miskolc
Donald Sutherland	Donald Sutherland
Peter O'Toole	Peter O'Toole
Eli Wallach	Eli Wallach
Mickey Rooney	Mickey Rooney
Plak bilong Tuvalu	Tuvalus flagg
Holly Hunter	Holly Hunter
Stet	Delstat
Meditesen	Meditasjon
James Garner	James Garner
Joey King	Joey King
Pacific Games	Stillehavslekene
Plak bilong Kiribas	Kiribatis flagg
Saut Ailan	Sørøya (New Zealand)
Plak bilong Spen	Spanias flagg
Dziecinów	Dziecinów
Haus bilong binen	Bikake
Michael Caine	Michael Caine
Steve Irwin	Steve Irwin
Plak bilong Saut Koria	Sør-Koreas flagg
Plak bilong Slovenia	Slovenias flagg
Plak bilong Romenia	Romanias flagg
Grup:Manmeri bilong Hangari	Madjarere
Dunedin	Dunedin
Kamikaze	Kamikaze
Phu Quoc	Phú Quốc
Wikipedia:Save long senisim pes	Hjelp:Redigering
Lệ Thủy	Le Thuy
Brobergen	Brobergen
Klostu Tudak	Twilight – Evighetens kyss
Plak bilong Niu Silan	New Zealands flagg
Kaunti Cork	Cork (grevskap)
St. Peter's College, Auckland	St Peter's College (Auckland)
Behaviourisim	Behaviorisme
Samuel L. Jackson	Samuel L. Jackson
Kumul	Paradisfugler
Christopher Lee	Christopher Lee
Helen Clark	Helen Clark
Lev Vygotsky	Lev Vygotskij
Plak bilong Fiji	Fijis flagg
Plak bilong Papua Niugini	Papua Ny-Guineas flagg
Plak bilong Nauru	Naurus flagg
Plak bilong Vanuatu	Vanuatus flagg
Plak bilong Wels	Wales' flagg
Mike Myers	Mike Myers
Plak bilong Tonga	Tongas flagg
Plak bilong Samoa	Samoas flagg
Plak bilong Palau	Palaus flagg
Christopher Plummer	Christopher Plummer
Expo 2010	Expo 2010
James Woods	James Woods
Nancy Reagan	Nancy Reagan
Ol provinis bilong Swidan	Landskap i Sverige
Plak bilong ol Masol Ailan	Marshalløyenes flagg
Kina	Papuansk kina
Bogenvil	Bougainville
Plak bilong Niue	Niues flagg
Roger Ebert	Roger Ebert
Bill Cosby	Bill Cosby
Niu Ailan ailan	New Ireland (øy)
Jimmie Johnson	Jimmie Johnson
Rabaul	Rabaul
Saksak	Sago
Plak bilong Hawai	Hawaiis flagg
Nesenel mak bilong Ostrelia	Australias riksvåpen
Eartha Kitt	Eartha Kitt
Phyllis Diller	Phyllis Diller
Plak bilong Polinesia bilong Pranis	Fransk Polynesias flagg
Rhea Perlman	Rhea Perlman
Ian McShane	Ian McShane
Plak bilong Nofok Ailan	Norfolkøyas flagg
Shelley Duvall	Shelley Duvall
Plak bilong Guam	Guams flagg
Joan Rivers	Joan Rivers
Elizabeth Peña	Elizabeth Peña
Edie McClurg	Edie McClurg
Plak bilong Tokelau	Tokelaus flagg
Yumi, Yumi, Yumi	Yumi, Yumi, Yumi
Nesenel mak bilong Papua Niugini	Papua Ny-Guineas riksvåpen
Marcus Stephen	Marcus Stephen
Martin Landau	Martin Landau
Tate Donovan	Tate Donovan
Dick Van Dyke	Dick Van Dyke
Don Ameche	Don Ameche
Brad Bird	Brad Bird
Wallace Shawn	Wallace Shawn
Gary Coleman	Gary Coleman
Rip Torn	Rip Torn
Jeff Gordon	Jeff Gordon
Hal Holbrook	Hal Holbrook
Richard Griffiths	Richard Griffiths
Donald Pleasence	Donald Pleasence
Michael Somare	Michael Somare
Apisai Ielemia	Apisai Ielemia
Plak bilong Wolis na Futuna	Wallis og Futunas flagg
Craig T. Nelson	Craig T. Nelson
Larry the Cable Guy	Larry the Cable Guy
David Cross	David Cross
Bobcat Goldthwait	Bobcat Goldthwait
Bry-sur-Marne	Bry-sur-Marne
Con Dao	Côn Đảo
Richard Kiel	Richard Kiel
Derek Sikua	Derek Sikua
Cesar Romero	Cesar Romero
Sarah Vowell	Sarah Vowell
Jackie Gleason	Jackie Gleason
Buk bilong Momon	Mormons bok
Ples balus Tan Son Nhat	Tan Son Nhat internasjonale lufthavn
Michael Clarke Duncan	Michael Clarke Duncan
.nl	.nl
Magani	Wallaby
O Arise, All You Sons	O Arise, All You Sons
Eliana	Eliana
Blupela kumul	Blåparadisfugl
Is Sepik	East Sepik
Histori long Koria	Koreas historie
Oro	Oro
Abejar	Abejar
Pilosopi long Wes	Vestlig filosofi
Sepik	Sepik
Sentral Provins	Central (Papua Ny-Guinea)
Marion Barry	Marion Barry
Ples balus	Flyplass
My Thuy	My Thuy
Grup:Siamani	Kategori:Tyskland
Grup:Itali	Kategori:Italia
Grup:Ol Yunaitet Stet	Kategori:USA
Grup:Kanada	Kategori:Canada
Grup:Yunaitet Kingdom	Kategori:Storbritannia
Grup:Spen	Kategori:Spania
Grup:Siapan	Kategori:Japan
Grup:Ostrelia	Kategori:Australia
Grup:India	Kategori:India
Grup:Isrel	Kategori:Israel
Grup:Ijip	Kategori:Egypt
Grup:Niu Silan	Kategori:New Zealand
Grup:Indonisia	Kategori:Indonesia
Grup:Irak	Kategori:Irak
Grup:Polan	Kategori:Polen
Grup:Saut Koria	Kategori:Sør-Korea
Grup:Tailan	Kategori:Thailand
Grup:Yukren	Kategori:Ukraina
Grup:Vietnam	Kategori:Vietnam
Grup:Ol pisin	Kategori:Fugler
Grup:Ol Sayor	Kategori:Planter
Grup:Save long Laip	Kategori:Biologi
Grup:Kemistri	Kategori:Kjemi
Grup:Histori	Kategori:Historie
Grup:Save long giraun	Kategori:Geografi
Grup:Sosaiti	Kategori:Samfunn
Grup:Lotu	Kategori:Religion
Grup:Saiens	Kategori:Vitenskap
Grup:Giraun	Kategori:Jorden
Ol tokples bilong Papua Niugini	Språk på Papua Ny-Guinea
Grup:Ol pes bilong kliaim ol link	Kategori:Pekere
Grup:Pilosopi	Kategori:Filosofi
Grup:Saikolosi	Kategori:Psykologi
Grup:Budisim	Kategori:Buddhisme
Grup:Kristen	Kategori:Kristendom
Grup:Islam	Kategori:Islam
Benedicta Boccoli	Benedicta Boccoli
Spencer Fox	Spencer Fox
Conrad Bain	Conrad Bain
Grup:Ol pes i liklik tumas	Kategori:Stubber
Grup:Ol planet	Kategori:Planeter
Grup:Kontinen	Kategori:Kontinenter
Templet:Footer SolarSystem	Mal:Solsystem
Templet:T	Mal:Mal
Templet:Babel bokis	Mal:Userbox
Grup:Ol kantri	Kategori:Land
Grup:Ekonomikis	Kategori:Nasjonaløkonomi
Wikipedia:Administrators	Wikipedia:Administratorer
Grup:Manmeri	Kategori:Personer
Grup:Politikis	Kategori:Politikk
Grup:Saiens bilong ai	Kategori:Optikk
Ijip	Egypt
Templet:Bot	Mal:Bot
Kanada	Canada
Grup:Hangari	Kategori:Ungarn
Grup:Estonia	Kategori:Estland
Grup:Gris	Kategori:Hellas
Grup:Latvia	Kategori:Latvia
Grup:Aislan	Kategori:Island
Grup:Lituwenia	Kategori:Litauen
Grup:Slovakia	Kategori:Slovakia
Wikipedia:Copyrights	Wikipedia:Opphavsrett
Templet:Flagicon	Mal:Flagicon
Grup:Ol kantri long Yurop	Kategori:Land i Europa
Grup:Yurop	Kategori:Europa
Templet:Template doc	Mal:Dokumentasjon
Grup:Yusa tokples	Kategori:Wikipedia-brukere etter språk
Wikipedia:Faipela lo	Wikipedia:Fem søyler
Templet:Softredirect	Mal:Softredirect
Templet:Delete	Mal:Hurtigsletting
Grup:Ol tokples	Kategori:Språk
Grup:Grama	Kategori:Grammatikk
Solija	Soldat
Templet:Navbox	Mal:Navboks
Bikpela magani	Kenguruer
Templet:Shortcut	Mal:Snarvei
Templet:!	Mal:!
Templet:!!	Mal:!!
Templet:Tnavbar	Mal:Tnavbar
Templet:Loop	Mal:Loop
Templet:Unicode	Mal:Unicode
Templet:Small	Mal:Small
Templet:Clear	Mal:Clear
Templet:Color	Mal:Farve
Templet:Nowrap	Mal:Nowrap
Templet:Anchor	Mal:Anchor
Wikipedia:Ol pes i mas stap long Wikipedia	Wikipedia:Liste over artikler vi bør ha
Grup:Elektroniks	Kategori:Elektronikk
Templet:Babel	Mal:Babel
Templet:Commons	Mal:Commons
Templet:Reflist	Mal:Referanser
Templet:Stub	Mal:Stubb
Templet:User ar-1	Mal:Bruker ar-1
Templet:User ast-1	Mal:Bruker ast-1
Templet:User az	Mal:Bruker az
Templet:Yusa eo-1	Mal:Bruker eo-1
Templet:See also	Mal:Se også
Templet:User da	Mal:Bruker da
Templet:User ca-1	Mal:Bruker ca-1
Templet:User cs-1	Mal:Bruker cs-1
Templet:User eo-3	Mal:Bruker eo-3
Templet:User de	Mal:Bruker de
Templet:User de-1	Mal:Bruker de-1
Templet:User el	Mal:Bruker el
Templet:User es	Mal:Bruker es
Templet:User de-3	Mal:Bruker de-3
Templet:User en-3	Mal:Bruker en-3
Templet:User en-1	Mal:Bruker en-1
Templet:User en-2	Mal:Bruker en-2
Templet:User eo-2	Mal:Bruker eo-2
Templet:User en-4	Mal:Bruker en-4
Templet:User en-0	Mal:Bruker en-0
Templet:User en	Mal:Bruker en
Templet:User de-2	Mal:Bruker de-2
Templet:User es-1	Mal:Bruker es-1
Templet:User fa	Mal:Bruker fa
Templet:User fr-1	Mal:Bruker fr-1
Grup:Laip	Kategori:Livet
Templet:User hu-N	Mal:Bruker hu
Templet:User sk	Mal:Bruker sk
Templet:User tr-2	Mal:Bruker tr-2
Templet:User fr-2	Mal:Bruker fr-2
Templet:User ja	Mal:Bruker ja
Templet:User ja-1	Mal:Bruker ja-1
Templet:User it-1	Mal:Bruker it-1
Templet:User fr	Mal:Bruker fr
Templet:Unsigned	Mal:Usignert
Grup:Azerbaijan	Kategori:Aserbajdsjan
Grup:Esia	Kategori:Asia
Grup:Castile na León	Kategori:Castilla y León
Templet:Mod	Mal:Mod
Templet:User es-2	Mal:Bruker es-2
Templet:NewUser	Mal:Reg-velkommen
Templet:WikipediaSista	Mal:Søsterprosjekt
Grup:Lingwistikis	Kategori:Lingvistikk
Templet:Cc-by-sa-3.0	Mal:Cc-by-sa-3.0
Grup:Yusa fr-1	Kategori:Bruker fr-1
Templet:Country showdata	Mal:Country showdata
Templet:Cat handler	Mal:Category handler
Templet:Collapsible list	Mal:Sammenleggbar liste
Templet:Ambox	Mal:Amboks
Templet:Navigation templates	Mal:Navigational templates
Templet:Rnd	Mal:Rnd
Templet:Steady	Mal:Stabil
Templet:Infobokis Kantri	Mal:Infoboks land2
Templet:Collapsible option	Mal:Collapsible option
Templet:Str left	Mal:Str left
Grup:Yusa en-4	Kategori:Bruker en-4
Grup:Yusa en	Kategori:Bruker en
Grup:Yusa en-2	Kategori:Bruker en-2
Templet:Infobokis	Mal:Infoboks
Templet:Yusa eo	Mal:Bruker eo
Templet:User zh	Mal:Bruker zh
Templet:Documentation/start box	Mal:Dokumentasjon/start boks
Templet:Documentation/end box2	Mal:Dokumentasjon/end boks 2
Templet:Documentation/start box2	Mal:Dokumentasjon/start boks 2
Templet:Legend	Mal:Legend
Templet:Ombox	Mal:Pmboks
Templet:Pp-template	Mal:Beskyttet side
Templet:·	Mal:,
Templet:Ol daireksion	Mal:Himmelretninger
Templet:Wiktionary	Mal:Wiktionary
Templet:Mbox templates	Mal:Mboks-maler
Templet:Ref-lang	Mal:Språkikon
Grup:Egrikalsa	Kategori:Landbruk
Templet:User ru	Mal:Bruker ru
Templet:IPA	Mal:IPA
Grup:Language user templates	Kategori:Babel-maler
Templet:Toktok bilong nem	Mal:Language with name
Templet:Babel bokis-1	Mal:Babel1
Templet:MONTHNAME	Mal:MONTHNAME
Wikipedia:Buk Bilong GFDL	Wikipedia:GNU FDL
Templet:Cc-by-sa-2.5	Mal:Cc-by-sa-2.5
Templet:Country data European Union	Mal:Country data Den europeiske union
Templet:Namespace detect	Mal:Namespace detect
Templet:Fmbox	Mal:Fmbox
Templet:Infobokis Planet	Mal:Infoboks planet
Templet:Ethnologue	Mal:Ethnologue
Templet:Infobokis Websait	Mal:Infoboks nettsted
Templet:Documentation subpage	Mal:Dokumentasjonsunderside
Templet:CcTLD	Mal:CcTLD
Templet:Div col	Mal:Div col
Templet:Unreferenced	Mal:Kildeløs
Templet:Babel bokis-4	Mal:Babel4
Grup:Ples balus long Vietnam	Kategori:Flyplasser i Vietnam
Templet:Emergency-bot-shutoff	Mal:Emergency-bot-shutoff
Templet:User pl-1	Mal:Bruker pl-1
Templet:Prettytable	Mal:Prettytable
Templet:Transl	Mal:Trans
Templet:Infobokis kantri bilong bipo	Mal:Infoboks tidligere land2
Templet:Redirect	Mal:Omdirigering
Templet:Age in days	Mal:Alder i dager
Templet:Cc-by-sa-2.0	Mal:Cc-by-sa-2.0
Templet:JULIANDAY	Mal:JULIANDAY
Templet:FIAV	Mal:FIAV
Templet:Politbokis	Mal:Politbox
Templet:Ol de bilong dispela wik	Mal:Ukedager
Templet:Nobold	Mal:Nobold
Templet:Gregorian serial date	Mal:Gregorian serial date
Grup:Yusa ja-N	Kategori:Bruker ja-N
Templet:Tok-ru	Mal:Lang-ru
Templet:Disambig	Mal:Peker
Grup:Niuspepa	Kategori:Aviser
Templet:Para	Mal:Para
Templet:User no	Mal:Bruker no
Templet:Tok-en	Mal:Lang-en
Templet:Tlf	Mal:Tlf
Templet:Babel bokis-3	Mal:Babel3
Templet:Mp	Mal:Sp
Templet:User it-2	Mal:Bruker it-2
Templet:Nts	Mal:Sorterbart tall
Templet:Ileksen-tebol	Mal:Valgtabell
Templet:Convert	Mal:Konverter
Templet:InterWiki	Mal:InterWiki
Templet:UF-coord-classes	Mal:UF-coord-classes
Templet:Coord	Mal:Koord
Templet:Europe topic	Mal:Europa
Grup:Yusa sk	Kategori:Bruker sk
Grup:Yusa eo	Kategori:Bruker eo
Grup:Yusa fr	Kategori:Bruker fr
