Yn Affrick	Afrika
Yn Injey	India
Shillagon	Silisium
Frankium	Francium
Tuvalu	Tuvalu
Fosfaar	Fosfor
Yiarn	Jern
Yn Tongey	Tonga
Sulfur	Svovel
Samoa	Samoa
Ny h-Ellanyn Holomon	Salomonøyene
Vanuatu	Vanuatu
Cloreen	Klor
Papooey Guinea Noa	Papua Ny-Guinea
Yn Ollan Yiass	Zuid-Holland
Palau	Palau
Argon	Argon
Naaroo	Nauru
Yn Ollan Hwoaie	Noord-Holland
Steatyn Conastit y Vynneeys	Mikronesiaføderasjonen
Potashum	Kalium
Yn Teelynn, y Çheer Injil	Zeeland
Kelkium	Kalsium
Flevoland	Flevoland
Leoaie	Bly
Ny h-Ellanyn Varshyl	Marshalløyene
Yn Chiribati	Kiribati
Yn Vongoil	Mongolia
Fiji	Fiji
Scandjum	Scandium
Çhitaanium	Titan (grunnstoff)
Yn Veneswaaley	Venezuela
Vanaadjum	Vanadium
Maine	Maine
Cromium	Krom
Cabbyl	Hest
Amsterdam	Amsterdam
Baagh	Dyr
Yn Toorinam	Surinam
Manganaish	Mangan
Yn Pharaguay	Paraguay
Geeaaney	Guyana
Ellyn	Kunst
Ecuador	Ecuador
Rainium	Rhenium
Yn Cholombey	Colombia
Cobalt	Kobolt
Tungsten	Wolfram
Nickyl	Nikkel
Groningen (caayr)	Groningen (by)
Yn Volivia	Bolivia
Osmium	Osmium
Groningen (queiggey)	Groningen (provins)
Cobbyr	Kobber
Trinaid as Tobago	Trinidad og Tobago
Lus	Planter
Noo Winsen as ny Grenadeenyn	Saint Vincent og Grenadinene
Shinc	Sink
New Hampshire	New Hampshire
Noo Lucia	Saint Lucia
Białystok	Białystok
Leonardo da Vinci	Leonardo da Vinci
Noo Kitts as Nevis	Saint Kitts og Nevis
Fungys	Sopper
Yn Yamaicey	Jamaica
Grenada	Grenada
Yn Reeshlann (queiggey)	Friesland (Nederland)
Massachusetts	Massachusetts
Drenthe	Drenthe
Overijssel	Overijssel
Yn Ghuatemaley	Guatemala
Gelderland	Gelderland
Utrecht (queiggey)	Utrecht (provins)
Ny Bahamaghyn	Bahamas
Connecticut	Connecticut
Antigua as Barbuda	Antigua og Barbuda
Hawaii	Hawaii
Ny Hondooraghyn	Honduras
Dominica	Dominica
Jersee	Jersey
Yn Phobblaght Ghominicagh	Den dominikanske republikk
Muc	Gris
Yn Vooir Arctagh	Nordishavet
Haiti	Haiti
Yn Salvador	El Salvador
Yn Eeraan	Iran
Yn Earack	Irak
Alaska	Alaska
Yn Coose Berçhagh	Costa Rica
Israel	Israel
Utrecht (caayr)	Utrecht (by)
Yn Phanamaa	Panama
Yn Yeaman	Jemen
Polynnish	Polsk
Yn Jordaan	Jordan
Yn Nickeraag	Nicaragua
Florida	Florida
Yn Chyrgistaan	Kirgisistan
Arizona	Arizona
Yn Choowait	Kuwait
Yn Laos	Laos
Yn Livaan	Libanon
Oregon	Oregon
Ny Maldeevaghyn	Maldivene
Utah	Utah
Yn Valaysia	Malaysia
Myanmar	Myanmar
Nepaal	Nepal
Yn Omaan	Oman
Yn Phakistaan	Pakistan
Yn Chatar	Qatar
Yn Araab Saudi	Saudi-Arabia
Sri Lanka	Sri Lanka
Yn Teer	Syria
Gallium	Gallium
Yn Tajikistaan	Tadsjikistan
Pobblaght ny Sheen	Republikken Kina
Germaanium	Germanium
Yn Çheer Thai	Thailand
Traen	Jernbanetog
Arsnick	Arsen
Radio	Radio
Yn Turkmenistaan	Turkmenistan
Shellainium	Selen
Iriddjum	Iridium
Ny h-Emmiraidyn Arabagh Unnaneysit	De forente arabiske emirater
Bromeen	Brom
Platinum	Platina
Yn Vietnam	Vietnam
Novosibirsk	Novosibirsk
Yn Chorea Yiass	Sør-Korea
Krypton	Krypton
Yn Afghanistaan	Afghanistan
J. R. R. Tolkien	J. R. R. Tolkien
Rubiddjum	Rubidium
Airh	Gull
Yn Vangladesh	Bangladesh
Rostov-na-Donu	Rostov-na-Donu
Malee	Mali
Angoley	Angola
Yn Vutaan	Bhutan
Brunei	Brunei
Tanzania	Tanzania
Mercur	Kvikksølv
Ny h-Ellanyn Philippeenagh	Filippinene
Pobblaght yn Affrick Veanagh	Den sentralafrikanske republikk
Thallium	Thallium
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Stroinçhum	Strontium
Yttrium	Yttrium
Bismut	Vismut
Yn Togo	Togo
Yn Tooneesh	Tunisia
Yn Tambia	Zambia
Yn Çhimbabwe	Zimbabwe
Beijing	Beijing
Yn Toodaan Yiass	Sør-Sudan
Benin	Benin
Yn Votswaan	Botswana
Burkina Faso	Burkina Faso
Burundee	Burundi
Ny h-Ellanyn Chomoro	Komorene
Pobblaght ny Congo	Republikken Kongo
Pobblaght Gheynlagh ny Congo	Den demokratiske republikken Kongo
Djibouti	Djibouti
Polonium	Polonium
Yn Vaveyr	Bayern
Guinea Chryss ny Cruinney	Ekvatorial-Guinea
Baden-Württemberg	Baden-Württemberg
Eritrea	Eritrea
Delhi Noa	New Delhi
Tbilisi	Tbilisi
Astatçheen	Astat
Gabon	Gabon
Caslys-skeeal	Tegneserie
Yn Ghambia	Gambia
Yn Ghuinea	Guinea
Yn Ghuinea-Bissau	Guinea-Bissau
Yn Clyst Iuaagagh	Elfenbenskysten
Cameroon	Kamerun
Yn Rheynn Ghlass	Kapp Verde
Lesoto	Lesotho
Yn Laibeer	Liberia
Yn Leeb	Libya
Madagascar	Madagaskar
Malawi	Malawi
Stuttgart	Stuttgart
Yn Varitaan	Mauritania
Ellan Wirrish	Mauritius
Yn Varoc	Marokko
Yn Vosambeeck	Mosambik
Yn Nameeb	Namibia
Yn Neegeyr	Niger
Yn Naigeer	Nigeria
Charles Darwin	Charles Darwin
Ooganda	Uganda
Rooandey	Rwanda
Shirconium	Zirkonium
São Tomé as Príncipe	São Tomé og Príncipe
Yn Tenegaal	Senegal
Ny h-Ellanyn Heshell	Seychellene
Carolus Linnaeus	Carl von Linné
Sierra Leone	Sierra Leone
Yn Tomaal	Somalia
Neeobium	Niob
Jool Kaesar	Julius Cæsar
Yn Toodaan	Sudan
Yn Çheer Swassee	Swaziland
Goal twoaie	Regnbue
Molybdenum	Molybden
Çheghnaiçhum	Technetium
Hamburg	Hamburg
Ny h-Ashoonyn Unnaneysit	De forente nasjoner
Dante Alighieri	Dante Alighieri
Çheer-oaylleeaght	Geografi
Ennymockle	Substantiv
Praag	Praha
Rutainium	Ruthenium
Roydjum	Rhodium
Pallaadjum	Palladium
Argid (bunstoo)	Sølv
Cadmium	Kadmium
Limburg, y Çheer Injil	Limburg (Nederland)
Indjum	Indium
Stainney	Tinn (grunnstoff)
Uraanium	Uran
Antimoan	Antimon
Çhellurium	Tellur
Brabant Hwoaie	Noord-Brabant
Plutonium	Plutonium
Eeadeen	Jod
Nepçhunium	Neptunium
Xenon	Xenon
Kaishum	Cesium
Protaghtinnium	Protactinium
Baarium	Barium
Thorium	Thorium
Hafnium	Hafnium
Aghtinnium	Actinium
Tantalum	Tantal
Bill Clinton	Bill Clinton
Raadjum	Radium
Raadon	Radon
Auvergne (ard)	Auvergne
Michigan	Michigan
Aquitaine	Aquitaine
Yn Phurt Verçhagh	Puerto Rico
Schleswig-Holstein	Schleswig-Holstein
Mecklenburg-Vorpommern	Mecklenburg-Vorpommern
Niedersachsen	Niedersachsen
Yn Rhine Hwoaie-Westfalen	Nordrhein-Westfalen
Hessen	Hessen
Çheer ny Rhiney as y Phalateenaght	Rheinland-Pfalz
Saarland	Saarland
Sachsen	Sachsen
John Lennon	John Lennon
Illinois	Illinois
Thüringen	Thüringen
Sachsen-Anhalt	Sachsen-Anhalt
Dakota Hwoaie	Nord-Dakota
Brandenburg	Brandenburg
Bremen (steat)	Bremen
Dakota Yiass	Sør-Dakota
Montana	Montana
Wyoming	Wyoming
Jerusalem	Jerusalem
Idaho	Idaho
Washington	Washington
Rutherfordium	Rutherfordium
Nevada	Nevada
Dubnium	Dubnium
Seeborgium	Seaborgium
Yn Keayn Injinagh	Indiahavet
Kosovo	Kosovo
Yn Vooir Charibagh	Det karibiske hav
Bohrium	Bohrium
Hassium	Hassium
Meitnerium	Meitnerium
Colorado	Colorado
Darmstadtium	Darmstadtium
Frédéric Chopin	Frédéric Chopin
Roentgenium	Røntgenium
Copernicium	Copernicium
Chicago	Chicago
The Beatles	The Beatles
Oonoontrium	Ununtrium
Flerovium	Flerovium
Oonoonpençhum	Ununpentium
Livermorium	Livermorium
Oonoonsepçhum	Ununseptium
Oonoonoctium	Ununoctium
Geurey	Vinter
Arragh	Vår
Sourey	Sommer
Fouyr (imbagh)	Høst
Spaainish	Spansk
Johann Sebastian Bach	Johann Sebastian Bach
Antonio Vivaldi	Antonio Vivaldi
Kiaulldramey	Opera
Apag	Apekatter
Yn Virjeeney	Virginia
Yn Virjeeney Heear	Vest-Virginia
York Noa (steat)	New York (delstat)
Kerrium	Cerium
Prashodymmium	Praseodym
Ellan Rhode	Rhode Island
Niodymium	Neodym
Insecta	Insekter
Maryland	Maryland
Delaware	Delaware
Oarpium	Europium
Ohio	Ohio
Pennsylvania	Pennsylvania
Uetersen	Uetersen
New Jersey	New Jersey
Gibraaltar	Gibraltar
Finnlynnish	Finsk
Indiana	Indiana
Gleashtan	Bil
Roger Federer	Roger Federer
Yn Çhorshey (steat)	Georgia (USA)
Zagreb	Zagreb
Texas	Texas
Carolina Hwoaie	Nord-Carolina
Carolina Yiass	Sør-Carolina
Yn Tardeen	Sardinia
Buenos Aires	Buenos Aires
Mississippi	Mississippi
Yn Phatagoan	Patagonia
Tennessee	Tennessee
Richard Wagner	Richard Wagner
Abidjan	Abidjan
Astana	Astana
New Mexico	New Mexico
Yn Atheen	Athen
Minnesota	Minnesota
Wisconsin	Wisconsin
Iowa	Iowa
Nebraska	Nebraska
Kansas	Kansas
Hindish	Hindi
Tudjeen	Sigarett
Missouri	Missouri
Louisiana	Louisiana
Kentucky	Kentucky
Arkansas	Arkansas
Oklahoma	Oklahoma
Mooir Hostyn	Nordsjøen
Düsseldorf	Düsseldorf
Wiesbaden	Wiesbaden
München	München
Veen	Wien
København	København
Queiggey Kaliningrad	Kaliningrad oblast
Stockholm	Stockholm
Helsinki	Helsingfors
Divlyn	Dublin
Reykjavík	Reykjavík
Tallinn	Tallinn
Rīga	Riga
Bratislava	Bratislava
Budapest	Budapest
Gdańsk	Gdańsk
Frankfurt	Frankfurt am Main
Wrocław	Wrocław
Lantanum	Lantan
Promaiçhum	Promethium
Unnid rollageagh	Astronomisk enhet
Samaarium	Samarium
Gadolinnium	Gadolinium
Çherbium	Terbium
Lucsemburg (caayr)	Luxembourg (by)
Dysproshum	Dysprosium
Vaduz	Vaduz
Yn Vible	Bibelen
Holmium	Holmium
San Marino (caayr)	San Marino by
Erbium	Erbium
Thulium	Thulium
Caayr Ho Chi Minh	Ho Chi Minh-byen
Ytterbium	Ytterbium
Lootaiçhum	Lutetium
Baarle	Engelsk
Andorra la Vella	Andorra la Vella
Americium	Americium
Curium	Curium
Dong Hoi	Dong Hoi
Concepción, y Çhillee	Concepción
Berkelium	Berkelium
Californium	Californium
Einsteinium	Einsteinium
Fermium	Fermium
Mendelevium	Mendelevium
Kyiv	Kiev
Nobelium	Nobelium
Ontario	Ontario
Lawrencium	Lawrencium
Manitoba	Manitoba
Alberta	Alberta
Nalbin Noa	Nova Scotia
Yerevan	Jerevan
Końskowola	Końskowola
New Brunswick	New Brunswick
Yn Cholombey Ghoaldagh	Britisk Columbia
Ellan y Phrinse Edard	Prince Edward Island
2000	2000
2003	2003
2002	2002
2001	2001
Saskatchewan	Saskatchewan
2012	2012
2011	2011
2010	2010
2009	2009
Daa-ocseed charboan	Karbondioksid
2013	2013
2014	2014
Thalloo yn Eeast as Labrador	Newfoundland og Labrador
2008	2008
Thallooyn yn Eear Hwoaie	Nordvestterritoriene
Yukon	Yukon
2004	2004
2005	2005
2006	2006
Nunavut	Nunavut
2007	2007
Monocseed charboan	Karbonmonoksid
Iqaluit	Iqaluit
1900	1900
1901	1901
Charles de Gaulle	Charles de Gaulle
1902	1902
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
1908	1908
1909	1909
1992	1992
1991	1991
1990	1990
1993	1993
1994	1994
1995	1995
1996	1996
1910	1910
1911	1911
1912	1912
1913	1913
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
Nürnberg	Nürnberg
1999	1999
1917	1917
1918	1918
Jacques Chirac	Jacques Chirac
Bielefeld	Bielefeld
1 Jerrey Geuree	1. januar
2 Jerrey Geuree	2. januar
1920	1920
3 Jerrey Geuree	3. januar
1919	1919
1921	1921
1922	1922
4 Jerrey Geuree	4. januar
1923	1923
1924	1924
Pobblaght Hoveidjagh Chonastagh Hoshiallagh ny Roosh	Den russiske sovjetiske føderative sosialistrepublikk
Georges Pompidou	Georges Pompidou
Planaid crivassanagh	Dvergplanet
5 Jerrey Geuree	5. januar
6 Jerrey Geuree	6. januar
7 Jerrey Geuree	7. januar
8 Jerrey Geuree	8. januar
9 Jerrey Geuree	9. januar
10 Jerrey Geuree	10. januar
11 Jerrey Geuree	11. januar
12 Jerrey Geuree	12. januar
13 Jerrey Geuree	13. januar
Birmingham	Birmingham
14 Jerrey Geuree	14. januar
15 Jerrey Geuree	15. januar
16 Jerrey Geuree	16. januar
Tom Hanks	Tom Hanks
17 Jerrey Geuree	17. januar
18 Jerrey Geuree	18. januar
19 Jerrey Geuree	19. januar
20 Jerrey Geuree	20. januar
21 Jerrey Geuree	21. januar
22 Jerrey Geuree	22. januar
23 Jerrey Geuree	23. januar
24 Jerrey Geuree	24. januar
25 Jerrey Geuree	25. januar
Minsk	Minsk
26 Jerrey Geuree	26. januar
27 Jerrey Geuree	27. januar
28 Jerrey Geuree	28. januar
29 Jerrey Geuree	29. januar
30 Jerrey Geuree	30. januar
31 Jerrey Geuree	31. januar
2 Mee ny Nollick	2. desember
1 Mee ny Nollick	1. desember
3 Mee ny Nollick	3. desember
7 Mee ny Nollick	7. desember
5 Mee ny Nollick	5. desember
8 Mee ny Nollick	8. desember
10 Mee ny Nollick	10. desember
6 Mee ny Nollick	6. desember
9 Mee ny Nollick	9. desember
4 Mee ny Nollick	4. desember
1 Toshiaght Arree	1. februar
2 Toshiaght Arree	2. februar
Cloreed sodjum	Koksalt
3 Toshiaght Arree	3. februar
Kurów	Kurów
4 Toshiaght Arree	4. februar
5 Toshiaght Arree	5. februar
6 Toshiaght Arree	6. februar
7 Toshiaght Arree	7. februar
8 Toshiaght Arree	8. februar
9 Toshiaght Arree	9. februar
10 Toshiaght Arree	10. februar
Kemmig	Kjemi
14 Toshiaght Arree	14. februar
13 Toshiaght Arree	13. februar
15 Toshiaght Arree	15. februar
11 Toshiaght Arree	11. februar
12 Toshiaght Arree	12. februar
19 Toshiaght Arree	19. februar
17 Toshiaght Arree	17. februar
16 Toshiaght Arree	16. februar
18 Toshiaght Arree	18. februar
20 Toshiaght Arree	20. februar
21 Toshiaght Arree	21. februar
22 Toshiaght Arree	22. februar
23 Toshiaght Arree	23. februar
24 Toshiaght Arree	24. februar
25 Toshiaght Arree	25. februar
26 Toshiaght Arree	26. februar
27 Toshiaght Arree	27. februar
28 Toshiaght Arree	28. februar
11 Mee ny Nollick	11. desember
29 Toshiaght Arree	29. februar
12 Mee ny Nollick	12. desember
13 Mee ny Nollick	13. desember
14 Mee ny Nollick	14. desember
15 Mee ny Nollick	15. desember
2 Mayrnt	2. mars
3 Mayrnt	3. mars
5 Mayrnt	5. mars
1 Mayrnt	1. mars
7 Mayrnt	7. mars
8 Mayrnt	8. mars
4 Mayrnt	4. mars
10 Mayrnt	10. mars
11 Mayrnt	11. mars
6 Mayrnt	6. mars
13 Mayrnt	13. mars
9 Mayrnt	9. mars
12 Mayrnt	12. mars
15 Mayrnt	15. mars
14 Mayrnt	14. mars
16 Mee ny Nollick	16. desember
17 Mee ny Nollick	17. desember
16 Mayrnt	16. mars
17 Mayrnt	17. mars
18 Mayrnt	18. mars
19 Mayrnt	19. mars
1989	1989
1988	1988
20 Mayrnt	20. mars
1987	1987
1986	1986
1985	1985
1984	1984
21 Mayrnt	21. mars
1983	1983
22 Mayrnt	22. mars
1982	1982
1981	1981
18 Mee ny Nollick	18. desember
1980	1980
23 Mayrnt	23. mars
19 Mee ny Nollick	19. desember
24 Mayrnt	24. mars
25 Mayrnt	25. mars
20 Mee ny Nollick	20. desember
26 Mayrnt	26. mars
27 Mayrnt	27. mars
28 Mayrnt	28. mars
29 Mayrnt	29. mars
30 Mayrnt	30. mars
31 Mayrnt	31. mars
1970	1970
1971	1971
1972	1972
1973	1973
1974	1974
1975	1975
1976	1976
1977	1977
1978	1978
1979	1979
1969	1969
15 Averil	15. april
13 Averil	13. april
12 Averil	12. april
14 Averil	14. april
11 Averil	11. april
10 Averil	10. april
8 Averil	8. april
9 Averil	9. april
7 Averil	7. april
6 Averil	6. april
5 Averil	5. april
4 Averil	4. april
3 Averil	3. april
1 Averil	1. april
2 Averil	2. april
Fodreayrtan Spoar Hubble	Hubble-teleskopet
Helmut Schmidt	Helmut Schmidt
16 Averil	16. april
17 Averil	17. april
18 Averil	18. april
19 Averil	19. april
20 Averil	20. april
21 Averil	21. april
22 Averil	22. april
23 Averil	23. april
24 Averil	24. april
25 Averil	25. april
26 Averil	26. april
27 Averil	27. april
28 Averil	28. april
29 Averil	29. april
30 Averil	30. april
1 Boaldyn	1. mai
2 Boaldyn	2. mai
3 Boaldyn	3. mai
4 Boaldyn	4. mai
5 Boaldyn	5. mai
6 Boaldyn	6. mai
7 Boaldyn	7. mai
8 Boaldyn	8. mai
9 Boaldyn	9. mai
10 Boaldyn	10. mai
11 Boaldyn	11. mai
12 Boaldyn	12. mai
13 Boaldyn	13. mai
14 Boaldyn	14. mai
15 Boaldyn	15. mai
Titan (fo-phlannad)	Titan (måne)
16 Boaldyn	16. mai
17 Boaldyn	17. mai
18 Boaldyn	18. mai
19 Boaldyn	19. mai
20 Boaldyn	20. mai
21 Boaldyn	21. mai
22 Boaldyn	22. mai
23 Boaldyn	23. mai
24 Boaldyn	24. mai
25 Boaldyn	25. mai
26 Boaldyn	26. mai
27 Boaldyn	27. mai
28 Boaldyn	28. mai
29 Boaldyn	29. mai
30 Boaldyn	30. mai
31 Boaldyn	31. mai
Paul McCartney	Paul McCartney
21 Mee ny Nollick	21. desember
14 Mean Souree	14. juni
15 Mean Souree	15. juni
13 Mean Souree	13. juni
10 Mean Souree	10. juni
7 Mean Souree	7. juni
11 Mean Souree	11. juni
9 Mean Souree	9. juni
12 Mean Souree	12. juni
6 Mean Souree	6. juni
8 Mean Souree	8. juni
5 Mean Souree	5. juni
3 Mean Souree	3. juni
2 Mean Souree	2. juni
1 Mean Souree	1. juni
4 Mean Souree	4. juni
Ringo Starr	Ringo Starr
22 Mee ny Nollick	22. desember
George Harrison	George Harrison
1968	1968
1967	1967
1966	1966
1965	1965
1964	1964
16 Mean Souree	16. juni
30 Mean Souree	30. juni
29 Mean Souree	29. juni
28 Mean Souree	28. juni
26 Mean Souree	26. juni
25 Mean Souree	25. juni
22 Mean Souree	22. juni
27 Mean Souree	27. juni
24 Mean Souree	24. juni
20 Mean Souree	20. juni
23 Mean Souree	23. juni
19 Mean Souree	19. juni
18 Mean Souree	18. juni
21 Mean Souree	21. juni
17 Mean Souree	17. juni
23 Mee ny Nollick	23. desember
Illiam II ny Germaan	Vilhelm II av Tyskland
15 Jerrey Souree	15. juli
13 Jerrey Souree	13. juli
12 Jerrey Souree	12. juli
10 Jerrey Souree	10. juli
9 Jerrey Souree	9. juli
14 Jerrey Souree	14. juli
8 Jerrey Souree	8. juli
7 Jerrey Souree	7. juli
6 Jerrey Souree	6. juli
5 Jerrey Souree	5. juli
2 Jerrey Souree	2. juli
4 Jerrey Souree	4. juli
3 Jerrey Souree	3. juli
1 Jerrey Souree	1. juli
11 Jerrey Souree	11. juli
24 Mee ny Nollick	24. desember
31 Jerrey Souree	31. juli
30 Jerrey Souree	30. juli
29 Jerrey Souree	29. juli
28 Jerrey Souree	28. juli
27 Jerrey Souree	27. juli
25 Jerrey Souree	25. juli
24 Jerrey Souree	24. juli
23 Jerrey Souree	23. juli
26 Jerrey Souree	26. juli
22 Jerrey Souree	22. juli
19 Jerrey Souree	19. juli
21 Jerrey Souree	21. juli
20 Jerrey Souree	20. juli
17 Jerrey Souree	17. juli
18 Jerrey Souree	18. juli
16 Jerrey Souree	16. juli
Soccer	Fotball
25 Mee ny Nollick	25. desember
1963	1963
26 Mee ny Nollick	26. desember
Yn Deherree	Holocaust
1962	1962
14 Luanistyn	14. august
15 Luanistyn	15. august
