Àfrica	Afrika
Rostov del Don	Rostov-na-Donu
Jorge Luis Borges	Jorge Luis Borges
Ufà	Ufa (by)
Mali	Mali
Sòcrates	Sokrates
Volgograd	Volgograd
Angola	Angola
Perm	Perm (by)
Bhutan	Bhutan
Twitter	Twitter
Krasnoiarsk	Krasnojarsk
Brunei	Brunei
Tanzània	Tanzania
Mercuri (element)	Kvikksølv
Roald Amundsen	Roald Amundsen
Harry Mulisch	Harry Mulisch
Filipines	Filippinene
República Centreafricana	Den sentralafrikanske republikk
Naruto Uzumaki	Naruto Uzumaki
Tal·li	Thallium
Pol Sud	Sydpolen
Pol Nord	Nordpolen
Isaac Newton	Isaac Newton
OpenStreetMap	OpenStreetMap
Albert Einstein	Albert Einstein
Estronci	Strontium
Pere I del Brasil i IV de Portugal	Pedro I av Brasil
Narcòtic	Narkotika (rusmiddel)
Itri	Yttrium
Bismut	Vismut
Groc	Gul
Mecànica quàntica	Kvantemekanikk
Togo	Togo
Donald Tusk	Donald Tusk
Tunísia	Tunisia
John Bardeen	John Bardeen
Zàmbia	Zambia
Zimbabwe	Zimbabwe
Pequín	Beijing
Sudan del Sud	Sør-Sudan
Vladivostok	Vladivostok
Tuvà	Tuva (republikk)
Benín	Benin
Botswana	Botswana
Viquinotícies	Wikinytt
Burkina Faso	Burkina Faso
Burundi	Burundi
Comores	Komorene
República del Congo	Republikken Kongo
Alkmaar	Alkmaar
Obi	Ob
República Democràtica del Congo	Den demokratiske republikken Kongo
San Antonio (Texas)	San Antonio
Tomsk	Tomsk
Djibouti	Djibouti
Mem	Mem
Poloni	Polonium
Baviera	Bayern
Copa del Món d'esquí alpí	Verdenscupen i alpint
Guinea Equatorial	Ekvatorial-Guinea
Baden-Württemberg	Baden-Württemberg
Eritrea	Eritrea
Nova Delhi	New Delhi
Almelo	Almelo
Joan Pau II	Johannes Paul II
Fiódor Dostoievski	Fjodor Dostojevskij
Amersfoort	Amersfoort
Kamtxatka	Kamtsjatkahalvøya
Tbilissi	Tbilisi
Appingedam	Appingedam
Andrei Sàkharov	Andrej Sakharov
Nadó	Spedbarn
Àstat	Astat
Gabon	Gabon
Mohandas Gandhi	Mahatma Gandhi
Península de Txukotka	Tsjuktsjerhalvøya
Solidarność	Solidaritet (fagforbund)
Còmic	Tegneserie
Gàmbia	Gambia
República de Guinea	Guinea
Guinea Bissau	Guinea-Bissau
Costa d'Ivori	Elfenbenskysten
Camerun	Kamerun
Maribor	Maribor
Cap Verd	Kapp Verde
Celje	Celje
Lesotho	Lesotho
Libèria	Liberia
Koper	Koper
Líbia	Libya
Aquisgrà	Aachen
Madagascar	Madagaskar
Malawi	Malawi
Kranj	Kranj
Stuttgart	Stuttgart
Mauritània	Mauritania
Polonesos	Polakker
Maurici	Mauritius
Marroc	Marokko
Moçambic	Mosambik
Namíbia	Namibia
Níger	Niger
Nigèria	Nigeria
Biel/Bienne	Biel/Bienne
Charles Robert Darwin	Charles Darwin
Uganda	Uganda
Rwanda	Rwanda
Zirconi	Zirkonium
São Tomé i Príncipe	São Tomé og Príncipe
Karlsruhe	Karlsruhe
Senegal	Senegal
Seychelles	Seychellene
Carl von Linné	Carl von Linné
Sierra Leone	Sierra Leone
Somàlia	Somalia
Niobi	Niob
Jawaharlal Nehru	Jawaharlal Nehru
Juli Cèsar	Julius Cæsar
Sudan	Sudan
Swazilàndia	Swaziland
Arc de Sant Martí	Regnbue
Molibdè	Molybden
Tecneci	Technetium
Hamburg	Hamburg
Italo Balbo	Italo Balbo
Metabolisme	Stoffskifte
Narendra Modi	Narendra Modi
Sistema immunitari	Immunforsvar
Gujarat	Gujarat
Llac Ontàrio	Ontariosjøen
Evolució	Evolusjon
Alessandro Manzoni	Alessandro Manzoni
Organització de les Nacions Unides	De forente nasjoner
Llac Superior	Lake Superior
Dante Alighieri	Dante Alighieri
Geologia	Geologi
Ahmedabad	Ahmedabad
Geografia	Geografi
Cor	Hjerte
Cervell	Hjerne
Pell	Hud
Color	Farge
Star Trek (sèrie original)	Star Trek: The Original Series
Breaking Bad	Breaking Bad
Salern	Salerno
Substantiu	Substantiv
Praga	Praha
Ruteni	Ruthenium
Rodi	Rhodium
Blau	Blå
Pal·ladi (element)	Palladium
Plata	Sølv
Cadmi	Kadmium
Star Trek	Star Trek
Limburg (Països Baixos)	Limburg (Nederland)
Indi (element)	Indium
Limburg (Bèlgica)	Limburg (Belgia)
Estany (element)	Tinn (grunnstoff)
Urani	Uran
Antimoni	Antimon
Tel·luri	Tellur
Brabant Septentrional	Noord-Brabant
Plutoni	Plutonium
Iode	Jod
Hemer	Hemer
Neptuni	Neptunium
Xenó	Xenon
Anime	Anime
Cesi	Cesium
Protoactini	Protactinium
Càrrega elèctrica	Elektrisk ladning
Bari (element)	Barium
Flandes Occidental	Vest-Flandern
Flandes Oriental	Øst-Flandern
Tori	Thorium
Província d'Anvers	Antwerpen (provins)
Brabant Flamenc	Flamsk Brabant
Hafni	Hafnium
Model de Niça	Nice-modellen
Actini	Actinium
Brabant Való	Vallonsk Brabant
Tàntal	Tantal
Bill Clinton	Bill Clinton
Província de Namur	Namur
Província de Luxemburg	Luxembourg (belgisk provins)
Província de Lieja	Liège (provins)
Radi (element)	Radium
Hainaut	Hainaut
Iserlohn	Iserlohn
Radó	Radon
Lorena	Lorraine
Alsàcia	Alsace
Jean-Philippe Rameau	Jean-Philippe Rameau
Indira Gandhi	Indira Gandhi
Mercuri (mitologia)	Merkur (gud)
Hector Berlioz	Hector Berlioz
Alvèrnia	Auvergne
Jamnagar	Jamnagar
Busto Arsizio	Busto Arsizio
Bombai	Mumbai
Associació Internacional de Federacions d'Atletisme	IAAF
Andhra Pradesh	Andhra Pradesh
Limburg	Limburg
Arunachal Pradesh	Arunachal Pradesh
Assam	Assam
Bihar	Bihar
Michigan	Michigan
Chhattisgarh	Chhattisgarh
Llac Michigan	Michigansjøen
Goa	Goa
Borgonya	Bourgogne
Haryana	Haryana
Himachal Pradesh	Himachal Pradesh
Maurice Ravel	Maurice Ravel
Aquitània	Aquitaine
Jammu i Caixmir	Jammu og Kashmir
Puerto Rico	Puerto Rico
Jharkhand	Jharkhand
Estat de Karnataka	Karnataka
Kerala	Kerala
Madhya Pradesh	Madhya Pradesh
Usain Bolt	Usain Bolt
Llemosí (regió)	Limousin
Maharashtra	Maharashtra
Jean-Baptiste Lully	Jean-Baptiste Lully
Manipur	Manipur
Slesvig-Holstein	Schleswig-Holstein
Meghalaya	Meghalaya
Mecklemburg – Pomerània Occidental	Mecklenburg-Vorpommern
Baixa Saxònia	Niedersachsen
Rin del Nord-Westfàlia	Nordrhein-Westfalen
Hessen	Hessen
Renània-Palatinat	Rheinland-Pfalz
Saarland	Saarland
Saxònia	Sachsen
John Lennon	John Lennon
Illinois	Illinois
Turíngia	Thüringen
Saxònia-Anhalt	Sachsen-Anhalt
Dakota del Nord	Nord-Dakota
Brandenburg	Brandenburg
Estat de Bremen	Bremen
Llombardia	Lombardia
Dakota del Sud	Sør-Dakota
Montana	Montana
Wyoming	Wyoming
Piemont	Piemonte
Jerusalem	Jerusalem
Alster (Elba)	Alster (elv)
Giorgio Napolitano	Giorgio Napolitano
Idaho	Idaho
Vall d'Aosta	Aostadalen
Washington (estat)	Washington
Carlo Azeglio Ciampi	Carlo Azeglio Ciampi
Bruce Springsteen	Bruce Springsteen
Rutherfordi	Rutherfordium
Nevada	Nevada
Oscar Luigi Scalfaro	Oscar Luigi Scalfaro
Riu Don	Don
Francesco Cossiga	Francesco Cossiga
