Āfrika	Afrika
Mīlestība	Kjærlighet
Diktatūra	Diktatur
Galaktika	Galakse
Jupiters (planēta)	Jupiter
Mišela Bačeleta	Michelle Bachelet
Piena Ceļš	Melkeveien
Lanvairpulguingila	Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch
Lielais sprādziens	Big Bang
Urāns (planēta)	Uranus
Bretaņa (vēsturisks reģions)	Bretagne (historisk region)
Vikipēdija angļu valodā	Wikipedia på engelsk
Nikolā Sarkozī	Nicolas Sarkozy
Neptūns (planēta)	Neptun (planet)
Astronomija	Astronomi
Singapūra	Singapore
Zinātne	Vitenskap
Kosmoloģija	Kosmologi
Plutons (pundurplanēta)	Pluto
Monreāla	Montréal
Brīvā programmatūra	Fri programvare
Kempēra	Quimper
Jaunava Marija	Jomfru Maria
Luijs IX	Ludvig IX av Frankrike
Lihtenšteina	Liechtenstein
Sports	Sport
Kembridža	Cambridge
Jeloustonas nacionālais parks	Yellowstone nasjonalpark
Ādolfs Hitlers	Adolf Hitler
Facebook	Facebook
Google+	Google+
Kultūras piemineklis	Kulturminne
WikiLeaks	WikiLeaks
Džulians Asānžs	Julian Assange
Pirmais pasaules karš	Første verdenskrig
Otrais pasaules karš	Andre verdenskrig
Ķelne	Köln
Korupcija	Korrupsjon
Wikibooks	Wikibøker
Augusto Pinočets	Augusto Pinochet
Wikiquote	Wikiquote
Wikiversity	Wikiversity
Wikivoyage	Wikivoyage
Degvīns	Vodka
Pulkstenis	Klokke (ur)
Janka Kupala	Janka Kupala
Ubuntu Linux	Ubuntu (operativsystem)
Skopje	Skopje
Gdiņa	Gdynia
Bobs Dilans	Bob Dylan
Ščecina	Szczecin
Metroloģija	Metrologi
Matemātika	Matematikk
U2	U2
Latīņu valoda	Latin
Bahreina	Bahrain
Armēnija	Armenia
Dženna Džeimsone	Jenna Jameson
Ķīļraksts	Kileskrift
Higsa bozons	Higgs-boson
Serbija	Serbia
Mēness	Månen
Stambula	Istanbul
Austrālija	Australia
Bobs Mārlijs	Bob Marley
Karls Sagans	Carl Sagan
Astrobioloģija	Astrobiologi
Fizika	Fysikk
Argentīna	Argentina
Telesakari	Telekommunikasjon
Peru	Peru
Bioloģija	Biologi
Neidentificēts lidojošs objekts	Uidentifisert flygende objekt
Ziemeļkoreja	Nord-Korea
Kambodža	Kambodsja
Dzīvnieku tiesības	Dyrerettigheter
Koipera josla	Kuiperbeltet
Korāns	Koranen
Dinozauri	Dinosaurer
Zooloģija	Zoologi
Islāms	Islam
Aleksandrijas bibliotēka	Biblioteket i Alexandria
Ļubļana	Ljubljana
Salvadors Aljende	Salvador Allende
Botānika	Botanikk
Lehs Valensa	Lech Wałęsa
Ritenis	Hjul
Enciklopēdija (Denī Didro)	Encyclopédie
Denī Didro	Denis Diderot
Žoržs Brasēns	Georges Brassens
Prāts	Sinn
Miers	Fred
Encyclopædia Britannica	Encyclopædia Britannica
Liona	Lyon
Eiropas Savienība	Den europeiske union
Plovdiva	Plovdiv
Zvaigžņu kari	Star Wars
Rona-Alpi	Rhône-Alpes
DBpedia	DBpedia
Vispasaules tīmeklis	World Wide Web
Sieviete	Kvinne
Sofija	Sofia
Akvedukts	Akvedukt
Dons Kihots	Don Quijote
Dzeja	Poesi
Datorvīruss	Datavirus
Černobiļas AES katastrofa	Tsjernobyl-ulykken
Hirosimas un Nagasaki bombardēšana	Atombombene over Hiroshima og Nagasaki
Milāna	Milano
Draudzība	Vennskap
Atmiņa	Hukommelse
Arturs Rembo	Arthur Rimbaud
Turīna	Torino
Izkārnījumi	Avføring
Anālā atvere	Anus
Citrons	Sitron
Šarls Bodlērs	Charles Baudelaire
Stendāls	Stendhal
Banāni	Bananer
Emīls Zolā	Émile Zola
Zieds	Blomst
Gugols	Googol
Gugolplekss	Googolplex
Marianas dziļvaga	Marianergropen
Vladimirs Visockis	Vladimir Vysotskij
Everests	Mount Everest
Anatomija	Anatomi
Pilsēta	By
Napoleons Bonaparts	Napoléon Bonaparte
Olimpa kalns (Marss)	Olympus Mons
Fizioloģija	Fysiologi
Zvaigzne	Stjerne
Vezuvs	Vesuv
Saule	Solen
Luijs Pastērs	Louis Pasteur
Ingemars Stēnmarks	Ingemar Stenmark
Gaismas gads	Lysår
Ciems	Landsby
Viktors Igo	Victor Hugo
Valdemāra zemesraga pils	Waldemarsudde
Okeānija	Oseania
Džuzepe Garibaldi	Giuseppe Garibaldi
Vieglatlētika	Friidrett
Cenzūra	Sensur (informasjon)
Saules sistēma	Solsystemet
Baltijas jūra	Østersjøen
Trieste	Trieste
Visla	Wisła
Elizejas lauki	Avenue des Champs-Élysées
Odera	Oder
Zobi	Tann
Ūdeņradis	Hydrogen
Petija Smita	Patti Smith
Hēlijs	Helium
Elle	Helvete
Vikikrātuve	Wikimedia Commons
Šķīstītava	Skjærsilden
Angela Merkele	Angela Merkel
Litijs	Litium
Berilijs	Beryllium
Skaļrunis	Høyttaler
Grāmata	Bok
Diennakts	Dag
Austrumtimora	Øst-Timor
Nakts	Natt
Gads	År
Gadsimts	Århundre
Lodza	Łódź
Monblāns	Mont Blanc
Reina	Rhinen
Oslo	Oslo
Bonna	Bonn
Visu svēto diena	Allehelgensdag
Katovice	Katowice
Melnais caurums	Sort hull
Luišs di Kamoinšs	Luís de Camões
Cerera	Ceres (dvergplanet)
Lisabona	Lisboa
Žešova	Rzeszów
Ihiro Suzuki	Ichiro Suzuki
Haumeja	Haumea
Rona	Rhône
Makemake	Makemake
Maikls Blumbergs	Michael Bloomberg
Erīda (pundurplanēta)	Eris (dvergplanet)
Dubaija	Dubai
Lionels Mesi	Lionel Messi
Paduja	Padova
Bors	Bor (grunnstoff)
Nikolajs Koperniks	Nikolaus Kopernikus
Versaļa	Versailles
Ogleklis	Karbon
Alesandro Del Pjēro	Alessandro Del Piero
Volga	Volga
Slāpeklis	Nitrogen
Bergamo	Bergamo
Skābeklis	Oksygen
Milānas @@@u0026Internazionale"	Inter
Nīls Jangs	Neil Young
Planēta	Planet
Kleopatra	Kleopatra VII av Egypt
Keita Buša	Kate Bush
Mūzika	Musikk
Venēcija	Venezia
Naruto	Naruto
Po (upe)	Po
Šarm eš Šeiha	Sharm el-Sheikh
Ņeva	Neva
Termometrs	Termometer
Renna	Rennes
Lille	Lille
Maskava	Moskva
Fluors	Fluor
Itāļu valoda	Italiensk
Čivava (suņu šķirne)	Chihuahua (hund)
Neons	Neon
Čivava	Chihuahua (delstat)
Sanktpēterburga	St. Petersburg
Čada	Tsjad
Nātrijs	Natrium
Ziemeļi	Nord
Magnijs	Magnesium
Alumīnijs	Aluminium
Jaunzēlande	New Zealand
Dienvidi	Sør
Indija	India
Silīcijs	Silisium
Francijs	Francium
Tuvalu	Tuvalu
Fosfors	Fosfor
Andrē Marī Ampērs	André-Marie Ampère
Proza	Prosa
Dzelzs	Jern
Tonga	Tonga
Rietumi	Vest
Alesandro Volta	Alessandro Volta
Sērs	Svovel
Samoa	Samoa
Austrumi	Øst
Zālamana Salas	Salomonøyene
Vanuatu	Vanuatu
Moljērs	Molière
Hlors	Klor
Delfta	Delft
Papua-Jaungvineja	Papua Ny-Guinea
Viljams Šekspīrs	William Shakespeare
Fabula	Fabel
Dienvidholande	Zuid-Holland
Palau	Palau
Argons	Argon
Nauru	Nauru
Mozilla Firefox	Mozilla Firefox
Pasaka	Eventyr
Ziemeļholande	Noord-Holland
Mikronēzija (valsts)	Mikronesiaføderasjonen
Kālijs	Kalium
Lionas @@@u0026Olympique"	Olympique Lyonnais
Zēlande (province)	Zeeland
Kalcijs	Kalsium
Flevolande	Flevoland
Svins	Bly
Māršala Salas	Marshalløyene
Kiribati	Kiribati
Mongolija	Mongolia
Fidži	Fiji
Skandijs	Scandium
Stīvijs Vonders	Stevie Wonder
Heilbronna	Heilbronn
Titāns	Titan (grunnstoff)
Venecuēla	Venezuela
Šahs	Sjakk
Čingishans	Djengis Khan
Vanādijs	Vanadium
Meina	Maine
Hroms	Krom
Mājas zirgs	Hest
Amsterdama	Amsterdam
Ierocis	Våpen
Dzīvnieki	Dyr
Surinama	Surinam
Mangāns	Mangan
Paragvaja	Paraguay
Gajāna	Guyana
Māksla	Kunst
Ekvadora	Ecuador
Rēnijs	Rhenium
Kolumbija	Colombia
Kobalts	Kobolt
Žans Rasins	Jean Racine
Volframs	Wolfram
Niķelis	Nikkel
Zemenes	Jordbærslekta
Pjērs Korneijs	Pierre Corneille
Budisms	Buddhisme
Groningena	Groningen (by)
Bolīvija	Bolivia
Osmijs	Osmium
Groningena (province)	Groningen (provins)
Varš	Kobber
Trinidāda un Tobāgo	Trinidad og Tobago
Pols Verlēns	Paul Verlaine
Augi	Planter
Sentvinsenta un Grenadīnas	Saint Vincent og Grenadinene
Cinks	Sink
Ņūhempšīra	New Hampshire
Sentlūsija	Saint Lucia
Bjalistoka	Białystok
Leonardo da Vinči	Leonardo da Vinci
Sentkitsa un Nevisa	Saint Kitts og Nevis
Sēnes	Sopper
Dario Fo	Dario Fo
Jamaika	Jamaica
Stefans Malarmē	Stéphane Mallarmé
Grenāda	Grenada
Frīzlande	Friesland (Nederland)
Masačūsetsa	Massachusetts
Drente	Drenthe
Overeisela	Overijssel
Gvatemala	Guatemala
Gelderlande	Gelderland
Utrehta (province)	Utrecht (provins)
Google Chrome	Google Chrome
Bahamas	Bahamas
Konektikuta	Connecticut
Mājas vista	Tamhøns
Antigva un Barbuda	Antigua og Barbuda
Havajas	Hawaii
Hondurasa	Honduras
Dominika	Dominica
Džērsija	Jersey
Dominikāna	Den dominikanske republikk
Mājas cūka	Gris
Ziemeļu Ledus okeāns	Nordishavet
Haiti	Haiti
Taumatafakatanihanakoauauotamateaturipukakapikimaunahoronukupokaifenuakitanatahu	Taumatawhakatangihangakoauauotamateaturipukakapikimaungahoronukupokaiwhenuakitanatahu
Salvadora	El Salvador
Zvolle	Zwolle
Irāna	Iran
Irāka	Irak
Aļaska	Alaska
Asena	Assen
Gudrība	Visdom
Kostarika	Costa Rica
Izraēla	Israel
Novi Sonča	Nowy Sącz
Utrehta	Utrecht (by)
Panama	Panama
Jemena	Jemen
Lozanna	Lausanne
Vīruss	Virus
Poļu valoda	Polsk
Jordānija	Jordan
Nikaragva	Nicaragua
Florida	Florida
Kirgizstāna	Kirgisistan
Arizona	Arizona
Kuveita	Kuwait
Laosa	Laos
Libāna	Libanon
Oregona	Oregon
Maldīvija	Maldivene
Amerika	Amerika
Jūta	Utah
Liellops	Storfe
Malaizija	Malaysia
Valē kantons	Wallis
Mihails Bulgakovs	Mikhail Bulgakov
Mjanma	Myanmar
Nepāla	Nepal
Omāna	Oman
Pakistāna	Pakistan
Džeimss Bonds	James Bond
Katara	Qatar
Teniss	Tennis
MySQL	MySQL
Saūda Arābija	Saudi-Arabia
Andrejs Tarkovskis	Andrej Tarkovskij
Šrilanka	Sri Lanka
Josifs Staļins	Josef Stalin
Svītrkods	Strekkode
Sīrija	Syria
Platons	Platon
Gallijs	Gallium
Josifs Brodskis	Josif Brodskij
Tadžikistāna	Tadsjikistan
Pokemoni	Pokémon
Ķīnas Republika	Republikken Kina
YouTube	YouTube
Germānijs	Germanium
Aristotelis	Aristoteles
Taizeme	Thailand
Vilciens	Jernbanetog
Arsēns	Arsen
Radio	Radio
Merila Strīpa	Meryl Streep
Turkmenistāna	Turkmenistan
Abakana	Abakan
Selēns	Selen
Irīdijs	Iridium
Apvienotie Arābu Emirāti	De forente arabiske emirater
Broms	Brom
Platīns	Platina
Vjetnama	Vietnam
Čārlijs Čaplins	Charlie Chaplin
Novosibirska	Novosibirsk
Dienvidkoreja	Sør-Korea
Juzefs Pilsudskis	Józef Piłsudski
Simpsoni	Simpsons
Jekaterinburga	Jekaterinburg
Kriptons	Krypton
Afganistāna	Afghanistan
Gangnam Style	Gangnam Style
Ņižņijnovgoroda	Nizjnij Novgorod
Džons Ronalds Rūels Tolkīns	J. R. R. Tolkien
Samara	Samara
Rubīdijs	Rubidium
Zelts	Gull
Omska	Omsk
Suecas kanāls	Suezkanalen
Kazaņa	Kazan
Zinātnieks	Naturviter
Bangladeša	Bangladesh
Bleach (manga)	Bleach (manga)
Francs Kafka	Franz Kafka
Čeļabinska	Tsjeljabinsk
Gordons Frīmens	Gordon Freeman
Rostova pie Donas	Rostov-na-Donu
Horhe Luiss Borhess	Jorge Luis Borges
Ufa	Ufa (by)
Mali	Mali
Sokrats	Sokrates
Volgograda	Volgograd
Angola	Angola
Perma	Perm (by)
Butāna	Bhutan
Twitter	Twitter
Krasnojarska	Krasnojarsk
Bruneja	Brunei
Tanzānija	Tanzania
Dzīvsudrabs	Kvikksølv
Roalds Amundsens	Roald Amundsen
Harijs Mulišs	Harry Mulisch
Filipīnas	Filippinene
Centrālāfrikas Republika	Den sentralafrikanske republikk
Naruto Udzumaki	Naruto Uzumaki
Tallijs	Thallium
Dienvidpols	Sydpolen
Ziemeļpols	Nordpolen
Īzaks Ņūtons	Isaac Newton
OpenStreetMap	OpenStreetMap
Alberts Einšteins	Albert Einstein
Stroncijs	Strontium
Pedru I	Pedro I av Brasil
Narkotikas	Narkotika (rusmiddel)
Itrijs	Yttrium
Bismuts	Vismut
Dzeltenā krāsa	Gul
Kvantu mehānika	Kvantemekanikk
Togo	Togo
Donalds Tusks	Donald Tusk
Tunisija	Tunisia
Džons Bardīns	John Bardeen
Zambija	Zambia
Zimbabve	Zimbabwe
Pekina	Beijing
Dienvidsudāna	Sør-Sudan
Vladivostoka	Vladivostok
Tiva	Tuva (republikk)
Benina	Benin
Botsvana	Botswana
Wikinews	Wikinytt
Burkinafaso	Burkina Faso
Burundi	Burundi
Komoras	Komorene
Kongo Republika	Republikken Kongo
Alkmāra	Alkmaar
Oba	Ob
Kongo Demokrātiskā Republika	Den demokratiske republikken Kongo
Sanantonio	San Antonio
Tomska	Tomsk
Džibutija	Djibouti
Mēme	Mem
Polonijs	Polonium
Bavārija	Bayern
Pasaules kauss kalnu slēpošanā	Verdenscupen i alpint
Ekvatoriālā Gvineja	Ekvatorial-Guinea
Bādene-Virtemberga	Baden-Württemberg
Eritreja	Eritrea
Ņūdeli	New Delhi
Jānis Pāvils II	Johannes Paul II
Fjodors Dostojevskis	Fjodor Dostojevskij
Amersforta	Amersfoort
Kamčatkas pussala	Kamtsjatkahalvøya
Tbilisi	Tbilisi
Andrejs Saharovs	Andrej Sakharov
Zīdainis	Spedbarn
Astats	Astat
Gabona	Gabon
Mohandass Karamčands Gandijs	Mahatma Gandhi
Čukču pussala	Tsjuktsjerhalvøya
Komikss	Tegneserie
Gambija	Gambia
Gvineja	Guinea
Gvineja-Bisava	Guinea-Bissau
Kotdivuāra	Elfenbenskysten
Kamerūna	Kamerun
Maribora	Maribor
Kaboverde	Kapp Verde
Lesoto	Lesotho
Libērija	Liberia
Lībija	Libya
Āhene	Aachen
Madagaskara	Madagaskar
Malāvija	Malawi
Štutgarte	Stuttgart
Mauritānija	Mauritania
Poļi	Polakker
Maurīcija	Mauritius
Maroka	Marokko
Mozambika	Mosambik
Namībija	Namibia
Nigēra	Niger
Nigērija	Nigeria
Čārlzs Darvins	Charles Darwin
Uganda	Uganda
Ruanda	Rwanda
Cirkonijs	Zirkonium
Santome un Prinsipi	São Tomé og Príncipe
Karlsrūe	Karlsruhe
Senegāla	Senegal
Seišelas	Seychellene
Kārlis Linnejs	Carl von Linné
Sjerraleone	Sierra Leone
Somālija	Somalia
Niobijs	Niob
Džavaharlals Neru	Jawaharlal Nehru
Jūlijs Cēzars	Julius Cæsar
Sudāna	Sudan
Svazilenda	Swaziland
Varavīksne	Regnbue
Molibdēns	Molybden
Tehnēcijs	Technetium
Hamburga	Hamburg
Vielmaiņa	Stoffskifte
Narēndra Modi	Narendra Modi
Imūnsistēma	Immunforsvar
Gudžarāta	Gujarat
Ontārio ezers	Ontariosjøen
Evolūcija	Evolusjon
Apvienoto Nāciju Organizācija	De forente nasjoner
Augšezers	Lake Superior
Dante Aligjēri	Dante Alighieri
Ģeoloģija	Geologi
Amdāvāda	Ahmedabad
Ģeogrāfija	Geografi
Sirds	Hjerte
Smadzenes	Hjerne
Āda	Hud
Krāsa	Farge
Pārkāpt robežu	Breaking Bad
Salerno	Salerno
Lietvārds	Substantiv
Prāga	Praha
Rutēnijs	Ruthenium
Rodijs	Rhodium
Zilā krāsa	Blå
Pallādijs	Palladium
Sudrabs	Sølv
Kadmijs	Kadmium
Zvaigžņu ceļš	Star Trek
Limburga (Nīderlande)	Limburg (Nederland)
Indijs	Indium
Limburga (Beļģija)	Limburg (Belgia)
Alva	Tinn (grunnstoff)
Urāns (elements)	Uran
Antimons	Antimon
Telūrs	Tellur
Ziemeļbrabante	Noord-Brabant
Plutonijs	Plutonium
Jods (elements)	Jod
Neptūnijs	Neptunium
Ksenons	Xenon
Anime	Anime
Cēzijs	Cesium
Protaktīnijs	Protactinium
Elektriskais lādiņš	Elektrisk ladning
Bārijs	Barium
Rietumflandrija	Vest-Flandern
Austrumflandrija	Øst-Flandern
Torijs	Thorium
Antverpenes province	Antwerpen (provins)
Flāmu Brabante	Flamsk Brabant
Hafnijs	Hafnium
Aktīnijs	Actinium
Valoņu Brabante	Vallonsk Brabant
Tantals	Tantal
Bills Klintons	Bill Clinton
Namīras province	Namur
Luksemburgas province	Luxembourg (belgisk provins)
Ljēžas province	Liège (provins)
Rādijs	Radium
Eno	Hainaut
Ālene (Ziemeļreina-Vestfālene)	Ahlen
Radons	Radon
Lotringa	Lorraine
Elzasa	Alsace
Žans Filips Ramo	Jean-Philippe Rameau
Indira Gandija	Indira Gandhi
Merkurs (mitoloģija)	Merkur (gud)
Ektors Berliozs	Hector Berlioz
Overņa	Auvergne
Mumbaja	Mumbai
Starptautiskā vieglatlētikas federācija	IAAF
Āndhra Pradēša	Andhra Pradesh
Arunāčala Pradēša	Arunachal Pradesh
Asama	Assam
Bihāra	Bihar
Mičigana	Michigan
Čhatīsgarha	Chhattisgarh
Mičigans	Michigansjøen
Goa	Goa
Burgundija	Bourgogne
Harjāna	Haryana
Himāčala Pradēša	Himachal Pradesh
Moriss Ravēls	Maurice Ravel
Akvitānija	Aquitaine
Džammu un Kašmīra	Jammu og Kashmir
Puertoriko	Puerto Rico
Džhārkhanda	Jharkhand
Karnātaka	Karnataka
Kerala	Kerala
Madhja Pradēša	Madhya Pradesh
Useins Bolts	Usain Bolt
Limuzēna	Limousin
Mahārāštra	Maharashtra
Žans Batists Lulli	Jean-Baptiste Lully
Manipura	Manipur
Šlēsviga-Holšteina	Schleswig-Holstein
Meghālaja	Meghalaya
Mēklenburga-Priekšpomerānija	Mecklenburg-Vorpommern
Lejassaksija	Niedersachsen
Ziemeļreina-Vestfālene	Nordrhein-Westfalen
Hesene	Hessen
Reinzeme-Pfalca	Rheinland-Pfalz
Zāra (zeme)	Saarland
Saksija	Sachsen
Džons Lenons	John Lennon
Ilinoisa	Illinois
Tīringene	Thüringen
Saksija-Anhalte	Sachsen-Anhalt
Ziemeļdakota	Nord-Dakota
Brandenburga (zeme)	Brandenburg
Brēmene (federālā zeme)	Bremen
Lombardija	Lombardia
Dienviddakota	Sør-Dakota
Montāna	Montana
Vaiominga	Wyoming
Pjemonta	Piemonte
Jeruzaleme	Jerusalem
Džordžo Napolitāno	Giorgio Napolitano
Aidaho	Idaho
Valle d'Aosta	Aostadalen
Vašingtona (štats)	Washington
Brūss Springstīns	Bruce Springsteen
Rezerfordijs	Rutherfordium
Nevada	Nevada
Dona	Don
Dubnijs	Dubnium
Sīborgijs	Seaborgium
Trentīno-Alto Adidže	Trentino-Syd-Tirol
Indijas okeāns	Indiahavet
Veneto	Veneto
Kosova	Kosovo
Karību jūra	Det karibiske hav
Borijs	Bohrium
Friuli-Venēcija Džūlija	Friuli-Venezia Giulia
Hasijs	Hassium
Pans Kimuns	Ban Ki-moon
Kofi Annans	Kofi Annan
Ligūrija	Liguria
Butross Butross-Gali	Boutros Boutros-Ghali
Meitnērijs	Meitnerium
Kurts Valdheims	Kurt Waldheim
Kolorādo	Colorado
Emīlija-Romanja	Emilia-Romagna
U Tans	U Thant
Kolorādo (upe)	Colorado (elv)
Darmštatijs	Darmstadtium
Dāgs Hammaršelds	Dag Hammarskjöld
Frideriks Šopēns	Frédéric Chopin
Rentgenijs	Røntgenium
Toskāna	Toscana
Leonards Koens	Leonard Cohen
Kopernikijs	Copernicium
Marke	Marche
Umbrija	Umbria
Lacio	Latium
Abruco	Abruzzo
Apenīni	Appenninene
Alpi	Alpene
Karpati	Karpatene
Grenoble	Grenoble
Blēzs Paskāls	Blaise Pascal
Dambrete	Dam (spill)
Dortmunde	Dortmund
Gente	Gent
Čikāga	Chicago
The Beatles	The Beatles
Ununtrijs	Ununtrium
Flerovijs	Flerovium
Ununpentijs	Ununpentium
Livermorijs	Livermorium
Ununseptijs	Ununseptium
Ununoktijs	Ununoctium
Komo (pilsēta)	Como
Māstrihta	Maastricht
Arnema	Arnhem
Ziema	Vinter
Pavasaris	Vår
Vasara	Sommer
Rudens	Høst
