Saot Amerika	Sør-Amerika
François Arago	Dominique François Jean Arago
Memba Kaontri blong Unaeted Neisen	FNs medlemsland
Natanggura	Sagopalme
St Peter's College (Auckland)	St Peter's College (Auckland)
Alan García	Alan García
John Wycliffe	John Wyclif
Flaeg blong Vanuatu	Vanuatus flagg
Chang Myon	Chang Myon
Lou Reed	Lou Reed
Yun Chi-ho	Yun Chi-ho
Robert Gates	Robert Gates
William Tyndale	William Tyndale
Apaxco	Apaxco
Nagorno-Karabakh Republic	Republikken Nagorno-Karabakh
Yumi, Yumi, Yumi	Yumi, Yumi, Yumi
Michael Somare	Michael Somare
Lluís Domènech i Montaner	Lluís Domènech i Montaner
Bry-sur-Marne	Bry-sur-Marne
Jacint Verdaguer	Jacint Verdaguer
Francesc Cambó	Francesc Cambó i Batlle
Edward Natapei	Edward Natapei
Derek Sikua	Derek Sikua
Ambae Aelan	Aoba
Buk Blong Momon	Mormons bok
Banian	Banyan
Sato Kilman	Sato Kilman
Coritiba Foot Ball Club	Coritiba Foot Ball Club
Blufis	Papegøyefisker
Tafea	Tafea
Shefa	Shefa
Ivan Zaytsev	Ivan Zaytsev
Serge Vohor	Serge Vohor
Sanma	Sanma
Malampa	Malampa
Yonawa	Jonava
Grin pijin	Ptilinopus
Torba	Torba (provins)
Abejar	Abejar
Penama	Penama
List blong provens blong Vanuatu	Vanuatus provinser
Luganville	Luganville
Joan Alcover	Joan Alcover
Isangel	Isangel
Oganaesesen blong Givhan long Ikonomi mo Sosaeti blong ol Kantri blong Esia mo Pasifik	FNs økonomiske kommisjon for Asia og Stillehavet
Michał Winiarski	Michał Winiarski
Smalfala grin pijin	Småfruktdue
Bigfala grin pijin	Vanuatufruktdue
Category:Germany	Kategori:Tyskland
Category:Itali	Kategori:Italia
Category:Yunaeted Stet blong Amerika	Kategori:USA
Category:Rusia	Kategori:Russland
Category:Kanada	Kategori:Canada
Category:United Kingdom	Kategori:Storbritannia
Category:Spain	Kategori:Spania
Category:China	Kategori:Kina
Category:India	Kategori:India
Category:Niu Zilan	Kategori:New Zealand
Category:Bangladesh	Kategori:Bangladesh
Category:Poland	Kategori:Polen
Category:Saot Koria	Kategori:Sør-Korea
Category:Ukraine	Kategori:Ukraina
Category:Vietnam	Kategori:Vietnam
Category:Pijin	Kategori:Fugler
Category:Baeoloji	Kategori:Biologi
Category:Histri	Kategori:Historie
Category:Jiografi	Kategori:Geografi
Category:Sosaeti	Kategori:Samfunn
Category:Rilijin	Kategori:Religion
Category:Saens	Kategori:Vitenskap
Category:Yunaeted Nesen	Kategori:FN
Category:Budisim	Kategori:Buddhisme
Category:Kristaniti	Kategori:Kristendom
Category:Islam	Kategori:Islam
Bochotnica	Bochotnica
Benedicta Boccoli	Benedicta Boccoli
Category:Kultur	Kategori:Kultur
Category:Kontinen	Kategori:Kontinenter
Category:Pipol blong Yunaeted Stet blong Amerika	Kategori:Personer fra USA
Sergio Mattarella	Sergio Mattarella
Category:Kaontri	Kategori:Land
Category:Pipol	Kategori:Personer
Category:Intanet	Kategori:Internett
Template:Bot	Mal:Bot
Kanada	Canada
Category:Hungary	Kategori:Ungarn
Category:Czechia	Kategori:Tsjekkia
Category:Litwania	Kategori:Litauen
Category:Slovakia	Kategori:Slovakia
Category:Yurop	Kategori:Europa
Template:Documentation	Mal:Dokumentasjon
Category:Wikipedians by language	Kategori:Wikipedia-brukere etter språk
Template:Softredirect	Mal:Softredirect
Template:Delete	Mal:Hurtigsletting
Category:Toktok	Kategori:Språk
Category:Wikipedia	Kategori:Wikipedia
Category:Pages with broken file links	Kategori:Sider med brutte fillenker
Wikipedia:Statistics	Wikipedia:Statistikk
Template:!	Mal:!
Category:Buk	Kategori:Bøker
Template:Babel	Mal:Babel
Template:Commons	Mal:Commons
Template:User eo-1	Mal:Bruker eo-1
Template:User en-2	Mal:Bruker en-2
Template:User es-1	Mal:Bruker es-1
Template:User sk	Mal:Bruker sk
Template:User fr-2	Mal:Bruker fr-2
Category:Azerbaijan	Kategori:Aserbajdsjan
Category:Esia	Kategori:Asia
Template:Mod	Mal:Mod
Template:User it	Mal:Bruker it
Template:States blog United States	Mal:USAs delstater
Category:User en	Kategori:Bruker en
Category:Croatia	Kategori:Kroatia
Category:User en-2	Kategori:Bruker en-2
Template:Documentation/start box	Mal:Dokumentasjon/start boks
Template:Documentation/end box2	Mal:Dokumentasjon/end boks 2
Template:Documentation/start box2	Mal:Dokumentasjon/start boks 2
Template:Pp-template	Mal:Beskyttet side
Category:Hed blong Stet	Kategori:Statssjefer
Template:Purge	Mal:Oppdater
Template:Interwiki	Mal:InterWiki
Category:Galicia	Kategori:Galicia (Spania)
Category:User sk	Kategori:Bruker sk
Category:User eo	Kategori:Bruker eo
Category:User fr	Kategori:Bruker fr
Category:User fr-2	Kategori:Bruker fr-2
Category:User it-N	Kategori:Bruker it-N
Category:User sk-N	Kategori:Bruker sk-N
Category:User de	Kategori:Bruker de
Category:User eo-1	Kategori:Bruker eo-1
Category:User es	Kategori:Bruker es
Category:User es-1	Kategori:Bruker es-1
Category:User it	Kategori:Bruker it
Category:Saens blong Pipol	Kategori:Samfunnsvitenskap
Category:1969 births	Kategori:Fødsler i 1969
Category:Not Dakota	Kategori:Nord-Dakota
Category:Louisiana	Kategori:Louisiana
Category:Arizona	Kategori:Arizona
Category:Kentucky	Kategori:Kentucky
Category:Armenia	Kategori:Armenia
Category:Vanuatu	Kategori:Vanuatu
Category:Pipol blong Vanuatu	Kategori:Vanuatuere
Category:Hed blong Stet blong Yunaeted Stet blong Amerika	Kategori:USAs presidenter
Category:Paraguay	Kategori:Paraguay
Category:Papua Nui Guini	Kategori:Papua Ny-Guinea
Category:Andorra	Kategori:Andorra
Category:Peru	Kategori:Peru
Category:Albania	Kategori:Albania
Category:Fis	Kategori:Fisk
Category:Animol	Kategori:Dyr
Category:Asturias	Kategori:Asturias
Category:Jos blong Jisas Kraes blong ol Lata-dei Sent	Kategori:Jesu Kristi Kirke av Siste Dagers Hellige
Category:Toktok long Vanuatu	Kategori:Språk på Vanuatu
Category:Catalonia	Kategori:Catalonia
Trojany	Trojany
Category:Provens blong Vanuatu	Kategori:Vanuatus provinser
Category:Aragón	Kategori:Aragón
Special:RecentChanges	Spesial:Siste endringer
