ᑭᐦᒋ ᒨᐦᑯᒫᓇᐢᑭᕀ	USA
Wikipedia:Archives/ᐸᒎᔮᓐ	Skjorte
Template:Ouvrage	Mal:Kilde bok
Wikipedia:Archives/ᐄᔅᒌᒣᐅᑲᒥᒄ	Iglo
Maskoretcic	Amerikansk svartbjørn
Wikipedia:Archives/ᑳᒋᔅᑖᐧᐹᐅᒉᐸᔨᐦᒡ	Vaskemaskin
Haliaeetus leucocephalus	Hvithodet havørn
Pimîhkân	Pemmikan
Wikipedia:Archives/ᒪᓯᓂᐸᔨᐃᐧᐣ ᐁᑲᐧ ᒪᓯᓇᐦᐃᑲᐣ	IMMAGINE&POESIA
ᐧᐋᐸᒣᒄ	Hvithval
ᐱᔔ	Kanadisk gaupe
Namew	Stører
Wikipedia:Archives/ᒥᓯ ᐹᐗᔅᑎᒃ	Grand Rapids (Michigan)
Wikipedia:Archives/É-nipathtákániwahk	Ikke-drap
ᓇᒣᔅᑧᑭᐌ	Tørrfisk
ᐧᐄᓂᔥᒄ	Skogmurmeldyr
Wikwas	Never
Âpihtâkosisânak	Métiser
Wikipedia:Archives/ᐲᓈᐦᑎᒄ	Klesklype
Wikipedia:Archivesᐱᒋᔥᑲᐦᐄᐸᑌᑎᓱᐧᐋᓐ	Potetmos
ᑰᑲᒣᔅ'	Kanadarøye
Wikipedia:Archives/ᓴᔭᐯᒃ	Sayabec
Wikipedia:Archives/ᑳᐅᑕᐦᐋᑯᓀᐦᐄᒉᐸᔨᒡ	Snøfreser
Category:Nâpêw	Kategori:Menn
Category:Nâpêsis	Kategori:Kvinner
Category:Italy	Kategori:Italia
Category:ᑳᓈᑖ	Kategori:Canada
Category:Turkey	Kategori:Tyrkia
Wikipedia:Archives/ᒋᔥᑖᐹᐅᒋᑲᓂᔮᐲ	Klessnor
Category:ᐱᔦᓰᓴᐠ	Kategori:Fugler
Category:ᐅᐲᑭᒋᑳᓇᐠ	Kategori:Planter
Category:Wikipedia bots	Kategori:Boter
Template:T	Mal:Mal
Wikipedia:Administrators	Wikipedia:Administratorer
Template:Bot	Mal:Bot
ᑳᓇᑖ	Canada
Category:Help	Kategori:Hjelp
Template:Documentation	Mal:Dokumentasjon
Wikipedia:Community Portal	Wikipedia:Portal
Category:User languages	Kategori:Wikipedia-brukere etter språk
Template:Softredirect	Mal:Softredirect
Template:Delete	Mal:Hurtigsletting
Category:ᐗᑭᐱᑎᔭ	Kategori:Wikipedia
Wikipedia:Statistics	Wikipedia:Statistikk
Template:Navbox	Mal:Navboks
Template:!	Mal:!
Template:Babel-3	Mal:Babel-3
Template:Babel	Mal:Babel
Template:Commons	Mal:Commons
Template:User af-1	Mal:Bruker af-1
Template:User als-1	Mal:Bruker als-1
Template:User ar-1	Mal:Bruker ar-1
Template:User ast-1	Mal:Bruker ast-1
Template:User az	Mal:Bruker az
Template:User bar-1	Mal:Bruker bar-1
Template:User da-2	Mal:Bruker da-2
Template:User da	Mal:Bruker da
Template:User ca-1	Mal:Bruker ca-1
Template:User ca-4	Mal:Bruker ca-4
Template:User be-2	Mal:Bruker be-2
Template:User da-1	Mal:Bruker da-1
Template:User cs-1	Mal:Bruker cs-1
Template:User eo-3	Mal:Bruker eo-3
Template:User de	Mal:Bruker de
Template:User de-1	Mal:Bruker de-1
Template:User el	Mal:Bruker el
Template:User de-3	Mal:Bruker de-3
Template:User en-3	Mal:Bruker en-3
Template:User el-1	Mal:Bruker el-1
Template:User en-1	Mal:Bruker en-1
Template:User en-2	Mal:Bruker en-2
Template:User en-4	Mal:Bruker en-4
Template:User fi	Mal:Bruker fi
Template:User en-0	Mal:Bruker en-0
Template:User en	Mal:Bruker en
Template:User de-2	Mal:Bruker de-2
Template:User fr-1	Mal:Bruker fr-1
Template:User fr-2	Mal:Bruker fr-2
Template:User tr	Mal:Bruker tr
Template:User fr	Mal:Bruker fr
Category:User uk	Kategori:Bruker uk
Category:User uk-N	Kategori:Bruker uk-N
Template:Mod	Mal:Mod
Template:User uk	Mal:Bruker uk
Template:User es-2	Mal:Bruker es-2
Template:ᑕᐋᐧᐤ	Mal:Reg-velkommen
Category:User fr-1	Kategori:Bruker fr-1
Category:User en-4	Kategori:Bruker en-4
Category:User en	Kategori:Bruker en
Category:User en-2	Kategori:Bruker en-2
Template:User zh	Mal:Bruker zh
Template:User ru-4	Mal:Bruker ru-4
Template:Pp-template	Mal:Beskyttet side
Template:Babel-4	Mal:Babel-4
Template:Babel-5	Mal:Babel-5
Template:Babel-2	Mal:Babel-2
Template:Babel-9	Mal:Babel-9
Template:Babel-6	Mal:Babel-6
Category:ᐧᐊᒌ	Kategori:Fjell
Template:Babel-8	Mal:Babel-8
Template:Babel-1	Mal:Babel-1
Template:Babel field 1	Mal:Babel1
Template:User no-2	Mal:Bruker no-2
Template:Babel-7	Mal:Babel-7
Template:Babel field 4	Mal:Babel4
Template:User fr-3	Mal:Bruker fr-3
Template:Babel field 3	Mal:Babel3
Template:User fr-4	Mal:Bruker fr-4
Category:User az	Kategori:Bruker az
Category:User be	Kategori:Bruker be
Category:User eo	Kategori:Bruker eo
Category:User fr	Kategori:Bruker fr
Category:User lt	Kategori:Bruker lt
Category:User sv	Kategori:Bruker sv
Category:User fr-3	Kategori:Bruker fr-3
Category:User cs-1	Kategori:Bruker cs-1
Category:User da-1	Kategori:Bruker da-1
Category:User ar-1	Kategori:Bruker ar-1
Category:User fr-4	Kategori:Bruker fr-4
Category:User be-2	Kategori:Bruker be-2
Category:User da-2	Kategori:Bruker da-2
Category:User fr-2	Kategori:Bruker fr-2
Category:User ko-N	Kategori:Bruker ko-N
Category:User fr-N	Kategori:Bruker fr-N
Category:User lt-N	Kategori:Bruker lt-N
Category:User af	Kategori:Bruker af
Category:User af-1	Kategori:Bruker af-1
Category:User als	Kategori:Bruker als
Category:User als-1	Kategori:Bruker als-1
Category:User ar	Kategori:Bruker ar
Category:User ast	Kategori:Bruker ast
Category:User ast-1	Kategori:Bruker ast-1
Category:User az-N	Kategori:Bruker az-N
Category:User bar	Kategori:Bruker bar
Category:User bar-1	Kategori:Bruker bar-1
Category:User bg	Kategori:Bruker bg
Category:User bg-1	Kategori:Bruker bg-1
Category:User bg-N	Kategori:Bruker bg-N
Category:User ca	Kategori:Bruker ca
Category:User ca-1	Kategori:Bruker ca-1
Category:User ca-4	Kategori:Bruker ca-4
Category:User cs	Kategori:Bruker cs
Category:ᒥᓂᔥᑎᒄ	Kategori:Øyer
Category:User da	Kategori:Bruker da
Category:User de	Kategori:Bruker de
Category:User de-0	Kategori:Bruker de-0
Category:User de-2	Kategori:Bruker de-2
Category:User de-3	Kategori:Bruker de-3
Category:User de-4	Kategori:Bruker de-4
Category:User de-N	Kategori:Bruker de-N
Category:User el	Kategori:Bruker el
Category:User el-1	Kategori:Bruker el-1
Category:User el-N	Kategori:Bruker el-N
Category:User en-0	Kategori:Bruker en-0
Category:User en-3	Kategori:Bruker en-3
Category:User en-N	Kategori:Bruker en-N
Category:User eo-3	Kategori:Bruker eo-3
Category:User es	Kategori:Bruker es
Category:User es-2	Kategori:Bruker es-2
Category:User fi	Kategori:Bruker fi
Category:User fi-N	Kategori:Bruker fi-N
Category:User fr-0	Kategori:Bruker fr-0
Category:User ko	Kategori:Bruker ko
Wikipedia:Babel	Wikipedia:Babel
Template:User sv-1	Mal:Bruker sv-1
Template:Babel field 2	Mal:Babel2
Category:ᓃᐲᔾ	Kategori:Vann
Category:User ru	Kategori:Bruker ru
Category:User ru-2	Kategori:Bruker ru-2
Category:User ru-4	Kategori:Bruker ru-4
Category:User sv-1	Kategori:Bruker sv-1
Category:User tr	Kategori:Bruker tr
Category:User tr-N	Kategori:Bruker tr-N
Template:Lang	Mal:Språk
Template:Modèle:Fr	Mal:Fr icon
Category:ᓰᐲ	Kategori:Elver
Template:User ko	Mal:Bruker ko
Category:User no-2	Kategori:Bruker no-2
Category:User no	Kategori:Bruker no
Template:User de-4	Mal:Bruker de-4
Category:ᐱᓯᐢᑭᐤ	Kategori:Dyr
Category:ᑫᐧᐃᐧᐣ	Kategori:Våpen
Category:Onikamow	Kategori:Sangere
Category:ᓵᑲᐦᐄᑲᓐ	Kategori:Innsjøer
Template:Babel-10	Mal:Babel-10
Category:ᑯᐯᒃ	Kategori:Québec
Category:Itasinâsowin	Kategori:Farge
Category:ᐅᑌᓈᐤ	Kategori:Byer
Category:User en-1	Kategori:Bruker en-1
Category:User de-1	Kategori:Bruker de-1
Category:User da-N	Kategori:Bruker da-N
Special:RecentChanges	Spesial:Siste endringer
